GRANDES REGIÕES;UNIDADES DA FEDERAÇÃO;QUANTIDADE DE BASES DE DISTRIBUIÇÃO (EXCETO GLP);QUANTIDADE DE BASES DE DISTRIBUIÇÃO DE GLP;CAPACIDADE NOMINAL DE ARMAZENAMENTO -  DERIVADOS E PETRÓLEO (EXCETO GLP);CAPACIDADE NOMINAL DE ARMAZENAMENTO -  ETANOL;CAPACIDADE NOMINAL DE ARMAZENAMENTO -  BIODIESEL;CAPACIDADE NOMINAL DE ARMAZENAMENTO - GLP
Região Norte;Acre;4;1;37550,67;190;100;977,01
Região Norte;Amazonas;5;2;88437,09;23714,44;11462,7;5211,73
Região Norte;Amapá;2;0;12307,39;2417,29;684,57;0
Região Norte;Pará;19;5;150108,88;27260,73;14322,73;8372,67
Região Norte;Rondônia;7;2;45580,29;13393,67;7217,86;6306,4
Região Norte;Roraima;2;1;8791,56;404,6;166;969,95
Região Norte;Tocantins;5;1;35115,46;16827,2;8132,96;353,51
Região Nordeste;Alagoas;2;2;39317,72;2511,82;649,59;1462
Região Nordeste;Bahia  ;22;11;138454,06;43066,25;14974,02;8409,92
Região Nordeste;Ceará  ;4;4;94596,46;19401,27;4173,69;6517,35
Região Nordeste;Maranhão;7;3;207014,09;11267,66;6347,95;5711,83
Região Nordeste;Paraíba  ;0;3;0;0;0;847,46
Região Nordeste;Pernambuco  ;3;6;126689,67;15809,55;3925,59;7288,38
Região Nordeste;Piauí ;2;1;11715,12;4616,11;636,83;236
Região Nordeste;Rio Grande do Norte ;3;3;26333,2;10316,93;3489,15;1520,91
Região Nordeste;Sergipe  ;2;2;18153,68;3646,91;3996,37;1174,1
Região Sudeste;Espírito Santo ;2;5;61974,91;6946,13;1526,42;2752,69
Região Sudeste;Minas Gerais  ;22;11;162105,08;60274,05;20158,18;7953,25
Região Sudeste;Rio de Janeiro ;15;11;167582,17;88242,76;13181,75;15713,29
Região Sudeste;São Paulo  ;55;49;561631,12;313551,62;63892,99;50206,59
Região Sul;Paraná ;30;15;268653,48;84756,88;21727,2;9744,93
Região Sul;Rio Grande do Sul ;15;14;196705,11;43768,86;22080,38;13219,28
Região Sul;Santa Catarina ;14;12;59491,71;20424,51;6905,16;2102,49
Região Centro-Oeste;Distrito Federal ;4;3;46284,8;12585,31;9003,4;1858,97
Região Centro-Oeste;Goiás  ;9;5;93044,74;40217,95;9337,92;2691,02
Região Centro-Oeste;Mato Grosso do Sul ;11;2;40095,09;29325,74;5545,22;1826,96
Região Centro-Oeste;Mato Grosso ;26;3;81634,6;37015,7;11962,36;1292,71
