GRANDES REGIÕES;UNIDADES DA FEDERAÇÃO;VENDAS DE QAV PELAS DISTRIBUIDORAS;ANO
Região Norte ;Rondônia ;42823;2012
Região Norte ;Rondônia ;33568,218;2013
Região Norte ;Rondônia ;29762,331;2014
Região Norte ;Rondônia ;28796,969;2015
Região Norte ;Rondônia ;27159,071;2016
Região Norte ;Rondônia ;27325,667;2017
Região Norte ;Rondônia ;30060,921;2018
Região Norte ;Rondônia ;28848,859;2019
Região Norte ;Rondônia ;21063,505;2020
Região Norte ;Rondônia ;26657,721;2021
Região Norte ;Acre ;14140;2012
Região Norte ;Acre ;12211,925;2013
Região Norte ;Acre ;12491,796;2014
Região Norte ;Acre ;9942,993;2015
Região Norte ;Acre ;9251,655;2016
Região Norte ;Acre ;11639,382;2017
Região Norte ;Acre ;13243,797;2018
Região Norte ;Acre ;13015,128;2019
Região Norte ;Acre ;8217,288;2020
Região Norte ;Acre ;10451,519;2021
Região Norte ;Amazonas ;188953;2012
Região Norte ;Amazonas ;169650,487;2013
Região Norte ;Amazonas ;173990,692;2014
Região Norte ;Amazonas ;158235,643;2015
Região Norte ;Amazonas ;128620,33;2016
Região Norte ;Amazonas ;131512,221;2017
Região Norte ;Amazonas ;139535,687;2018
Região Norte ;Amazonas ;145420,369;2019
Região Norte ;Amazonas ;106206,699;2020
Região Norte ;Amazonas ;123764,645;2021
Região Norte ;Roraima ;8205;2012
Região Norte ;Roraima ;7180,268;2013
Região Norte ;Roraima ;7308,619;2014
Região Norte ;Roraima ;6856,245;2015
Região Norte ;Roraima ;7848,396;2016
Região Norte ;Roraima ;9122,104;2017
Região Norte ;Roraima ;11538,765;2018
Região Norte ;Roraima ;12321,166;2019
Região Norte ;Roraima ;9586,632;2020
Região Norte ;Roraima ;11996,939;2021
Região Norte ;Pará ;165932;2012
Região Norte ;Pará ;159831,486;2013
Região Norte ;Pará ;160124,72;2014
Região Norte ;Pará ;164808,372;2015
Região Norte ;Pará ;129671,826;2016
Região Norte ;Pará ;117787,234;2017
Região Norte ;Pará ;128850,188;2018
Região Norte ;Pará ;121424,261;2019
Região Norte ;Pará ;73687,854;2020
Região Norte ;Pará ;97781,664;2021
Região Norte ;Amapá ;3518;2012
Região Norte ;Amapá ;3457,258;2013
Região Norte ;Amapá ;6006,987;2014
Região Norte ;Amapá ;5253,459;2015
Região Norte ;Amapá ;5544,732;2016
Região Norte ;Amapá ;5874,784;2017
Região Norte ;Amapá ;6558,25;2018
Região Norte ;Amapá ;6200,282;2019
Região Norte ;Amapá ;5024,603;2020
Região Norte ;Amapá ;4198,76;2021
Região Norte ;Tocantins ;11182;2012
Região Norte ;Tocantins ;8480,143;2013
Região Norte ;Tocantins ;7322,272;2014
Região Norte ;Tocantins ;6543,283;2015
Região Norte ;Tocantins ;6088,891;2016
Região Norte ;Tocantins ;6872,172;2017
Região Norte ;Tocantins ;7653,06;2018
Região Norte ;Tocantins ;7422,978;2019
Região Norte ;Tocantins ;4217,199;2020
Região Norte ;Tocantins ;6211,414;2021
Região Nordeste ;Maranhão ;65336;2012
Região Nordeste ;Maranhão ;56390,58;2013
Região Nordeste ;Maranhão ;53273,077;2014
Região Nordeste ;Maranhão ;50165,754;2015
Região Nordeste ;Maranhão ;50093,032;2016
Região Nordeste ;Maranhão ;52228,614;2017
Região Nordeste ;Maranhão ;48587,521;2018
Região Nordeste ;Maranhão ;43643,658;2019
Região Nordeste ;Maranhão ;24166,694;2020
Região Nordeste ;Maranhão ;25034,095;2021
Região Nordeste ;Piauí ;25122;2012
Região Nordeste ;Piauí ;25497,856;2013
Região Nordeste ;Piauí ;26771,454;2014
Região Nordeste ;Piauí ;24513,515;2015
Região Nordeste ;Piauí ;21746,076;2016
Região Nordeste ;Piauí ;24459,268;2017
Região Nordeste ;Piauí ;20405,244;2018
Região Nordeste ;Piauí ;19088,335;2019
Região Nordeste ;Piauí ;12186,449;2020
Região Nordeste ;Piauí ;13555,609;2021
Região Nordeste ;Ceará ;196290;2012
Região Nordeste ;Ceará ;190962,862;2013
Região Nordeste ;Ceará ;229686,547;2014
Região Nordeste ;Ceará ;230907,53;2015
Região Nordeste ;Ceará ;200146,495;2016
Região Nordeste ;Ceará ;203193,598;2017
Região Nordeste ;Ceará ;238597,153;2018
Região Nordeste ;Ceará ;264905,15;2019
Região Nordeste ;Ceará ;126056,649;2020
Região Nordeste ;Ceará ;148256,308;2021
Região Nordeste ;Rio Grande do Norte ;106206;2012
Região Nordeste ;Rio Grande do Norte ;100449,377;2013
Região Nordeste ;Rio Grande do Norte ;93862,163;2014
Região Nordeste ;Rio Grande do Norte ;95618,434;2015
Região Nordeste ;Rio Grande do Norte ;91103,074;2016
Região Nordeste ;Rio Grande do Norte ;90690,021;2017
Região Nordeste ;Rio Grande do Norte ;92909,704;2018
Região Nordeste ;Rio Grande do Norte ;78869,423;2019
Região Nordeste ;Rio Grande do Norte ;40807,621;2020
Região Nordeste ;Rio Grande do Norte ;58548,214;2021
Região Nordeste ;Paraíba ;46282;2012
Região Nordeste ;Paraíba ;41423,439;2013
Região Nordeste ;Paraíba ;44049,176;2014
Região Nordeste ;Paraíba ;50027,932;2015
Região Nordeste ;Paraíba ;45053,328;2016
Região Nordeste ;Paraíba ;43668,375;2017
Região Nordeste ;Paraíba ;47973,621;2018
Região Nordeste ;Paraíba ;42482,93;2019
Região Nordeste ;Paraíba ;23762,11;2020
Região Nordeste ;Paraíba ;30150,447;2021
Região Nordeste ;Pernambuco ;250519;2012
Região Nordeste ;Pernambuco ;240875,629;2013
Região Nordeste ;Pernambuco ;217603,973;2014
Região Nordeste ;Pernambuco ;228362,526;2015
Região Nordeste ;Pernambuco ;221752,803;2016
Região Nordeste ;Pernambuco ;268153,653;2017
Região Nordeste ;Pernambuco ;304612,762;2018
Região Nordeste ;Pernambuco ;316652,43;2019
Região Nordeste ;Pernambuco ;181054,925;2020
Região Nordeste ;Pernambuco ;264513,966;2021
Região Nordeste ;Alagoas ;50888;2012
Região Nordeste ;Alagoas ;58518,977;2013
Região Nordeste ;Alagoas ;55162;2014
Região Nordeste ;Alagoas ;51536,888;2015
Região Nordeste ;Alagoas ;51909,61;2016
Região Nordeste ;Alagoas ;53062,742;2017
Região Nordeste ;Alagoas ;58087,405;2018
Região Nordeste ;Alagoas ;56921,969;2019
Região Nordeste ;Alagoas ;32454,166;2020
Região Nordeste ;Alagoas ;52844,724;2021
Região Nordeste ;Sergipe ;37210;2012
Região Nordeste ;Sergipe ;34627,191;2013
Região Nordeste ;Sergipe ;34981,535;2014
Região Nordeste ;Sergipe ;28834,043;2015
Região Nordeste ;Sergipe ;28419,003;2016
Região Nordeste ;Sergipe ;27521,159;2017
Região Nordeste ;Sergipe ;27454,602;2018
Região Nordeste ;Sergipe ;21875,744;2019
Região Nordeste ;Sergipe ;12733,64;2020
Região Nordeste ;Sergipe ;13864,574;2021
Região Nordeste ;Bahia ;349393;2012
Região Nordeste ;Bahia ;326546,143;2013
Região Nordeste ;Bahia ;320007,497;2014
Região Nordeste ;Bahia ;312743,579;2015
Região Nordeste ;Bahia ;276369,782;2016
Região Nordeste ;Bahia ;259528,5;2017
Região Nordeste ;Bahia ;276496,192;2018
Região Nordeste ;Bahia ;244268,321;2019
Região Nordeste ;Bahia ;123354,882;2020
Região Nordeste ;Bahia ;153839,31;2021
Região Sudeste ;Minas Gerais ;345308;2012
Região Sudeste ;Minas Gerais ;343286,351;2013
Região Sudeste ;Minas Gerais ;335383,745;2014
Região Sudeste ;Minas Gerais ;324069;2015
Região Sudeste ;Minas Gerais ;295605,465;2016
Região Sudeste ;Minas Gerais ;285578,321;2017
Região Sudeste ;Minas Gerais ;292922,178;2018
Região Sudeste ;Minas Gerais ;286980,971;2019
Região Sudeste ;Minas Gerais ;123729,693;2020
Região Sudeste ;Minas Gerais ;164147,126;2021
Região Sudeste ;Espírito Santo ;56939;2012
Região Sudeste ;Espírito Santo ;40955,083;2013
Região Sudeste ;Espírito Santo ;42322,774;2014
Região Sudeste ;Espírito Santo ;43275,482;2015
Região Sudeste ;Espírito Santo ;30254,64;2016
Região Sudeste ;Espírito Santo ;32983,243;2017
Região Sudeste ;Espírito Santo ;38676,667;2018
Região Sudeste ;Espírito Santo ;39851,114;2019
Região Sudeste ;Espírito Santo ;18733,52;2020
Região Sudeste ;Espírito Santo ;22190,464;2021
Região Sudeste ;Rio de Janeiro ;1329815;2012
Região Sudeste ;Rio de Janeiro ;1302283,069;2013
Região Sudeste ;Rio de Janeiro ;1273414,388;2014
Região Sudeste ;Rio de Janeiro ;1230295,509;2015
Região Sudeste ;Rio de Janeiro ;1176461,736;2016
Região Sudeste ;Rio de Janeiro ;1095103,645;2017
Região Sudeste ;Rio de Janeiro ;1067517,75;2018
Região Sudeste ;Rio de Janeiro ;944667,246;2019
Região Sudeste ;Rio de Janeiro ;390453,763;2020
Região Sudeste ;Rio de Janeiro ;377988,307;2021
Região Sudeste ;São Paulo ;2842125;2012
Região Sudeste ;São Paulo ;2866626,723;2013
Região Sudeste ;São Paulo ;3035887,855;2014
Região Sudeste ;São Paulo ;3001652,564;2015
Região Sudeste ;São Paulo ;2823119,675;2016
Região Sudeste ;São Paulo ;2844014,898;2017
Região Sudeste ;São Paulo ;3166281,453;2018
Região Sudeste ;São Paulo ;3226147,18;2019
Região Sudeste ;São Paulo ;1737172,953;2020
Região Sudeste ;São Paulo ;2188126,442;2021
Região Sul ;Paraná ;231479;2012
Região Sul ;Paraná ;229042,267;2013
Região Sul ;Paraná ;242000,033;2014
Região Sul ;Paraná ;211533,568;2015
Região Sul ;Paraná ;182842,397;2016
Região Sul ;Paraná ;194831,254;2017
Região Sul ;Paraná ;188910,986;2018
Região Sul ;Paraná ;174130,187;2019
Região Sul ;Paraná ;78267,342;2020
Região Sul ;Paraná ;88030,901;2021
Região Sul ;Santa Catarina ;110917;2012
Região Sul ;Santa Catarina ;107854,902;2013
Região Sul ;Santa Catarina ;105610,598;2014
Região Sul ;Santa Catarina ;111796,473;2015
Região Sul ;Santa Catarina ;102239,68;2016
Região Sul ;Santa Catarina ;107736,422;2017
Região Sul ;Santa Catarina ;105453,596;2018
Região Sul ;Santa Catarina ;89680,39;2019
Região Sul ;Santa Catarina ;29540,612;2020
Região Sul ;Santa Catarina ;34519,103;2021
Região Sul ;Rio Grande do Sul ;194858;2012
Região Sul ;Rio Grande do Sul ;190971,606;2013
Região Sul ;Rio Grande do Sul ;204490,569;2014
Região Sul ;Rio Grande do Sul ;206706,514;2015
Região Sul ;Rio Grande do Sul ;174988,996;2016
Região Sul ;Rio Grande do Sul ;187520,886;2017
Região Sul ;Rio Grande do Sul ;191810,862;2018
Região Sul ;Rio Grande do Sul ;173428,728;2019
Região Sul ;Rio Grande do Sul ;64588,336;2020
Região Sul ;Rio Grande do Sul ;78946,366;2021
Região Centro-Oeste ;Mato Grosso do Sul ;45024;2012
Região Centro-Oeste ;Mato Grosso do Sul ;38067,856;2013
Região Centro-Oeste ;Mato Grosso do Sul ;39535,163;2014
Região Centro-Oeste ;Mato Grosso do Sul ;39963,075;2015
Região Centro-Oeste ;Mato Grosso do Sul ;31423,1;2016
Região Centro-Oeste ;Mato Grosso do Sul ;31800,303;2017
Região Centro-Oeste ;Mato Grosso do Sul ;33858,618;2018
Região Centro-Oeste ;Mato Grosso do Sul ;31732,421;2019
Região Centro-Oeste ;Mato Grosso do Sul ;13139,213;2020
Região Centro-Oeste ;Mato Grosso do Sul ;14430,804;2021
Região Centro-Oeste ;Mato Grosso ;77397;2012
Região Centro-Oeste ;Mato Grosso ;80297,075;2013
Região Centro-Oeste ;Mato Grosso ;85650,683;2014
Região Centro-Oeste ;Mato Grosso ;77902,637;2015
Região Centro-Oeste ;Mato Grosso ;54139,472;2016
Região Centro-Oeste ;Mato Grosso ;55436,571;2017
Região Centro-Oeste ;Mato Grosso ;63178,335;2018
Região Centro-Oeste ;Mato Grosso ;63026,947;2019
Região Centro-Oeste ;Mato Grosso ;31191,627;2020
Região Centro-Oeste ;Mato Grosso ;39242,242;2021
Região Centro-Oeste ;Goiás ;84221;2012
Região Centro-Oeste ;Goiás ;83024,159;2013
Região Centro-Oeste ;Goiás ;91060,215;2014
Região Centro-Oeste ;Goiás ;84990,747;2015
Região Centro-Oeste ;Goiás ;73762,406;2016
Região Centro-Oeste ;Goiás ;69133,42;2017
Região Centro-Oeste ;Goiás ;77482,501;2018
Região Centro-Oeste ;Goiás ;76598,042;2019
Região Centro-Oeste ;Goiás ;44678,005;2020
Região Centro-Oeste ;Goiás ;59761,614;2021
Região Centro-Oeste ;Distrito Federal ;411910;2012
Região Centro-Oeste ;Distrito Federal ;472744,573;2013
Região Centro-Oeste ;Distrito Federal ;542464,287;2014
Região Centro-Oeste ;Distrito Federal ;569743,485;2015
Região Centro-Oeste ;Distrito Federal ;519129,854;2016
Região Centro-Oeste ;Distrito Federal ;457401,911;2017
Região Centro-Oeste ;Distrito Federal ;485549,334;2018
Região Centro-Oeste ;Distrito Federal ;450842,167;2019
Região Centro-Oeste ;Distrito Federal ;209996,097;2020
Região Centro-Oeste ;Distrito Federal ;276025,093;2021
