GRANDES REGIÕES;UNIDADES DA FEDERAÇÃO;VENDAS DE QUEROSENE ILUMINANTE PELAS DISTRIBUIDORAS;ANO
Região Norte;Rondônia ;0;2012
Região Norte;Rondônia ;0;2013
Região Norte;Rondônia ;0;2014
Região Norte;Rondônia ;0;2015
Região Norte;Rondônia ;0;2016
Região Norte;Rondônia ;0;2017
Região Norte;Rondônia ;0;2018
Região Norte;Rondônia ;0;2019
Região Norte;Rondônia ;0;2020
Região Norte;Rondônia ;0;2021
Região Norte;Acre;0;2012
Região Norte;Acre;0;2013
Região Norte;Acre;0;2014
Região Norte;Acre;0;2015
Região Norte;Acre;0;2016
Região Norte;Acre;0;2017
Região Norte;Acre;0;2018
Região Norte;Acre;0;2019
Região Norte;Acre;0;2020
Região Norte;Acre;0;2021
Região Norte;Amazonas;1010;2012
Região Norte;Amazonas;400;2013
Região Norte;Amazonas;5,171;2014
Região Norte;Amazonas;5;2015
Região Norte;Amazonas;5;2016
Região Norte;Amazonas;0;2017
Região Norte;Amazonas;0;2018
Região Norte;Amazonas;0;2019
Região Norte;Amazonas;0;2020
Região Norte;Amazonas;0;2021
Região Norte;Roraima ;0;2012
Região Norte;Roraima ;0;2013
Região Norte;Roraima ;0;2014
Região Norte;Roraima ;0;2015
Região Norte;Roraima ;0;2016
Região Norte;Roraima ;0;2017
Região Norte;Roraima ;0;2018
Região Norte;Roraima ;0;2019
Região Norte;Roraima ;0;2020
Região Norte;Roraima ;0;2021
Região Norte;Pará;16;2012
Região Norte;Pará;0;2013
Região Norte;Pará;0;2014
Região Norte;Pará;0;2015
Região Norte;Pará;0;2016
Região Norte;Pará;0;2017
Região Norte;Pará;0;2018
Região Norte;Pará;0;2019
Região Norte;Pará;0;2020
Região Norte;Pará;0;2021
Região Norte;Amapá ;0;2012
Região Norte;Amapá ;0;2013
Região Norte;Amapá ;0;2014
Região Norte;Amapá ;0;2015
Região Norte;Amapá ;0;2016
Região Norte;Amapá ;0;2017
Região Norte;Amapá ;0;2018
Região Norte;Amapá ;0;2019
Região Norte;Amapá ;0;2020
Região Norte;Amapá ;0;2021
Região Norte;Tocantins;0;2012
Região Norte;Tocantins;0;2013
Região Norte;Tocantins;0;2014
Região Norte;Tocantins;0;2015
Região Norte;Tocantins;0;2016
Região Norte;Tocantins;0;2017
Região Norte;Tocantins;0;2018
Região Norte;Tocantins;0;2019
Região Norte;Tocantins;0;2020
Região Norte;Tocantins;0;2021
Região Nordeste;Maranhão;370;2012
Região Nordeste;Maranhão;195;2013
Região Nordeste;Maranhão;0;2014
Região Nordeste;Maranhão;0;2015
Região Nordeste;Maranhão;0;2016
Região Nordeste;Maranhão;0;2017
Região Nordeste;Maranhão;0;2018
Região Nordeste;Maranhão;0;2019
Região Nordeste;Maranhão;0;2020
Região Nordeste;Maranhão;0;2021
Região Nordeste;Piauí;35;2012
Região Nordeste;Piauí;0;2013
Região Nordeste;Piauí;0;2014
Região Nordeste;Piauí;0;2015
Região Nordeste;Piauí;0;2016
Região Nordeste;Piauí;0;2017
Região Nordeste;Piauí;0;2018
Região Nordeste;Piauí;0;2019
Região Nordeste;Piauí;0;2020
Região Nordeste;Piauí;0;2021
Região Nordeste;Ceará ;242;2012
Região Nordeste;Ceará ;111,8;2013
Região Nordeste;Ceará ;12,8;2014
Região Nordeste;Ceará ;4,2;2015
Região Nordeste;Ceará ;4;2016
Região Nordeste;Ceará ;1,2;2017
Região Nordeste;Ceará ;0;2018
Região Nordeste;Ceará ;0;2019
Região Nordeste;Ceará ;0;2020
Região Nordeste;Ceará ;0;2021
Região Nordeste;Rio Grande do Norte;115;2012
Região Nordeste;Rio Grande do Norte;80,2;2013
Região Nordeste;Rio Grande do Norte;76,8;2014
Região Nordeste;Rio Grande do Norte;56,4;2015
Região Nordeste;Rio Grande do Norte;33,442;2016
Região Nordeste;Rio Grande do Norte;42,718;2017
Região Nordeste;Rio Grande do Norte;22,134;2018
Região Nordeste;Rio Grande do Norte;35;2019
Região Nordeste;Rio Grande do Norte;22;2020
Região Nordeste;Rio Grande do Norte;23,2;2021
Região Nordeste;Paraíba ;65;2012
Região Nordeste;Paraíba ;20;2013
Região Nordeste;Paraíba ;0;2014
Região Nordeste;Paraíba ;0;2015
Região Nordeste;Paraíba ;0;2016
Região Nordeste;Paraíba ;0;2017
Região Nordeste;Paraíba ;0;2018
Região Nordeste;Paraíba ;0;2019
Região Nordeste;Paraíba ;0;2020
Região Nordeste;Paraíba ;0;2021
Região Nordeste;Pernambuco ;292;2012
Região Nordeste;Pernambuco ;294;2013
Região Nordeste;Pernambuco ;420;2014
Região Nordeste;Pernambuco ;225;2015
Região Nordeste;Pernambuco ;195;2016
Região Nordeste;Pernambuco ;150;2017
Região Nordeste;Pernambuco ;30;2018
Região Nordeste;Pernambuco ;0;2019
Região Nordeste;Pernambuco ;0;2020
Região Nordeste;Pernambuco ;0;2021
Região Nordeste;Alagoas;0;2012
Região Nordeste;Alagoas;11,732;2013
Região Nordeste;Alagoas;1,861;2014
Região Nordeste;Alagoas;2,417;2015
Região Nordeste;Alagoas;0;2016
Região Nordeste;Alagoas;0,642;2017
Região Nordeste;Alagoas;0;2018
Região Nordeste;Alagoas;0;2019
Região Nordeste;Alagoas;0;2020
Região Nordeste;Alagoas;0;2021
Região Nordeste;Sergipe ;15;2012
Região Nordeste;Sergipe ;1,804;2013
Região Nordeste;Sergipe ;7,913;2014
Região Nordeste;Sergipe ;5,25;2015
Região Nordeste;Sergipe ;0,031;2016
Região Nordeste;Sergipe ;1,07;2017
Região Nordeste;Sergipe ;0,792;2018
Região Nordeste;Sergipe ;0;2019
Região Nordeste;Sergipe ;0;2020
Região Nordeste;Sergipe ;0;2021
Região Nordeste;Bahia;71;2012
Região Nordeste;Bahia;312,155;2013
Região Nordeste;Bahia;534,484;2014
Região Nordeste;Bahia;246,771;2015
Região Nordeste;Bahia;128,16;2016
Região Nordeste;Bahia;208,303;2017
Região Nordeste;Bahia;202,48;2018
Região Nordeste;Bahia;213;2019
Região Nordeste;Bahia;206,4;2020
Região Nordeste;Bahia;175,8;2021
Região Sudeste;Minas Gerais ;3225;2012
Região Sudeste;Minas Gerais ;2711;2013
Região Sudeste;Minas Gerais ;1891;2014
Região Sudeste;Minas Gerais ;1735;2015
Região Sudeste;Minas Gerais ;2115;2016
Região Sudeste;Minas Gerais ;1776;2017
Região Sudeste;Minas Gerais ;2054;2018
Região Sudeste;Minas Gerais ;1653;2019
Região Sudeste;Minas Gerais ;1772;2020
Região Sudeste;Minas Gerais ;1963;2021
Região Sudeste;Espírito Santo ;30;2012
Região Sudeste;Espírito Santo ;15;2013
Região Sudeste;Espírito Santo ;15,108;2014
Região Sudeste;Espírito Santo ;0,234;2015
Região Sudeste;Espírito Santo ;10,216;2016
Região Sudeste;Espírito Santo ;11;2017
Região Sudeste;Espírito Santo ;29,637;2018
Região Sudeste;Espírito Santo ;42;2019
Região Sudeste;Espírito Santo ;26;2020
Região Sudeste;Espírito Santo ;30;2021
Região Sudeste;Rio de Janeiro ;0;2012
Região Sudeste;Rio de Janeiro ;0,527;2013
Região Sudeste;Rio de Janeiro ;6,64;2014
Região Sudeste;Rio de Janeiro ;13,457;2015
Região Sudeste;Rio de Janeiro ;592,102;2016
Região Sudeste;Rio de Janeiro ;462,099;2017
Região Sudeste;Rio de Janeiro ;351,734;2018
Região Sudeste;Rio de Janeiro ;219,39;2019
Região Sudeste;Rio de Janeiro ;149,392;2020
Região Sudeste;Rio de Janeiro ;85;2021
Região Sudeste;São Paulo ;1366;2012
Região Sudeste;São Paulo ;1260;2013
Região Sudeste;São Paulo ;786,363;2014
Região Sudeste;São Paulo ;674,246;2015
Região Sudeste;São Paulo ;260,209;2016
Região Sudeste;São Paulo ;265;2017
Região Sudeste;São Paulo ;270;2018
Região Sudeste;São Paulo ;254,996;2019
Região Sudeste;São Paulo ;179,8;2020
Região Sudeste;São Paulo ;143;2021
Região Sul ;Paraná ;317;2012
Região Sul ;Paraná ;445;2013
Região Sul ;Paraná ;436;2014
Região Sul ;Paraná ;328;2015
Região Sul ;Paraná ;391,5;2016
Região Sul ;Paraná ;194,5;2017
Região Sul ;Paraná ;148,5;2018
