GRANDES REGIÕES;UNIDADDES DA FEDERAÇÃO;VENDAS DE GASOLINA DE AVIAÇÃO PELAS DISTRIBUIDORAS;ANO
Região Norte ;Rondônia;825;2012
Região Norte ;Rondônia;897,2658098;2013
Região Norte ;Rondônia;839,446;2014
Região Norte ;Rondônia;731,4395635;2015
Região Norte ;Rondônia;564,365;2016
Região Norte ;Rondônia;444;2017
Região Norte ;Rondônia;584,162;2018
Região Norte ;Rondônia;420,486;2019
Região Norte ;Rondônia;472,325;2020
Região Norte ;Rondônia;709,291;2021
Região Norte ;Acre ;1012;2012
Região Norte ;Acre ;1137,930949;2013
Região Norte ;Acre ;1026,752;2014
Região Norte ;Acre ;889,4323059;2015
Região Norte ;Acre ;875;2016
Região Norte ;Acre ;739;2017
Região Norte ;Acre ;778;2018
Região Norte ;Acre ;709,606;2019
Região Norte ;Acre ;717,707;2020
Região Norte ;Acre ;629,91;2021
Região Norte ;Amazonas ;2054;2012
Região Norte ;Amazonas ;1747,17255;2013
Região Norte ;Amazonas ;1658,33;2014
Região Norte ;Amazonas ;1100,661471;2015
Região Norte ;Amazonas ;1019,343;2016
Região Norte ;Amazonas ;695;2017
Região Norte ;Amazonas ;589;2018
Região Norte ;Amazonas ;674,314;2019
Região Norte ;Amazonas ;334,48;2020
Região Norte ;Amazonas ;441,642;2021
Região Norte ;Roraima;899;2012
Região Norte ;Roraima;1109,834195;2013
Região Norte ;Roraima;1148,371;2014
Região Norte ;Roraima;1054,40859;2015
Região Norte ;Roraima;1041,998;2016
Região Norte ;Roraima;652;2017
Região Norte ;Roraima;383,207;2018
Região Norte ;Roraima;1097,898;2019
Região Norte ;Roraima;2072,731;2020
Região Norte ;Roraima;3451,403;2021
Região Norte ;Pará ;4889;2012
Região Norte ;Pará ;4619,95188;2013
Região Norte ;Pará ;4593,343;2014
Região Norte ;Pará ;4003,267308;2015
Região Norte ;Pará ;4097,938;2016
Região Norte ;Pará ;3964,299;2017
Região Norte ;Pará ;3670,623;2018
Região Norte ;Pará ;3274,806;2019
Região Norte ;Pará ;3654,406;2020
Região Norte ;Pará ;4069,151;2021
Região Norte ;Amapá;434;2012
Região Norte ;Amapá;374,3232255;2013
Região Norte ;Amapá;392,14;2014
Região Norte ;Amapá;430,7040113;2015
Região Norte ;Amapá;404,599;2016
Região Norte ;Amapá;425;2017
Região Norte ;Amapá;329;2018
Região Norte ;Amapá;377,4;2019
Região Norte ;Amapá;593,5;2020
Região Norte ;Amapá;626,1;2021
Região Norte ;Tocantins ;1660;2012
Região Norte ;Tocantins ;2179,925225;2013
Região Norte ;Tocantins ;2475,128;2014
Região Norte ;Tocantins ;2044,546601;2015
Região Norte ;Tocantins ;2030,062;2016
Região Norte ;Tocantins ;1956,952;2017
Região Norte ;Tocantins ;1737,175;2018
Região Norte ;Tocantins ;1296,786;2019
Região Norte ;Tocantins ;1494,004;2020
Região Norte ;Tocantins ;1722,311;2021
Região Nordeste;Maranhão;952;2012
Região Nordeste;Maranhão;806,2217304;2013
Região Nordeste;Maranhão;843,542;2014
Região Nordeste;Maranhão;556,9810886;2015
Região Nordeste;Maranhão;420,966;2016
Região Nordeste;Maranhão;414,604;2017
Região Nordeste;Maranhão;436,212;2018
Região Nordeste;Maranhão;404,153;2019
Região Nordeste;Maranhão;367,066;2020
Região Nordeste;Maranhão;467,571;2021
Região Nordeste;Piauí ;760;2012
Região Nordeste;Piauí ;607,5174227;2013
Região Nordeste;Piauí ;709,654;2014
Região Nordeste;Piauí ;543,5622361;2015
Região Nordeste;Piauí ;526,346;2016
Região Nordeste;Piauí ;361,419;2017
Região Nordeste;Piauí ;363,379;2018
Região Nordeste;Piauí ;286,765;2019
Região Nordeste;Piauí ;250,986;2020
Região Nordeste;Piauí ;392,069;2021
Região Nordeste;Ceará;779;2012
Região Nordeste;Ceará;816,8767332;2013
Região Nordeste;Ceará;822,736;2014
