GRANDES REGIÕES;UNIDADES DA FEDERAÇÃO;BANDEIRA;QUANTIDADE DE POSTOS REVENDEDORES DE COMBUSTÍVEIS AUTOMOTIVOS
Região Norte;Rondônia;Vibra;101
Região Norte;Rondônia;Ipiranga;91
Região Norte;Rondônia;Raízen;8
Região Norte;Rondônia;Alesat;0
Região Norte;Rondônia;Bandeira branca2;208
Região Norte;Rondônia;Outras3;108
Região Norte;Acre;Vibra;60
Região Norte;Acre;Ipiranga;15
Região Norte;Acre;Raízen;3
Região Norte;Acre;Alesat;0
Região Norte;Acre;Bandeira branca2;56
Região Norte;Acre;Outras3;45
Região Norte;Amazonas;Vibra;70
Região Norte;Amazonas;Ipiranga;49
Região Norte;Amazonas;Raízen;10
Região Norte;Amazonas;Alesat;0
Região Norte;Amazonas;Bandeira branca2;277
Região Norte;Amazonas;Outras3;353
Região Norte;Roraima;Vibra;32
Região Norte;Roraima;Ipiranga;8
Região Norte;Roraima;Raízen;1
Região Norte;Roraima;Alesat;0
Região Norte;Roraima;Bandeira branca2;61
Região Norte;Roraima;Outras3;29
Região Norte;Pará;Vibra;182
Região Norte;Pará;Ipiranga;211
Região Norte;Pará;Raízen;30
Região Norte;Pará;Alesat;18
Região Norte;Pará;Bandeira branca2;689
Região Norte;Pará;Outras3;242
Região Norte;Amapá;Vibra;25
Região Norte;Amapá;Ipiranga;37
Região Norte;Amapá;Raízen;1
Região Norte;Amapá;Alesat;0
Região Norte;Amapá;Bandeira branca2;58
Região Norte;Amapá;Outras3;0
Região Norte;Tocantins;Vibra;69
Região Norte;Tocantins;Ipiranga;47
Região Norte;Tocantins;Raízen;29
Região Norte;Tocantins;Alesat;13
Região Norte;Tocantins;Bandeira branca2;257
Região Norte;Tocantins;Outras3;12
Região Nordeste;Maranhão;Vibra;112
Região Nordeste;Maranhão;Ipiranga;104
Região Nordeste;Maranhão;Raízen;12
Região Nordeste;Maranhão;Alesat;72
Região Nordeste;Maranhão;Bandeira branca2;1040
Região Nordeste;Maranhão;Outras3;215
Região Nordeste;Piauí;Vibra;131
Região Nordeste;Piauí;Ipiranga;104
Região Nordeste;Piauí;Raízen;4
Região Nordeste;Piauí;Alesat;17
Região Nordeste;Piauí;Bandeira branca2;644
Região Nordeste;Piauí;Outras3;146
Região Nordeste;Ceará;Vibra;359
Região Nordeste;Ceará;Ipiranga;89
Região Nordeste;Ceará;Raízen;224
Região Nordeste;Ceará;Alesat;49
Região Nordeste;Ceará;Bandeira branca2;860
Região Nordeste;Ceará;Outras3;222
Região Nordeste;Rio Grande do Norte;Vibra;167
Região Nordeste;Rio Grande do Norte;Ipiranga;33
Região Nordeste;Rio Grande do Norte;Raízen;27
Região Nordeste;Rio Grande do Norte;Alesat;84
Região Nordeste;Rio Grande do Norte;Bandeira branca2;283
Região Nordeste;Rio Grande do Norte;Outras3;63
Região Nordeste;Paraíba;Vibra;100
Região Nordeste;Paraíba;Ipiranga;51
Região Nordeste;Paraíba;Raízen;42
Região Nordeste;Paraíba;Alesat;33
Região Nordeste;Paraíba;Bandeira branca2;442
Região Nordeste;Paraíba;Outras3;127
Região Nordeste;Pernambuco;Vibra;279
Região Nordeste;Pernambuco;Ipiranga;93
Região Nordeste;Pernambuco;Raízen;147
Região Nordeste;Pernambuco;Alesat;33
Região Nordeste;Pernambuco;Bandeira branca2;741
Região Nordeste;Pernambuco;Outras3;195
Região Nordeste;Alagoas;Vibra;164
Região Nordeste;Alagoas;Ipiranga;40
Região Nordeste;Alagoas;Raízen;44
Região Nordeste;Alagoas;Alesat;16
Região Nordeste;Alagoas;Bandeira branca2;231
Região Nordeste;Alagoas;Outras3;29
Região Nordeste;Sergipe;Vibra;107
Região Nordeste;Sergipe;Ipiranga;3
Região Nordeste;Sergipe;Raízen;25
Região Nordeste;Sergipe;Alesat;4
Região Nordeste;Sergipe;Bandeira branca2;93
Região Nordeste;Sergipe;Outras3;75
Região Nordeste;Bahia;Vibra;342
Região Nordeste;Bahia;Ipiranga;97
Região Nordeste;Bahia;Raízen;313
Região Nordeste;Bahia;Alesat;61
Região Nordeste;Bahia;Bandeira branca2;2064
Região Nordeste;Bahia;Outras3;175
Região Sudeste;Minas Gerais;Vibra;901
Região Sudeste;Minas Gerais;Ipiranga;471
Região Sudeste;Minas Gerais;Raízen;564
Região Sudeste;Minas Gerais;Alesat;302
Região Sudeste;Minas Gerais;Bandeira branca2;2211
Região Sudeste;Minas Gerais;Outras3;196
Região Sudeste;Espírito Santo;Vibra;136
Região Sudeste;Espírito Santo;Ipiranga;96
Região Sudeste;Espírito Santo;Raízen;121
Região Sudeste;Espírito Santo;Alesat;39
Região Sudeste;Espírito Santo;Bandeira branca2;256
Região Sudeste;Espírito Santo;Outras3;75
Região Sudeste;Rio de Janeiro;Vibra;398
Região Sudeste;Rio de Janeiro;Ipiranga;258
Região Sudeste;Rio de Janeiro;Raízen;409
Região Sudeste;Rio de Janeiro;Alesat;47
Região Sudeste;Rio de Janeiro;Bandeira branca2;873
Região Sudeste;Rio de Janeiro;Outras3;8
Região Sudeste;São Paulo;Vibra;1363
Região Sudeste;São Paulo;Ipiranga;1518
Região Sudeste;São Paulo;Raízen;1411
Região Sudeste;São Paulo;Alesat;109
Região Sudeste;São Paulo;Bandeira branca2;4070
Região Sudeste;São Paulo;Outras3;83
Região Sul;Paraná;Vibra;350
Região Sul;Paraná;Ipiranga;506
Região Sul;Paraná;Raízen;376
Região Sul;Paraná;Alesat;13
Região Sul;Paraná;Bandeira branca2;1258
Região Sul;Paraná;Outras3;299
Região Sul;Santa Catarina;Vibra;246
Região Sul;Santa Catarina;Ipiranga;422
Região Sul;Santa Catarina;Raízen;35
Região Sul;Santa Catarina;Alesat;80
Região Sul;Santa Catarina;Bandeira branca2;649
Região Sul;Santa Catarina;Outras3;543
Região Sul;Rio Grande do Sul;Vibra;520
Região Sul;Rio Grande do Sul;Ipiranga;773
Região Sul;Rio Grande do Sul;Raízen;369
Região Sul;Rio Grande do Sul;Alesat;25
Região Sul;Rio Grande do Sul;Bandeira branca2;923
