BANDEIRAS;DISTRIBUIÇÃO PERCENTUAL
Bandeira Branca1 ;0,47478
Vibra;0,16254
Ipiranga ;0,1295
Raízen;0,1078
Alesat ;0,02587
Rodoil;0,00972
Sabba;0,00939
SP;0,00833
Atem's;0,00653
Charrua;0,0055
TotalEnergies;0,00545
Equador;0,00519
Raízen Mime;0,00498
Fan;0,0033
Taurus;0,0033
Dislub;0,003
Ciapetro;0,00245
Stang;0,00241
Idaza;0,00229
Temape;0,00229
Potencial;0,00224
Petrobahia;0,00222
Petrox;0,00186
Maxsul;0,00179
Atlântica;0,00177
Setta;0,00158
TDC;0,00137
Simarelli;0,00132
Rio Branco;0,00113
Federal;0,00106
Dibrape;0,00101
Watt;0,00097
Petroserra;0,00094
Larco;0,00075
Sul Combustíveis;0,00073
Small;0,00071
Americanoil;0,00068
Wandendowsky;0,00045
Rejaile;0,0004
Hora;0,00035
Air BP;0,00033
Torrão;0,00031
Ruff CJ;0,00024
RDZ Distribuidora;0,00021
Masut;0,00014
Pelikano;0,00014
D'mais;0,00009
Acol;0,00007
Tobras;0,00007
Global;0,00005
Montepetro;0,00005
Royal Fic;0,00005
Saara;0,00005
Uni;0,00005
Alcoolbras;0,00002
Estrada;0,00002
GP Distribuidora;0,00002
Gran Petro;0,00002
Imperial;0,00002
Mazp;0,00002
Podium;0,00002
PR;0,00002
Soll;0,00002
