GRANDES REGIÕES;UNIDADES DA FEDERAÇÃO;QUANTIDADE DE TRRS DE COMBUSTÍVEIS
Região Norte;Rondônia ;6
Região Norte;Pará;20
Região Norte;Tocantins ;5
Região Nordeste;Maranhão;2
Região Nordeste;Piauí ;5
Região Nordeste;Ceará;3
Região Nordeste;Rio Grande do Norte ;2
Região Nordeste;Pernambuco  ;6
Região Nordeste;Sergipe  ;2
Região Nordeste;Bahia  ;12
Região Sudeste;Minas Gerais  ;44
Região Sudeste;Espírito Santo ;10
Região Sudeste;Rio de Janeiro ;11
Região Sudeste;São Paulo  ;87
Região Sul;Paraná ;85
Região Sul;Santa Catarina ;36
Região Sul;Rio Grande do Sul ;89
Região Centro-Oeste;Mato Grosso do Sul ;34
Região Centro-Oeste;Mato Grosso ;67
Região Centro-Oeste;Goiás  ;30
Região Centro-Oeste;Distrito Federal ;2
