GRANDES REGIÕES;UNIDADES DA FEDERAÇÃO;PREÇO MÉDIO1 DA GASOLINA C AO CONSUMIDOR;ANO
Região Norte;Rondônia;2,952;2012
Região Norte;Rondônia;3,056833333;2013
Região Norte;Rondônia;3,20475;2014
Região Norte;Rondônia;3,594833333;2015
Região Norte;Rondônia;3,88325;2016
Região Norte;Rondônia;3,948583333;2017
Região Norte;Rondônia;4,493916667;2018
Região Norte;Rondônia;4,5145;2019
Região Norte;Rondônia;4,381;2020
Região Norte;Rondônia;5,8595;2021
Região Norte;Acre;3,125;2012
Região Norte;Acre;3,254333333;2013
Região Norte;Acre;3,40725;2014
Região Norte;Acre;3,842;2015
Região Norte;Acre;4,092416667;2016
Região Norte;Acre;4,367583333;2017
Região Norte;Acre;4,979916667;2018
Região Norte;Acre;4,8515;2019
Região Norte;Acre;4,821545455;2020
Região Norte;Acre;6,322166667;2021
Região Norte;Amazonas;2,889;2012
Região Norte;Amazonas;2,992083333;2013
Região Norte;Amazonas;3,160833333;2014
Região Norte;Amazonas;3,605666667;2015
Região Norte;Amazonas;3,729416667;2016
Região Norte;Amazonas;3,805166667;2017
Região Norte;Amazonas;4,49625;2018
Região Norte;Amazonas;4,223333333;2019
Região Norte;Amazonas;4,273727273;2020
Região Norte;Amazonas;5,638833333;2021
Região Norte;Roraima;2,869;2012
Região Norte;Roraima;3,0085;2013
Região Norte;Roraima;3,096;2014
Região Norte;Roraima;3,560333333;2015
Região Norte;Roraima;3,882333333;2016
Região Norte;Roraima;3,759916667;2017
Região Norte;Roraima;4,257;2018
Região Norte;Roraima;4,113083333;2019
Região Norte;Roraima;3,992909091;2020
Região Norte;Roraima;5,5035;2021
Região Norte;Pará;2,845;2012
Região Norte;Pará;2,982083333;2013
Região Norte;Pará;3,120416667;2014
Região Norte;Pará;3,5405;2015
Região Norte;Pará;3,98425;2016
Região Norte;Pará;4,02025;2017
Região Norte;Pará;4,490666667;2018
Região Norte;Pará;4,544666667;2019
Região Norte;Pará;4,384181818;2020
Região Norte;Pará;5,842833333;2021
Região Norte;Amapá;2,707;2012
Região Norte;Amapá;2,848583333;2013
Região Norte;Amapá;2,964583333;2014
Região Norte;Amapá;3,34175;2015
Região Norte;Amapá;3,652833333;2016
Região Norte;Amapá;3,699416667;2017
Região Norte;Amapá;4,071583333;2018
Região Norte;Amapá;3,94875;2019
Região Norte;Amapá;3,534818182;2020
Região Norte;Amapá;5,02675;2021
Região Norte;Tocantins;2,911;2012
Região Norte;Tocantins;3,042916667;2013
Região Norte;Tocantins;3,120166667;2014
Região Norte;Tocantins;3,51575;2015
Região Norte;Tocantins;3,864416667;2016
Região Norte;Tocantins;3,884083333;2017
Região Norte;Tocantins;4,653166667;2018
Região Norte;Tocantins;4,570583333;2019
Região Norte;Tocantins;4,545636364;2020
Região Norte;Tocantins;6,015916667;2021
Região Nordeste;Maranhão;2,641;2012
Região Nordeste;Maranhão;2,823666667;2013
Região Nordeste;Maranhão;2,987666667;2014
Região Nordeste;Maranhão;3,314583333;2015
Região Nordeste;Maranhão;3,57525;2016
Região Nordeste;Maranhão;3,588083333;2017
Região Nordeste;Maranhão;4,155416667;2018
Região Nordeste;Maranhão;4,355583333;2019
Região Nordeste;Maranhão;4,194363636;2020
Região Nordeste;Maranhão;5,6265;2021
Região Nordeste;Piauí;2,58;2012
Região Nordeste;Piauí;2,717583333;2013
Região Nordeste;Piauí;2,827083333;2014
Região Nordeste;Piauí;3,262333333;2015
Região Nordeste;Piauí;3,656916667;2016
Região Nordeste;Piauí;3,649166667;2017
Região Nordeste;Piauí;4,423666667;2018
Região Nordeste;Piauí;4,53675;2019
Região Nordeste;Piauí;4,392818182;2020
Região Nordeste;Piauí;6,096333333;2021
Região Nordeste;Ceará;2,707;2012
Região Nordeste;Ceará;2,840083333;2013
Região Nordeste;Ceará;2,993;2014
Região Nordeste;Ceará;3,45175;2015
Região Nordeste;Ceará;3,908916667;2016
Região Nordeste;Ceará;3,930166667;2017
Região Nordeste;Ceará;4,499833333;2018
Região Nordeste;Ceará;4,523333333;2019
Região Nordeste;Ceará;4,403545455;2020
Região Nordeste;Ceará;5,859166667;2021
Região Nordeste;Rio Grande do Norte;2,697;2012
Região Nordeste;Rio Grande do Norte;2,882;2013
Região Nordeste;Rio Grande do Norte;3,026333333;2014
Região Nordeste;Rio Grande do Norte;3,368083333;2015
Região Nordeste;Rio Grande do Norte;3,832416667;2016
