GRANDES REGIÕES;UNIDADES DA FEDERAÇÃO;PREÇO MÉDIO1 DO ÓLEO DIESEL AO CONSUMIDOR;ANO
Região Norte;Rondônia;2,241;2012
Região Norte;Rondônia;2,492583333;2013
Região Norte;Rondônia;2,761166667;2014
Região Norte;Rondônia;3,106916667;2015
Região Norte;Rondônia;3,298;2016
Região Norte;Rondônia;3,3175;2017
Região Norte;Rondônia;3,70575;2018
Região Norte;Rondônia;3,84125;2019
Região Norte;Rondônia;3,640727273;2020
Região Norte;Rondônia;4,8275;2021
Região Norte;Acre;2,597;2012
Região Norte;Acre;2,820666667;2013
Região Norte;Acre;3,073083333;2014
Região Norte;Acre;3,390083333;2015
Região Norte;Acre;3,589166667;2016
Região Norte;Acre;3,82225;2017
Região Norte;Acre;4,3785;2018
Região Norte;Acre;4,6135;2019
Região Norte;Acre;4,503272727;2020
Região Norte;Acre;5,855833333;2021
Região Norte;Amazonas;2,183;2012
Região Norte;Amazonas;2,373416667;2013
Região Norte;Amazonas;2,596833333;2014
Região Norte;Amazonas;2,98625;2015
Região Norte;Amazonas;3,173333333;2016
Região Norte;Amazonas;3,208916667;2017
Região Norte;Amazonas;3,54825;2018
Região Norte;Amazonas;3,698833333;2019
Região Norte;Amazonas;3,489090909;2020
Região Norte;Amazonas;4,56275;2021
Região Norte;Roraima;2,394;2012
Região Norte;Roraima;2,624416667;2013
Região Norte;Roraima;2,790083333;2014
Região Norte;Roraima;3,094666667;2015
Região Norte;Roraima;3,249166667;2016
Região Norte;Roraima;3,260083333;2017
Região Norte;Roraima;3,596666667;2018
Região Norte;Roraima;3,67125;2019
Região Norte;Roraima;3,573727273;2020
Região Norte;Roraima;4,81125;2021
Região Norte;Pará;2,209;2012
Região Norte;Pará;2,4805;2013
Região Norte;Pará;2,692083333;2014
Região Norte;Pará;3,037333333;2015
Região Norte;Pará;3,278416667;2016
Região Norte;Pará;3,374083333;2017
Região Norte;Pará;3,724;2018
Região Norte;Pará;3,933416667;2019
Região Norte;Pará;3,791111111;2020
Região Norte;Pará;4,944454545;2021
Região Norte;Amapá;2,187;2012
Região Norte;Amapá;2,340666667;2013
Região Norte;Amapá;2,58525;2014
Região Norte;Amapá;2,990333333;2015
Região Norte;Amapá;3,533916667;2016
Região Norte;Amapá;3,584;2017
Região Norte;Amapá;3,886;2018
Região Norte;Amapá;4,156916667;2019
Região Norte;Amapá;3,678727273;2020
Região Norte;Amapá;4,710916667;2021
Região Norte;Tocantins;2,05;2012
Região Norte;Tocantins;2,271083333;2013
Região Norte;Tocantins;2,473333333;2014
Região Norte;Tocantins;2,83875;2015
Região Norte;Tocantins;3,034583333;2016
Região Norte;Tocantins;3,06;2017
Região Norte;Tocantins;3,507583333;2018
Região Norte;Tocantins;3,6235;2019
Região Norte;Tocantins;3,421181818;2020
Região Norte;Tocantins;4,602666667;2021
Região Nordeste;Maranhão;2,045;2012
Região Nordeste;Maranhão;2,256583333;2013
Região Nordeste;Maranhão;2,443833333;2014
Região Nordeste;Maranhão;2,789416667;2015
Região Nordeste;Maranhão;3,047333333;2016
Região Nordeste;Maranhão;3,060583333;2017
Região Nordeste;Maranhão;3,430333333;2018
Região Nordeste;Maranhão;3,614666667;2019
Região Nordeste;Maranhão;3,402909091;2020
Região Nordeste;Maranhão;4,5865;2021
Região Nordeste;Piauí;2,083;2012
Região Nordeste;Piauí;2,300666667;2013
Região Nordeste;Piauí;2,483083333;2014
Região Nordeste;Piauí;2,88425;2015
Região Nordeste;Piauí;3,145;2016
Região Nordeste;Piauí;3,145916667;2017
Região Nordeste;Piauí;3,579;2018
Região Nordeste;Piauí;3,685833333;2019
Região Nordeste;Piauí;3,508363636;2020
Região Nordeste;Piauí;4,762666667;2021
Região Nordeste;Ceará;2,099;2012
Região Nordeste;Ceará;2,368083333;2013
Região Nordeste;Ceará;2,569;2014
Região Nordeste;Ceará;2,917416667;2015
Região Nordeste;Ceará;3,177333333;2016
Região Nordeste;Ceará;3,229666667;2017
Região Nordeste;Ceará;3,66775;2018
Região Nordeste;Ceará;3,802083333;2019
Região Nordeste;Ceará;3,601545455;2020
Região Nordeste;Ceará;4,780416667;2021
Região Nordeste;Rio Grande do Norte;2,052;2012
Região Nordeste;Rio Grande do Norte;2,264833333;2013
Região Nordeste;Rio Grande do Norte;2,497666667;2014
Região Nordeste;Rio Grande do Norte;2,803;2015
Região Nordeste;Rio Grande do Norte;3,086833333;2016
Região Nordeste;Rio Grande do Norte;3,15275;2017
Região Nordeste;Rio Grande do Norte;3,553166667;2018
Região Nordeste;Rio Grande do Norte;3,6795;2019
Região Nordeste;Rio Grande do Norte;3,498909091;2020
Região Nordeste;Rio Grande do Norte;4,779083333;2021
Região Nordeste;Paraíba;2,024;2012
Região Nordeste;Paraíba;2,256083333;2013
Região Nordeste;Paraíba;2,432666667;2014
Região Nordeste;Paraíba;2,763416667;2015
Região Nordeste;Paraíba;2,987916667;2016
Região Nordeste;Paraíba;3,040666667;2017
Região Nordeste;Paraíba;3,435333333;2018
Região Nordeste;Paraíba;3,578583333;2019
Região Nordeste;Paraíba;3,370545455;2020
Região Nordeste;Paraíba;4,50525;2021
Região Nordeste;Pernambuco;2,072;2012
Região Nordeste;Pernambuco;2,266583333;2013
Região Nordeste;Pernambuco;2,461166667;2014
Região Nordeste;Pernambuco;2,795916667;2015
Região Nordeste;Pernambuco;3,008916667;2016
Região Nordeste;Pernambuco;2,99975;2017
Região Nordeste;Pernambuco;3,49775;2018
Região Nordeste;Pernambuco;3,7015;2019
Região Nordeste;Pernambuco;3,587818182;2020
Região Nordeste;Pernambuco;4,704916667;2021
Região Nordeste;Alagoas;2,053;2012
Região Nordeste;Alagoas;2,279583333;2013
Região Nordeste;Alagoas;2,461583333;2014
Região Nordeste;Alagoas;2,794583333;2015
Região Nordeste;Alagoas;3,014166667;2016
Região Nordeste;Alagoas;3,1385;2017
Região Nordeste;Alagoas;3,591166667;2018
Região Nordeste;Alagoas;3,745083333;2019
Região Nordeste;Alagoas;3,584545455;2020
Região Nordeste;Alagoas;4,807333333;2021
Região Nordeste;Sergipe;2,099;2012
Região Nordeste;Sergipe;2,339666667;2013
Região Nordeste;Sergipe;2,478083333;2014
Região Nordeste;Sergipe;2,790416667;2015
Região Nordeste;Sergipe;3,00025;2016
Região Nordeste;Sergipe;3,09375;2017
Região Nordeste;Sergipe;3,515;2018
Região Nordeste;Sergipe;3,620833333;2019
Região Nordeste;Sergipe;3,500636364;2020
Região Nordeste;Sergipe;4,727833333;2021
Região Nordeste;Bahia;1,996;2012
Região Nordeste;Bahia;2,275;2013
Região Nordeste;Bahia;2,451583333;2014
Região Nordeste;Bahia;2,775916667;2015
Região Nordeste;Bahia;2,980416667;2016
Região Nordeste;Bahia;3,067333333;2017
Região Nordeste;Bahia;3,478666667;2018
Região Nordeste;Bahia;3,578583333;2019
Região Nordeste;Bahia;3,386272727;2020
Região Nordeste;Bahia;4,578333333;2021
Região Sudeste;Minas Gerais;2,101;2012
Região Sudeste;Minas Gerais;2,338333333;2013
Região Sudeste;Minas Gerais;2,526666667;2014
Região Sudeste;Minas Gerais;2,833916667;2015
Região Sudeste;Minas Gerais;3,002083333;2016
Região Sudeste;Minas Gerais;3,12925;2017
Região Sudeste;Minas Gerais;3,55525;2018
Região Sudeste;Minas Gerais;3,634333333;2019
Região Sudeste;Minas Gerais;3,492181818;2020
Região Sudeste;Minas Gerais;4,598583333;2021
Região Sudeste;Espírito Santo;2,106;2012
Região Sudeste;Espírito Santo;2,325833333;2013
Região Sudeste;Espírito Santo;2,49425;2014
Região Sudeste;Espírito Santo;2,801;2015
Região Sudeste;Espírito Santo;2,986416667;2016
Região Sudeste;Espírito Santo;3,161333333;2017
Região Sudeste;Espírito Santo;3,4065;2018
Região Sudeste;Espírito Santo;3,565583333;2019
Região Sudeste;Espírito Santo;3,290454545;2020
Região Sudeste;Espírito Santo;4,390166667;2021
Região Sudeste;Rio de Janeiro;2,05;2012
