GRANDES REGIÕES;UNIDADES DA FEDERAÇÃO;PREÇO MÉDIO1 DO GLP AO CONSUMIDOR;ANO
Região Norte;Rondônia;3,1;2012
Região Norte;Rondônia;3,41149359;2013
Região Norte;Rondônia;3,734108974;2014
Região Norte;Rondônia;4,141;2015
Região Norte;Rondônia;4,583294872;2016
Região Norte;Rondônia;5,117916667;2017
Região Norte;Rondônia;5,943339744;2018
Região Norte;Rondônia;6,053596154;2019
Região Norte;Rondônia;6,374881119;2020
Região Norte;Rondônia;8,172557692;2021
Região Norte;Acre;3,503;2012
Região Norte;Acre;3,680608974;2013
Região Norte;Acre;3,880814103;2014
Região Norte;Acre;4,246;2015
Região Norte;Acre;4,576032051;2016
Região Norte;Acre;5,099467949;2017
Região Norte;Acre;6,061070513;2018
Região Norte;Acre;6,142673077;2019
Região Norte;Acre;6,579440559;2020
Região Norte;Acre;8,241980769;2021
Região Norte;Amazonas;2,518;2012
Região Norte;Amazonas;3,231448718;2013
Região Norte;Amazonas;3,450884615;2014
Região Norte;Amazonas;3,708;2015
Região Norte;Amazonas;3,981057692;2016
Região Norte;Amazonas;4,581737179;2017
Região Norte;Amazonas;5,449807692;2018
Região Norte;Amazonas;5,588955128;2019
Região Norte;Amazonas;5,928615385;2020
Região Norte;Amazonas;7,36949359;2021
Região Norte;Roraima;3,444;2012
Região Norte;Roraima;3,61025641;2013
Região Norte;Roraima;3,823448718;2014
Região Norte;Roraima;4,191;2015
Região Norte;Roraima;4,519333333;2016
Região Norte;Roraima;5,287064103;2017
Região Norte;Roraima;6,214032051;2018
Região Norte;Roraima;6,455012821;2019
Região Norte;Roraima;6,630342657;2020
Região Norte;Roraima;8,111051282;2021
Região Norte;Pará;3,205;2012
Região Norte;Pará;3,285378205;2013
Região Norte;Pará;3,432371795;2014
Região Norte;Pará;4,041;2015
Região Norte;Pará;4,585897436;2016
Região Norte;Pará;4,936429487;2017
Região Norte;Pará;5,628589744;2018
Região Norte;Pará;5,864314103;2019
Região Norte;Pará;5,957888112;2020
Região Norte;Pará;7,488429487;2021
Região Norte;Amapá;3,308;2012
Região Norte;Amapá;3,658166667;2013
Região Norte;Amapá;4,084961538;2014
Região Norte;Amapá;4,702;2015
Região Norte;Amapá;5,223910256;2016
Região Norte;Amapá;5,23874359;2017
Região Norte;Amapá;5,792551282;2018
Região Norte;Amapá;6,006807692;2019
Região Norte;Amapá;6,536622378;2020
Região Norte;Amapá;8,209551282;2021
Região Norte;Tocantins;3,413;2012
Região Norte;Tocantins;3,451185897;2013
Região Norte;Tocantins;3,756358974;2014
Região Norte;Tocantins;4,591;2015
Região Norte;Tocantins;5,254602564;2016
Região Norte;Tocantins;5,605871795;2017
Região Norte;Tocantins;6,451128205;2018
Região Norte;Tocantins;6,136762821;2019
Região Norte;Tocantins;6,270314685;2020
Região Norte;Tocantins;7,687352564;2021
Região Nordeste;Maranhão;3,266;2012
Região Nordeste;Maranhão;3,573346154;2013
Região Nordeste;Maranhão;3,588153846;2014
Região Nordeste;Maranhão;3,813;2015
Região Nordeste;Maranhão;4,113378205;2016
Região Nordeste;Maranhão;4,389461538;2017
Região Nordeste;Maranhão;5,258628205;2018
Região Nordeste;Maranhão;5,388262821;2019
Região Nordeste;Maranhão;5,509839161;2020
Região Nordeste;Maranhão;7,074282051;2021
Região Nordeste;Piauí;3,117;2012
Região Nordeste;Piauí;3,170961538;2013
Região Nordeste;Piauí;3,308871795;2014
Região Nordeste;Piauí;3,733;2015
Região Nordeste;Piauí;4,231891026;2016
Região Nordeste;Piauí;4,569397436;2017
Região Nordeste;Piauí;5,206320513;2018
Região Nordeste;Piauí;5,2665;2019
Região Nordeste;Piauí;5,630195804;2020
Região Nordeste;Piauí;7,308916667;2021
Região Nordeste;Ceará;2,955;2012
Região Nordeste;Ceará;3,15300641;2013
Região Nordeste;Ceará;3,436115385;2014
Região Nordeste;Ceará;4,061;2015
Região Nordeste;Ceará;4,652153846;2016
Região Nordeste;Ceará;4,896987179;2017
Região Nordeste;Ceará;5,453076923;2018
Região Nordeste;Ceará;5,694198718;2019
Região Nordeste;Ceará;5,893622378;2020
Região Nordeste;Ceará;7,313198718;2021
Região Nordeste;Rio Grande do Norte;2,961;2012
Região Nordeste;Rio Grande do Norte;3,100525641;2013
Região Nordeste;Rio Grande do Norte;3,424185897;2014
Região Nordeste;Rio Grande do Norte;3,833;2015
Região Nordeste;Rio Grande do Norte;4,258358974;2016
Região Nordeste;Rio Grande do Norte;4,436480769;2017
Região Nordeste;Rio Grande do Norte;5,039237179;2018
Região Nordeste;Rio Grande do Norte;5,258403846;2019
Região Nordeste;Rio Grande do Norte;5,410447552;2020
Região Nordeste;Rio Grande do Norte;7,299711538;2021
Região Nordeste;Paraíba;2,648;2012
Região Nordeste;Paraíba;2,786538462;2013
Região Nordeste;Paraíba;3,027307692;2014
Região Nordeste;Paraíba;3,407;2015
Região Nordeste;Paraíba;3,901128205;2016
Região Nordeste;Paraíba;4,238025641;2017
Região Nordeste;Paraíba;5,072615385;2018
Região Nordeste;Paraíba;5,223160256;2019
Região Nordeste;Paraíba;5,405832168;2020
Região Nordeste;Paraíba;7,041051282;2021
Região Nordeste;Pernambuco;2,711;2012
Região Nordeste;Pernambuco;2,964391026;2013
Região Nordeste;Pernambuco;3,19574359;2014
Região Nordeste;Pernambuco;3,571;2015
Região Nordeste;Pernambuco;3,653544872;2016
Região Nordeste;Pernambuco;4,018705128;2017
Região Nordeste;Pernambuco;4,923673077;2018
Região Nordeste;Pernambuco;5,046705128;2019
Região Nordeste;Pernambuco;5,066783217;2020
Região Nordeste;Pernambuco;6,455775641;2021
Região Nordeste;Alagoas;2,895;2012
Região Nordeste;Alagoas;3,00800641;2013
Região Nordeste;Alagoas;3,343935897;2014
Região Nordeste;Alagoas;3,594;2015
Região Nordeste;Alagoas;3,805153846;2016
Região Nordeste;Alagoas;4,276089744;2017
Região Nordeste;Alagoas;5,082262821;2018
Região Nordeste;Alagoas;4,972282051;2019
Região Nordeste;Alagoas;5,058972028;2020
Região Nordeste;Alagoas;6,682198718;2021
Região Nordeste;Sergipe;2,85;2012
Região Nordeste;Sergipe;2,960102564;2013
Região Nordeste;Sergipe;3,133910256;2014
Região Nordeste;Sergipe;3,483;2015
Região Nordeste;Sergipe;4,158307692;2016
Região Nordeste;Sergipe;5,0095;2017
Região Nordeste;Sergipe;5,777416667;2018
Região Nordeste;Sergipe;5,369423077;2019
Região Nordeste;Sergipe;5,415160839;2020
Região Nordeste;Sergipe;6,588512821;2021
Região Nordeste;Bahia;2,842;2012
Região Nordeste;Bahia;2,916384615;2013
Região Nordeste;Bahia;3,032435897;2014
Região Nordeste;Bahia;3,365;2015
Região Nordeste;Bahia;3,870692308;2016
Região Nordeste;Bahia;4,161179487;2017
Região Nordeste;Bahia;4,675057692;2018
Região Nordeste;Bahia;4,830038462;2019
Região Nordeste;Bahia;4,983146853;2020
Região Nordeste;Bahia;6,476032051;2021
Região Sudeste;Espírito Santo;2,796;2012
Região Sudeste;Espírito Santo;2,874467949;2013
Região Sudeste;Espírito Santo;3,095230769;2014
Região Sudeste;Espírito Santo;3,976;2015
Região Sudeste;Espírito Santo;4,372916667;2016
Região Sudeste;Espírito Santo;4,788352564;2017
Região Sudeste;Espírito Santo;5,384089744;2018
Região Sudeste;Espírito Santo;5,378435897;2019
Região Sudeste;Espírito Santo;5,47113986;2020
Região Sudeste;Espírito Santo;7,093205128;2021
Região Sudeste;Minas Gerais;3,243;2012
Região Sudeste;Minas Gerais;3,397211538;2013
Região Sudeste;Minas Gerais;3,593057692;2014
Região Sudeste;Minas Gerais;3,634;2015
Região Sudeste;Minas Gerais;3,986442308;2016
Região Sudeste;Minas Gerais;4,321134615;2017
Região Sudeste;Minas Gerais;4,853807692;2018
Região Sudeste;Minas Gerais;4,985371795;2019
Região Sudeste;Minas Gerais;5,272531469;2020
Região Sudeste;Minas Gerais;6,718480769;2021
Região Sudeste;Rio de Janeiro;2,914;2012
Região Sudeste;Rio de Janeiro;3,017044872;2013
Região Sudeste;Rio de Janeiro;3,246461538;2014
Região Sudeste;Rio de Janeiro;3,536;2015
Região Sudeste;Rio de Janeiro;3,88075;2016
Região Sudeste;Rio de Janeiro;4,289628205;2017
Região Sudeste;Rio de Janeiro;4,833346154;2018
Região Sudeste;Rio de Janeiro;4,950134615;2019
Região Sudeste;Rio de Janeiro;4,913104895;2020
Região Sudeste;Rio de Janeiro;6,26424359;2021
Região Sudeste;São Paulo;3,011;2012
Região Sudeste;São Paulo;3,154942308;2013
Região Sudeste;São Paulo;3,246326923;2014
Região Sudeste;São Paulo;3,571;2015
Região Sudeste;São Paulo;3,987538462;2016
Região Sudeste;São Paulo;4,430455128;2017
Região Sudeste;São Paulo;5,127974359;2018
Região Sudeste;São Paulo;5,175282051;2019
Região Sudeste;São Paulo;5,364293706;2020
Região Sudeste;São Paulo;6,897371795;2021
Região Sul;Paraná;3,026;2012
Região Sul;Paraná;3,091115385;2013
Região Sul;Paraná;3,216403846;2014
Região Sul;Paraná;3,829;2015
Região Sul;Paraná;4,428923077;2016
Região Sul;Paraná;4,637211538;2017
Região Sul;Paraná;5,305679487;2018
Região Sul;Paraná;5,367224359;2019
Região Sul;Paraná;5,523629371;2020
Região Sul;Paraná;7,168660256;2021
Região Sul;Santa Catarina;3,221;2012
Região Sul;Santa Catarina;3,277192308;2013
Região Sul;Santa Catarina;3,346032051;2014
Região Sul;Santa Catarina;3,655;2015
