GRANDES REGIÕES;UNIDADES DA FEDERAÇÃO;PREÇO MÉDIO1 DO GNV AO CONSUMIDOR;ANO
Região Norte;Rondônia;0;2012
Região Norte;Rondônia;3,4345;2019
Região Norte;Rondônia;4,59;2021
Região Norte;Acre;0;2012
Região Norte;Amazonas;1,776;2012
Região Norte;Amazonas;1,955833333;2013
Região Norte;Amazonas;2,11225;2014
Região Norte;Amazonas;2,337333333;2015
Região Norte;Amazonas;2,774818182;2016
Região Norte;Amazonas;2,858416667;2017
Região Norte;Amazonas;3,120333333;2018
Região Norte;Amazonas;3,17;2019
Região Norte;Amazonas;3,321818182;2020
Região Norte;Amazonas;3,8425;2021
Região Norte;Roraima;0;2012
Região Norte;Pará;0;2012
Região Norte;Pará;2;2015
Região Norte;Pará;4,559;2019
Região Norte;Pará;4,342333333;2020
Região Norte;Amapá;0;2012
Região Norte;Amapá;3,05925;2016
Região Norte;Tocantins;0;2012
Região Norte;Tocantins;3,049;2016
Região Norte;Tocantins;3,48;2018
Região Norte;Tocantins;3,499;2019
Região Norte;Tocantins;3;2020
Região Nordeste;Maranhão;0;2012
Região Nordeste;Maranhão;2,899;2015
Região Nordeste;Maranhão;3,016;2016
Região Nordeste;Maranhão;3,474;2018
Região Nordeste;Maranhão;3,549;2019
Região Nordeste;Maranhão;4,779;2020
Região Nordeste;Maranhão;4,31;2021
Região Nordeste;Piauí;0;2012
Região Nordeste;Piauí;3,014;2017
Região Nordeste;Piauí;3,7445;2018
Região Nordeste;Piauí;3,439;2020
Região Nordeste;Ceará;1,888;2012
Região Nordeste;Ceará;1,884916667;2013
Região Nordeste;Ceará;1,9405;2014
Região Nordeste;Ceará;2,309416667;2015
Região Nordeste;Ceará;2,611666667;2016
Região Nordeste;Ceará;2,758666667;2017
Região Nordeste;Ceará;3,196666667;2018
Região Nordeste;Ceará;3,6075;2019
Região Nordeste;Ceará;3,535636364;2020
Região Nordeste;Ceará;4,209833333;2021
Região Nordeste;Rio Grande do Norte;1,907;2012
Região Nordeste;Rio Grande do Norte;1,908333333;2013
Região Nordeste;Rio Grande do Norte;1,983307692;2014
Região Nordeste;Rio Grande do Norte;2,127;2015
Região Nordeste;Rio Grande do Norte;2,476;2016
Região Nordeste;Rio Grande do Norte;2,627416667;2017
Região Nordeste;Rio Grande do Norte;3,191;2018
Região Nordeste;Rio Grande do Norte;3,571583333;2019
Região Nordeste;Rio Grande do Norte;3,443818182;2020
Região Nordeste;Rio Grande do Norte;4,19075;2021
Região Nordeste;Paraíba;1,767;2012
Região Nordeste;Paraíba;1,81375;2013
Região Nordeste;Paraíba;1,89525;2014
Região Nordeste;Paraíba;2,156;2015
Região Nordeste;Paraíba;2,390583333;2016
Região Nordeste;Paraíba;2,6265;2017
Região Nordeste;Paraíba;3,162;2018
Região Nordeste;Paraíba;3,720416667;2019
Região Nordeste;Paraíba;3,397363636;2020
Região Nordeste;Paraíba;4,002;2021
Região Nordeste;Pernambuco;1,786;2012
Região Nordeste;Pernambuco;1,7265;2013
Região Nordeste;Pernambuco;1,837615385;2014
Região Nordeste;Pernambuco;2,087583333;2015
Região Nordeste;Pernambuco;2,126666667;2016
Região Nordeste;Pernambuco;2,252916667;2017
Região Nordeste;Pernambuco;2,561916667;2018
Região Nordeste;Pernambuco;2,737666667;2019
Região Nordeste;Pernambuco;2,739636364;2020
Região Nordeste;Pernambuco;3,476916667;2021
Região Nordeste;Alagoas;1,848;2012
Região Nordeste;Alagoas;1,956416667;2013
Região Nordeste;Alagoas;1,981083333;2014
Região Nordeste;Alagoas;2,160833333;2015
Região Nordeste;Alagoas;2,322833333;2016
Região Nordeste;Alagoas;2,523583333;2017
Região Nordeste;Alagoas;2,86525;2018
Região Nordeste;Alagoas;3,486833333;2019
Região Nordeste;Alagoas;3,383636364;2020
Região Nordeste;Alagoas;3,97525;2021
Região Nordeste;Sergipe;1,858;2012
Região Nordeste;Sergipe;1,8905;2013
Região Nordeste;Sergipe;1,87975;2014
Região Nordeste;Sergipe;2,08875;2015
Região Nordeste;Sergipe;2,342333333;2016
Região Nordeste;Sergipe;2,578833333;2017
Região Nordeste;Sergipe;3,148416667;2018
Região Nordeste;Sergipe;3,712916667;2019
Região Nordeste;Sergipe;3,2285;2020
Região Nordeste;Sergipe;3,9278;2021
Região Nordeste;Bahia;1,651;2012
Região Nordeste;Bahia;1,752833333;2013
Região Nordeste;Bahia;1,895416667;2014
Região Nordeste;Bahia;2,18125;2015
Região Nordeste;Bahia;2,326666667;2016
Região Nordeste;Bahia;2,30925;2017
Região Nordeste;Bahia;2,688416667;2018
Região Nordeste;Bahia;3,1245;2019
Região Nordeste;Bahia;2,957363636;2020
Região Nordeste;Bahia;3,531;2021
Região Sudeste;Minas Gerais;1,664;2012
Região Sudeste;Minas Gerais;1,827166667;2013
Região Sudeste;Minas Gerais;1,943;2014
Região Sudeste;Minas Gerais;2,124;2015
Região Sudeste;Minas Gerais;2,357166667;2016
Região Sudeste;Minas Gerais;2,56325;2017
Região Sudeste;Minas Gerais;2,9135;2018
Região Sudeste;Minas Gerais;3,452;2019
Região Sudeste;Minas Gerais;3,087454545;2020
Região Sudeste;Minas Gerais;3,925083333;2021
Região Sudeste;Espírito Santo;1,861;2012
Região Sudeste;Espírito Santo;1,898666667;2013
Região Sudeste;Espírito Santo;1,852307692;2014
Região Sudeste;Espírito Santo;1,94275;2015
Região Sudeste;Espírito Santo;2,21625;2016
Região Sudeste;Espírito Santo;2,306166667;2017
