PRODUTO COMBUSTÍVEL;AMOSTRAS COLETADAS;AMOSTRAS NÃO CONFORMES;ANO
Etanol Hidratado;42843;902;2012
Etanol Hidratado;46204;746;2013
Etanol Hidratado;44433;705;2014
Etanol Hidratado;24070;355;2015
Etanol Hidratado;13996;291;2016
Etanol Hidratado;27049;499;2017
Etanol Hidratado;27419;566;2018
Etanol Hidratado;24077;415;2019
Etanol Hidratado;21060;358;2020
Etanol Hidratado;21257;391;2021
Gasolina C;87045;1622;2012
Gasolina C;93997;1245;2013
Gasolina C;89862;1070;2014
Gasolina C;47223;897;2015
Gasolina C;20854;380;2016
Gasolina C;35420;540;2017
Gasolina C;35820;665;2018
Gasolina C;31880;520;2019
Gasolina C;28124;394;2020
Gasolina C;28006;422;2021
Óleo diesel;83496;2266;2012
Óleo diesel;89636;2556;2013
Óleo diesel;83359;2203;2014
Óleo diesel;43104;1341;2015
Óleo diesel;18727;544;2016
Óleo diesel;32555;1075;2017
Óleo diesel;33513;1715;2018
Óleo diesel;30187;1103;2019
Óleo diesel;26441;740;2020
Óleo diesel;26409;1193;2021
