PRODUTO COMBUSTÍVEL;TIPO DE NÃO CONFORMIDADE;NÃO CONFORMIDADES;ANO
Etanol Hidratado;Massa específica/Teor alcoólico;362;2012
Etanol Hidratado;Massa específica/Teor alcoólico;400;2013
Etanol Hidratado;Massa específica/Teor alcoólico;436;2014
Etanol Hidratado;Massa específica/Teor alcoólico;223;2015
Etanol Hidratado;Massa específica/Teor alcoólico;160;2016
Etanol Hidratado;Massa específica/Teor alcoólico;267;2017
Etanol Hidratado;Massa específica/Teor alcoólico;293;2018
Etanol Hidratado;Massa específica/Teor alcoólico;229;2019
Etanol Hidratado;Massa específica/Teor alcoólico;452;2020
Etanol Hidratado;Massa específica/Teor alcoólico;252;2021
Etanol Hidratado;Condutividade;246;2012
Etanol Hidratado;Condutividade;212;2013
Etanol Hidratado;Condutividade;154;2014
Etanol Hidratado;Condutividade;61;2015
Etanol Hidratado;Condutividade;55;2016
Etanol Hidratado;Condutividade;158;2017
Etanol Hidratado;Condutividade;168;2018
Etanol Hidratado;Condutividade;136;2019
Etanol Hidratado;Condutividade;96;2020
Etanol Hidratado;Condutividade;110;2021
Etanol Hidratado;pH;57;2012
Etanol Hidratado;pH;84;2013
Etanol Hidratado;pH;88;2014
Etanol Hidratado;pH;34;2015
Etanol Hidratado;pH;16;2016
Etanol Hidratado;pH;89;2017
Etanol Hidratado;pH;123;2018
Etanol Hidratado;pH;73;2019
Etanol Hidratado;pH;43;2020
Etanol Hidratado;pH;34;2021
Etanol Hidratado;Outros1;338;2012
Etanol Hidratado;Outros1;141;2013
Etanol Hidratado;Outros1;104;2014
Etanol Hidratado;Outros1;66;2015
Etanol Hidratado;Outros1;98;2016
Etanol Hidratado;Outros1;42;2017
Etanol Hidratado;Outros1;46;2018
Etanol Hidratado;Outros1;23;2019
Etanol Hidratado;Outros1;36;2020
Etanol Hidratado;Outros1;44;2021
Gasolina C;Destilação;655;2012
Gasolina C;Destilação;489;2013
Gasolina C;Destilação;312;2014
Gasolina C;Destilação;153;2015
Gasolina C;Destilação;73;2016
Gasolina C;Destilação;238;2017
Gasolina C;Destilação;181;2018
Gasolina C;Destilação;168;2019
Gasolina C;Destilação;191;2020
Gasolina C;Destilação;169;2021
Gasolina C;Octanagem;177;2012
Gasolina C;Octanagem;45;2013
Gasolina C;Octanagem;231;2014
Gasolina C;Octanagem;187;2015
Gasolina C;Octanagem;0;2016
Gasolina C;Octanagem;10;2017
Gasolina C;Etanol;492;2012
Gasolina C;Etanol;497;2013
Gasolina C;Etanol;410;2014
Gasolina C;Etanol;485;2015
Gasolina C;Etanol;281;2016
Gasolina C;Etanol;262;2017
Gasolina C;Etanol;414;2018
Gasolina C;Etanol;309;2019
Gasolina C;Etanol;186;2020
Gasolina C;Etanol;246;2021
Gasolina C;Outros2;406;2012
Gasolina C;Outros2;286;2013
Gasolina C;Outros2;157;2014
Gasolina C;Outros2;89;2015
Gasolina C;Outros2;62;2016
Gasolina C;Outros2;97;2017
Gasolina C;Outros2;129;2018
Gasolina C;Outros2;87;2019
Gasolina C;Outros2;56;2020
Gasolina C;Outros2;98;2021
Óleo diesel;Corante;197;2012
Óleo diesel;Corante;233;2013
Óleo diesel;Corante;65;2014
Óleo diesel;Corante;67;2015
Óleo diesel;Corante;8;2016
Óleo diesel;Corante;1;2017
Óleo diesel;Corante;15;2018
Óleo diesel;Corante;11;2019
Óleo diesel;Corante;7;2020
Óleo diesel;Corante;5;2021
Óleo diesel;Aspecto;915;2012
Óleo diesel;Aspecto;993;2013
Óleo diesel;Aspecto;733;2014
Óleo diesel;Aspecto;427;2015
Óleo diesel;Aspecto;6;2016
Óleo diesel;Aspecto;8;2017
Óleo diesel;Aspecto;55;2018
Óleo diesel;Aspecto;48;2019
Óleo diesel;Aspecto;78;2020
Óleo diesel;Aspecto;77;2021
Óleo diesel;Ponto de fulgor;395;2012
Óleo diesel;Ponto de fulgor;558;2013
Óleo diesel;Ponto de fulgor;616;2014
Óleo diesel;Ponto de fulgor;326;2015
Óleo diesel;Ponto de fulgor;112;2016
Óleo diesel;Ponto de fulgor;199;2017
Óleo diesel;Ponto de fulgor;331;2018
Óleo diesel;Ponto de fulgor;294;2019
Óleo diesel;Ponto de fulgor;234;2020
Óleo diesel;Ponto de fulgor;246;2021
Óleo diesel;Enxofre;345;2012
Óleo diesel;Enxofre;351;2013
Óleo diesel;Enxofre;245;2014
Óleo diesel;Enxofre;328;2015
Óleo diesel;Enxofre;44;2016
Óleo diesel;Enxofre;108;2017
Óleo diesel;Enxofre;126;2018
Óleo diesel;Enxofre;158;2019
Óleo diesel;Enxofre;81;2020
Óleo diesel;Enxofre;46;2021
Óleo diesel;Teor de biodiesel;508;2012
Óleo diesel;Teor de biodiesel;483;2013
Óleo diesel;Teor de biodiesel;575;2014
Óleo diesel;Teor de biodiesel;565;2015
Óleo diesel;Teor de biodiesel;292;2016
Óleo diesel;Teor de biodiesel;692;2017
Óleo diesel;Teor de biodiesel;1155;2018
Óleo diesel;Teor de biodiesel;601;2019
Óleo diesel;Teor de biodiesel;325;2020
Óleo diesel;Teor de biodiesel;766;2021
Óleo diesel;Outros3;91;2012
Óleo diesel;Outros3;198;2013
Óleo diesel;Outros3;113;2014
Óleo diesel;Outros3;174;2015
Óleo diesel;Outros3;117;2016
Óleo diesel;Outros3;159;2017
Óleo diesel;Outros3;179;2018
Óleo diesel;Outros3;138;2019
Óleo diesel;Outros3;106;2020
Óleo diesel;Outros3;196;2021
