SEGMENTO;AÇÕES DE FISCALIZAÇÃO;AUTOS DE INFRAÇÃO;AUTOS DE INTERDIÇÃO;AUTOS DE APREENSÃO
Revenda de Combustíveis;13748;2828;549;44
Revenda de GLP;2115;404;150;77
Distribuidor de Combustíveis Líquidos;660;105;0;2
Transportador-Revendedor-Retalhista ;316;67;7;2
Agente Não Regulado;179;13;2;0
Revenda de Aviação;170;18;1;0
Distribuidor de GLP;130;16;1;0
Produtor de Etanol;127;4;0;0
Ponto de Abastecimento;91;23;11;0
Produtor de Óleo Acabado;70;14;2;1
Produtor de Biodiesel;41;4;0;0
Transportador-Revendedor-Retalhista na Navegação Interior;34;15;2;3
Distribuidor de Asfaltos;32;3;2;1
Coletor de Óleo Lubrificante Usado ou Contaminado;26;4;0;1
Terminal;24;2;0;0
Distribuidor de Aviação;18;2;0;0
Distribuidor de Solventes;17;0;0;0
Rerrefinador;10;2;1;1
Formulador;7;2;1;0
Importador;5;2;0;0
Refinaria;4;0;0;0
Requalificador;3;0;0;0
Transportador Dutoviário;2;0;0;0
Inutilizador;2;0;0;0
Empresa de Navegação;1;0;0;0
Importador de Óleo Acabado;1;0;0;0
Produtor de Óleo Básico;1;0;0;0
Agente de Comércio Exterior;1;0;0;0
