GRANDES REGIÕES;UNIDADES DA FEDERAÇÃO;ANO;VENDAS DE ÓLEO DIESEL PELAS DISTRIBUIDORAS
Região Norte ;Rondônia ;2012;772
Região Norte ;Rondônia ;2013;777,142092
Região Norte ;Rondônia ;2014;808,440252
Região Norte ;Rondônia ;2015;804,4763281
Região Norte ;Rondônia ;2016;774,647681
Região Norte ;Rondônia ;2017;832,7697408
Região Norte ;Rondônia ;2018;861,404512
Região Norte ;Rondônia ;2019;888,362759
Região Norte ;Rondônia ;2020;927,217776
Região Norte ;Rondônia ;2021;1056,788904
Região Norte ;Acre ;2012;215
Região Norte ;Acre ;2013;157,363623
Região Norte ;Acre ;2014;166,990189
Região Norte ;Acre ;2015;160,460602
Região Norte ;Acre ;2016;157,852093
Região Norte ;Acre ;2017;151,1270527
Região Norte ;Acre ;2018;151,896326
Região Norte ;Acre ;2019;155,4049
Região Norte ;Acre ;2020;160,8718
Região Norte ;Acre ;2021;157,88469
Região Norte ;Amazonas ;2012;1356
Região Norte ;Amazonas ;2013;1346,465119
Região Norte ;Amazonas ;2014;1294,9359
Região Norte ;Amazonas ;2015;1135,760099
Região Norte ;Amazonas ;2016;1004,600787
Região Norte ;Amazonas ;2017;1048,377767
Região Norte ;Amazonas ;2018;1109,818674
Região Norte ;Amazonas ;2019;981,114238
Região Norte ;Amazonas ;2020;764,426588
Região Norte ;Amazonas ;2021;935,522372
Região Norte ;Roraima ;2012;86
Região Norte ;Roraima ;2013;101,5829
Região Norte ;Roraima ;2014;127,5774
Região Norte ;Roraima ;2015;128,5162732
Região Norte ;Roraima ;2016;118,362858
Região Norte ;Roraima ;2017;120,6128061
Região Norte ;Roraima ;2018;167,222769
Região Norte ;Roraima ;2019;395,705902
Região Norte ;Roraima ;2020;449,909054
Região Norte ;Roraima ;2021;454,030623
Região Norte ;Pará ;2012;2019
Região Norte ;Pará ;2013;2134,125322
Região Norte ;Pará ;2014;2293,119943
Região Norte ;Pará ;2015;2321,405885
Região Norte ;Pará ;2016;2140,087561
Região Norte ;Pará ;2017;2184,336107
Região Norte ;Pará ;2018;2298,643156
Região Norte ;Pará ;2019;2432,122843
Região Norte ;Pará ;2020;2617,835996
Região Norte ;Pará ;2021;2764,949243
Região Norte ;Amapá ;2012;472
Região Norte ;Amapá ;2013;483,124121
Região Norte ;Amapá ;2014;471,741044
Região Norte ;Amapá ;2015;253,6699021
Região Norte ;Amapá ;2016;119,94026
Região Norte ;Amapá ;2017;110,9921033
Região Norte ;Amapá ;2018;95,93545
Região Norte ;Amapá ;2019;105,288731
Região Norte ;Amapá ;2020;115,533534
Região Norte ;Amapá ;2021;113,279247
Região Norte ;Tocantins ;2012;771
Região Norte ;Tocantins ;2013;853,100219
Região Norte ;Tocantins ;2014;907,979827
Região Norte ;Tocantins ;2015;887,4203179
Região Norte ;Tocantins ;2016;838,85843
