GRANDES REGIÕES;UNIDADES DA FEDERAÇÃO;VENDAS DE GÁS NATURAL PELOS PRODUTORES E IMPORTADORES;ANO
Região Norte;Amazonas1;897;2012
Região Norte;Amazonas1;1120,3605;2013
Região Norte;Amazonas1;1252,730313;2014
Região Norte;Amazonas1;1363,227368;2015
Região Norte;Amazonas1;1735,947402;2016
Região Norte;Amazonas1;1765,019133;2017
Região Norte;Amazonas1;1827,134947;2018
Região Norte;Amazonas1;2338,89989;2019
Região Norte;Amazonas1;1746,993074;2020
Região Norte;Amazonas1;2118,707156;2021
Região Nordeste;Maranhão;0;2012
Região Nordeste;Maranhão;1403,155;2013
Região Nordeste;Maranhão;1604,649;2014
Região Nordeste;Maranhão;1554,036225;2015
Região Nordeste;Maranhão;1714,678714;2016
Região Nordeste;Maranhão;1607,08;2017
Região Nordeste;Maranhão;1402,324429;2018
Região Nordeste;Maranhão;1380,514541;2019
Região Nordeste;Maranhão;1342,263624;2020
Região Nordeste;Maranhão;2127,415116;2021
Região Nordeste;Ceará1;601;2012
Região Nordeste;Ceará1;1057,406957;2013
Região Nordeste;Ceará1;1232,56655;2014
Região Nordeste;Ceará1;1168,64852;2015
Região Nordeste;Ceará1;497,925725;2016
Região Nordeste;Ceará1;579,90226;2017
Região Nordeste;Ceará1;345,661638;2018
Região Nordeste;Ceará1;482,341999;2019
Região Nordeste;Ceará1;180,234489;2020
Região Nordeste;Ceará1;259,069449;2021
Região Nordeste;Rio Grande do Norte1;589;2012
Região Nordeste;Rio Grande do Norte1;590,819809;2013
Região Nordeste;Rio Grande do Norte1;145,863625;2014
Região Nordeste;Rio Grande do Norte1;118,279423;2015
Região Nordeste;Rio Grande do Norte1;723,16148;2016
Região Nordeste;Rio Grande do Norte1;651,748345;2017
Região Nordeste;Rio Grande do Norte1;543,423933;2018
Região Nordeste;Rio Grande do Norte1;502,51533;2019
Região Nordeste;Rio Grande do Norte1;417,169219;2020
Região Nordeste;Rio Grande do Norte1;412,528623;2021
Região Nordeste;Paraíba;130;2012
Região Nordeste;Paraíba;125,545373;2013
Região Nordeste;Paraíba;121,955752;2014
Região Nordeste;Paraíba;110,186075;2015
Região Nordeste;Paraíba;98,428296;2016
Região Nordeste;Paraíba;95,248825;2017
Região Nordeste;Paraíba;94,723658;2018
Região Nordeste;Paraíba;85,253859;2019
Região Nordeste;Paraíba;65,872452;2020
Região Nordeste;Paraíba;79,149803;2021
Região Nordeste;Pernambuco1;885;2012
Região Nordeste;Pernambuco1;1066,332708;2013
Região Nordeste;Pernambuco1;1167,609911;2014
Região Nordeste;Pernambuco1;1044,264078;2015
Região Nordeste;Pernambuco1;1191,1445;2016
Região Nordeste;Pernambuco1;1197,118421;2017
Região Nordeste;Pernambuco1;1157,67922;2018
Região Nordeste;Pernambuco1;1165,944312;2019
Região Nordeste;Pernambuco1;970,008033;2020
Região Nordeste;Pernambuco1;1179,594171;2021
Região Nordeste;Alagoas;197;2012
Região Nordeste;Alagoas;213,765864;2013
Região Nordeste;Alagoas;222,428667;2014
Região Nordeste;Alagoas;221,527296;2015
Região Nordeste;Alagoas;227,068867;2016
Região Nordeste;Alagoas;227,221148;2017
Região Nordeste;Alagoas;226,507862;2018
Região Nordeste;Alagoas;198,3604;2019
Região Nordeste;Alagoas;169,694128;2020
Região Nordeste;Alagoas;213,271256;2021
Região Nordeste;Sergipe1,2;526;2012
