GRANDES REGIÕES;UNIDADES DA FEDERAÇÃO;CONSUMO PRÓPRIO DE GÁS NATURAL;ANO
Região Norte;Amazonas;236072;2012
Região Norte;Amazonas;242996,424;2013
Região Norte;Amazonas;232958,666;2014
Região Norte;Amazonas;228884,2977;2015
Região Norte;Amazonas;236054,5876;2016
Região Norte;Amazonas;222345,7866;2017
Região Norte;Amazonas;232636,9506;2018
Região Norte;Amazonas;243748,7036;2019
Região Norte;Amazonas;216522,0337;2020
Região Norte;Amazonas;217495,8448;2021
Região Nordeste;Maranhão;0;2012
Região Nordeste;Maranhão;9545,05828;2013
Região Nordeste;Maranhão;2917,6477;2014
Região Nordeste;Maranhão;8554,1186;2015
Região Nordeste;Maranhão;9570,23107;2016
Região Nordeste;Maranhão;6291,90463;2017
Região Nordeste;Maranhão;6176,57406;2018
Região Nordeste;Maranhão;10834,13983;2019
Região Nordeste;Maranhão;2938,52075;2020
Região Nordeste;Maranhão;7007,41756;2021
Região Nordeste;Ceará;57675;2012
Região Nordeste;Ceará;34901,685;2013
Região Nordeste;Ceará;40677,70055;2014
Região Nordeste;Ceará;50137,481;2015
Região Nordeste;Ceará;54262,98903;2016
Região Nordeste;Ceará;47085;2017
Região Nordeste;Ceará;49427,414;2018
Região Nordeste;Ceará;44836,947;2019
Região Nordeste;Ceará;43658,723;2020
Região Nordeste;Ceará;45782,587;2021
Região Nordeste;Rio Grande do Norte;170353;2012
Região Nordeste;Rio Grande do Norte;147728,3409;2013
Região Nordeste;Rio Grande do Norte;150418,3209;2014
Região Nordeste;Rio Grande do Norte;134237,8409;2015
Região Nordeste;Rio Grande do Norte;134942,3788;2016
Região Nordeste;Rio Grande do Norte;102203,4126;2017
Região Nordeste;Rio Grande do Norte;124734,5718;2018
Região Nordeste;Rio Grande do Norte;104363,4864;2019
Região Nordeste;Rio Grande do Norte;60826,89277;2020
Região Nordeste;Rio Grande do Norte;57289,88775;2021
Região Nordeste;Pernambuco;0;2012
Região Nordeste;Pernambuco;0;2013
Região Nordeste;Pernambuco;29297,016;2014
Região Nordeste;Pernambuco;488137,088;2015
Região Nordeste;Pernambuco;525590,383;2016
Região Nordeste;Pernambuco;558770;2017
Região Nordeste;Pernambuco;613746,649;2018
Região Nordeste;Pernambuco;598570,929;2019
Região Nordeste;Pernambuco;521909,467;2020
Região Nordeste;Pernambuco;525484,226;2021
Região Nordeste;Alagoas;1780;2012
Região Nordeste;Alagoas;1690,78978;2013
Região Nordeste;Alagoas;2525,36482;2014
Região Nordeste;Alagoas;1205,81673;2015
Região Nordeste;Alagoas;1118,48477;2016
Região Nordeste;Alagoas;1111,66175;2017
Região Nordeste;Alagoas;1186,48483;2018
Região Nordeste;Alagoas;1407,07679;2019
Região Nordeste;Alagoas;1275,72078;2020
Região Nordeste;Alagoas;1008,8168;2021
Região Nordeste;Sergipe;148739;2012
Região Nordeste;Sergipe;163658,5818;2013
Região Nordeste;Sergipe;150240,5441;2014
Região Nordeste;Sergipe;139739,9252;2015
Região Nordeste;Sergipe;145034,8414;2016
Região Nordeste;Sergipe;130591,4836;2017
Região Nordeste;Sergipe;128146,5753;2018
Região Nordeste;Sergipe;115695,1138;2019
Região Nordeste;Sergipe;62038,83801;2020
Região Nordeste;Sergipe;10910,70435;2021
Região Nordeste;Bahia;379946;2012
Região Nordeste;Bahia;370831,516;2013
Região Nordeste;Bahia;440790,9555;2014
Região Nordeste;Bahia;848050,082;2015
Região Nordeste;Bahia;548678,907;2016
Região Nordeste;Bahia;558356;2017
Região Nordeste;Bahia;459635,7247;2018
Região Nordeste;Bahia;545123,0381;2019
Região Nordeste;Bahia;588454,758;2020
Região Nordeste;Bahia;485497,963;2021
Região Sudeste;Minas Gerais;167295;2012
Região Sudeste;Minas Gerais;183993,927;2013
Região Sudeste;Minas Gerais;202957,454;2014
Região Sudeste;Minas Gerais;185005,183;2015
Região Sudeste;Minas Gerais;294905,708;2016
Região Sudeste;Minas Gerais;299742,113;2017
Região Sudeste;Minas Gerais;295546,664;2018
Região Sudeste;Minas Gerais;280788,869;2019
Região Sudeste;Minas Gerais;260851,005;2020
Região Sudeste;Minas Gerais;271918,954;2021
Região Sudeste;Espírito Santo;532897;2012
Região Sudeste;Espírito Santo;577045,1979;2013
Região Sudeste;Espírito Santo;649819,3409;2014
Região Sudeste;Espírito Santo;644823,0782;2015
Região Sudeste;Espírito Santo;689453,3775;2016
Região Sudeste;Espírito Santo;712708,365;2017
Região Sudeste;Espírito Santo;683950,2831;2018
Região Sudeste;Espírito Santo;599525,2203;2019
Região Sudeste;Espírito Santo;604802,9622;2020
Região Sudeste;Espírito Santo;611651,9092;2021
Região Sudeste;Rio de Janeiro;4014759;2012
Região Sudeste;Rio de Janeiro;4085169,781;2013
Região Sudeste;Rio de Janeiro;3549333,821;2014
Região Sudeste;Rio de Janeiro;4259647,834;2015
Região Sudeste;Rio de Janeiro;3479619,451;2016
Região Sudeste;Rio de Janeiro;3611102;2017
Região Sudeste;Rio de Janeiro;3604219,116;2018
Região Sudeste;Rio de Janeiro;3962207,727;2019
Região Sudeste;Rio de Janeiro;4157405,004;2020
Região Sudeste;Rio de Janeiro;4326788,717;2021
Região Sudeste;São Paulo;2059186;2012
Região Sudeste;São Paulo;2193266,459;2013
Região Sudeste;São Paulo;2151923,405;2014
Região Sudeste;São Paulo;2252114,416;2015
Região Sudeste;São Paulo;2054850,896;2016
Região Sudeste;São Paulo;2090758;2017
Região Sudeste;São Paulo;2007261,377;2018
Região Sudeste;São Paulo;1816653,926;2019
Região Sudeste;São Paulo;1797244,508;2020
Região Sudeste;São Paulo;2309122,345;2021
Região Sul;Paraná;426556;2012
Região Sul;Paraná;366310,2;2013
Região Sul;Paraná;325064,7;2014
Região Sul;Paraná;432079,6163;2015
Região Sul;Paraná;412462,63;2016
Região Sul;Paraná;447454,304;2017
Região Sul;Paraná;399565,427;2018
Região Sul;Paraná;412757,423;2019
Região Sul;Paraná;458204,543;2020
Região Sul;Paraná;452394,522;2021
Região Sul;Rio Grande do Sul;0;2012
Região Sul;Rio Grande do Sul;0;2013
Região Sul;Rio Grande do Sul;0;2014
Região Sul;Rio Grande do Sul;0;2015
Região Sul;Rio Grande do Sul;173253,4675;2016
Região Sul;Rio Grande do Sul;141658,7825;2017
Região Sul;Rio Grande do Sul;146492,8075;2018
Região Sul;Rio Grande do Sul;157126,1963;2019
Região Sul;Rio Grande do Sul;249155,215;2020
Região Sul;Rio Grande do Sul;248845,527;2021
