ESPECIFICAÇÃO;BALANÇO DO GÁS NATURAL NO BRASIL;ANO
Importação;13143;2012
Importação;16513,465;2013
Importação;17398,01;2014
Importação;19111,557;2015
Importação;13320,723;2016
Importação;10642,55;2017
Importação;10842,39881;2018
Importação;9855,431833;2019
Importação;7874,287952;2020
Importação;16895,95505;2021
Exportação;312;2012
Exportação;37,3818;2013
Exportação;90,466;2014
Exportação;1,87;2015
Exportação;517,481;2016
Exportação;134,52;2017
Exportação;80,136042;2018
Exportação;0;2019
Exportação;0;2020
Exportação;83,0666538;2021
Produção;25832;2012
Produção;28174,21291;2013
Produção;31894,874;2014
Produção;35126,447;2015
Produção;37890,45;2016
Produção;40117,402;2017
Produção;40857,20706;2018
Produção;44724,23194;2019
Produção;46649,508;2020
Produção;48824,32675;2021
Reinjeção;3543;2012
Reinjeção;3883,004317;2013
Reinjeção;5739,69;2014
Reinjeção;8866,713;2015
Reinjeção;11069,49447;2016
Reinjeção;10076,841;2017
Reinjeção;12811,95106;2018
Reinjeção;15776,66971;2019
Reinjeção;20013,74602;2020
Reinjeção;22208,85355;2021
Queima e perda;1445;2012
Queima e perda;1302,885282;2013
Queima e perda;1619,208;2014
Queima e perda;1397,675;2015
Queima e perda;1484,082;2016
Queima e perda;1377,136;2017
Queima e perda;1358,206104;2018
Queima e perda;1589,738474;2019
Queima e perda;1232,587688;2020
Queima e perda;1233,748127;2021
Consumo próprio total1;8195;2012
Consumo próprio total1;8377,137961;2013
Consumo próprio total1;7928,924936;2014
Consumo próprio total1;9672,616777;2015
Consumo próprio total1;8759,798332;2016
Consumo próprio total1;8930,178814;2017
Consumo próprio total1;8752,726619;2018
Consumo próprio total1;8893,638796;2019
Consumo próprio total1;9025,288191;2020
Consumo próprio total1;9571,199421;2021
LGN2;1281;2012
LGN2;1336,773;2013
LGN2;1505,328;2014
LGN2;1380,795;2015
LGN2;1540,86;2016
LGN2;1851,088;2017
LGN2;1896,362;2018
LGN2;1960,89761;2019
LGN2;1495,929774;2020
LGN2;1379,45;2021
Vendas3;23284;2012
Vendas3;28783,64261;2013
Vendas3;31765,32141;2014
Vendas3;32402,4677;2015
Vendas3;27224,48352;2016
Vendas3;27490,86036;2017
Vendas3;26050,72531;2018
Vendas3;25854,50247;2019
Vendas3;21971,72038;2020
Vendas3;30326,04646;2021
Consumo nos gasodutos, ajustes e perdas;915;2012
Consumo nos gasodutos, ajustes e perdas;966,8529405;2013
Consumo nos gasodutos, ajustes e perdas;643,9456557;2014
Consumo nos gasodutos, ajustes e perdas;515,8665205;2015
Consumo nos gasodutos, ajustes e perdas;614,9736787;2016
Consumo nos gasodutos, ajustes e perdas;899,3278222;2017
Consumo nos gasodutos, ajustes e perdas;749,4987319;2018
Consumo nos gasodutos, ajustes e perdas;504,216716;2019
Consumo nos gasodutos, ajustes e perdas;784,5239012;2020
Consumo nos gasodutos, ajustes e perdas;917,9175802;2021
