DISTRIBUIDORAS;PARTICIPAÇÃO DAS DISTRIBUIDORAS NAS VENDAS NACIONAIS DE ÓLEO DIESEL
Vibra;0,278912
Raízen;0,199763
Ipiranga;0,188671
Sabbá;0,030559
Alesat;0,023564
Atem's ;0,022576
Ciapetro ;0,013939
Larco;0,013589
Royal Fic ;0,011357
Equador;0,010782
Raízen Mime;0,009727
Potencial;0,008196
TDC Distribuidora;0,00807
Rodoil;0,007934
Taurus;0,007292
Petrobahia ;0,00602
Rio Branco;0,006016
Sim Distribuidora;0,005832
Tobras;0,005672
Fera;0,005509
SP Distribuidora;0,005372
GP Distribuidora;0,004893
Total Brasil;0,004416
Rejaile;0,004374
Dibrape;0,004196
Petrox;0,004059
Dislub;0,003827
On Petro;0,003668
Charrua;0,003667
Rumos;0,003453
Temape;0,003202
Ruff CJ;0,003083
Idaza;0,00307
Sul Combustíveis;0,003069
Federal;0,002883
Imperial;0,002821
Estrada;0,00275
Hora;0,002648
Stang;0,002647
Small;0,00264
Biopetróleo;0,002564
Atlântica;0,002505
Setta;0,002415
Maxsul;0,002318
Copercana;0,002317
Petroball;0,002223
Pontual;0,002194
RM Petróleo;0,002133
Tabocão;0,001897
Petroserra;0,001836
Araguia;0,00174
Simarelli;0,001637
Fan;0,00159
FGC Distribuidora;0,00158
76 Oil;0,001575
Watt;0,00155
Flexpetro;0,001423
Petronac;0,001313
Rede Sol;0,001293
Max;0,001214
Danpetro;0,001209
Triângulo;0,001187
Torrão;0,001133
D'Mais;0,001041
Art Petro;0,001041
Petroluz;0,000948
Petroexpress;0,000929
Redepetro;0,000908
Americanoil;0,000895
Tower;0,000866
TotalEnergies;0,000863
Federal;0,000809
Stock;0,000788
Mansut;0,000754
SR Brasil;0,000664
RDZ Distribuidora;0,000618
Alcoolbras;0,000608
Flex ;0,000601
Walendowsky;0,000594
Realcool;0,00059
Uni Combustíveis;0,000495
Distribuidora Sul;0,00049
Podium;0,000478
Centro Oeste;0,000474
Tag Distribuidora;0,000459
Green;0,000447
Liderpetro;0,00043
BV Distribuidora;0,000388
Saara;0,000372
Petrozil;0,000369
Biopetro;0,000302
Pelikano;0,000292
Montepetro;0,000282
Ypetro;0,000276
Gol;0,000271
Petroalcool;0,000268
All Distribuidora;0,000263
Petrozara;0,000252
Sada;0,000243
Transo;0,000242
Direcional;0,00024
Midas;0,000231
Braspetro;0,000229
Revato;0,000215
Aster;0,000213
Acol;0,000213
Petro Norte;0,000208
Paranapanema;0,000218
Maxxi;0,0002
Vaishia;0,000185
Cruz de Malta;0,000167
Soll;0,000167
Noroeste;0,000133
Meg;0,000132
Aspen;0,000126
8Tower;0,000111
Ecomat;0,000109
Flórida;0,000107
Flag;0,00009
Mar Azul;0,000081
Eco Brasil;0,000064
Eco Distribuidora;0,000063
Alpes;0,000062
Isabella;0,000052
Gran Petro;0,000047
Petrogoiás;0,000045
Arapetro;0,000028
Petrosalvador;0,000026
Petrosul;0,000016
Duvale;0,00001
Ecológica;0,00001
Phoenix;0,000009
Biostratum;0,000007
J R Distribuidora;0,000004
Monte Cabral;0,000002
Everest;0,0000005
Petroworld;0,0000005
Gaz Prime;0,0000004
Atlanta;0,0000003
Petroquality ;0,0000001
Jacar;0,0000001
Terra Brasil;0,0000001
Joapi;0,0000001
