GRANDES REGIÕES;UNIDADES DA FEDERAÇÃO;VENDAS DE GASOLINA C PELAS DISTRIBUIDORAS;ANO
Região Norte ;Rondônia ;365;2012
Região Norte ;Rondônia ;378,46295;2013
Região Norte ;Rondônia ;406,947366;2014
Região Norte ;Rondônia ;416,855032;2015
Região Norte ;Rondônia ;431,573744;2016
Região Norte ;Rondônia ;436,154441;2017
Região Norte ;Rondônia ;427,769572;2018
Região Norte ;Rondônia ;440,066883;2019
Região Norte ;Rondônia ;430,076781;2020
Região Norte ;Rondônia ;439,880443;2021
Região Norte ;Acre ;119;2012
Região Norte ;Acre ;125,329986;2013
Região Norte ;Acre ;138,15175;2014
Região Norte ;Acre ;140,25884;2015
Região Norte ;Acre ;136,817744;2016
Região Norte ;Acre ;136,59256;2017
Região Norte ;Acre ;133,872324;2018
Região Norte ;Acre ;138,001402;2019
Região Norte ;Acre ;136,417723;2020
Região Norte ;Acre ;138,5681;2021
Região Norte ;Amazonas ;569;2012
Região Norte ;Amazonas ;590,749207;2013
Região Norte ;Amazonas ;627,353968;2014
Região Norte ;Amazonas ;617,20343;2015
Região Norte ;Amazonas ;634,172722;2016
Região Norte ;Amazonas ;644,424523;2017
Região Norte ;Amazonas ;614,179327;2018
Região Norte ;Amazonas ;647,740531;2019
Região Norte ;Amazonas ;625,946677;2020
Região Norte ;Amazonas ;608,234641;2021
Região Norte ;Roraima ;99;2012
Região Norte ;Roraima ;108,8613;2013
Região Norte ;Roraima ;122,815081;2014
Região Norte ;Roraima ;123,890243;2015
Região Norte ;Roraima ;129,943602;2016
Região Norte ;Roraima ;137,423769;2017
Região Norte ;Roraima ;140,968558;2018
Região Norte ;Roraima ;153,67613;2019
Região Norte ;Roraima ;156,555173;2020
Região Norte ;Roraima ;167,861997;2021
Região Norte ;Pará ;910;2012
Região Norte ;Pará ;996,173282;2013
Região Norte ;Pará ;1098,714351;2014
Região Norte ;Pará ;1131,966264;2015
Região Norte ;Pará ;1154,585462;2016
Região Norte ;Pará ;1154,05816;2017
Região Norte ;Pará ;1136,547735;2018
Região Norte ;Pará ;1176,565934;2019
Região Norte ;Pará ;1208,775156;2020
Região Norte ;Pará ;1244,976241;2021
Região Norte ;Amapá;128;2012
Região Norte ;Amapá;137,8998;2013
Região Norte ;Amapá;154,4174;2014
Região Norte ;Amapá;153,753221;2015
Região Norte ;Amapá;151,53769;2016
Região Norte ;Amapá;154,728341;2017
Região Norte ;Amapá;158,010198;2018
Região Norte ;Amapá;170,073113;2019
Região Norte ;Amapá;173,347571;2020
Região Norte ;Amapá;190,356677;2021
Região Norte ;Tocantins ;296;2012
Região Norte ;Tocantins ;312,274286;2013
Região Norte ;Tocantins ;350,345439;2014
Região Norte ;Tocantins ;348,183435;2015
Região Norte ;Tocantins ;363,55829;2016
Região Norte ;Tocantins ;379,334976;2017
Região Norte ;Tocantins ;348,974009;2018
Região Norte ;Tocantins ;365,4022;2019
Região Norte ;Tocantins ;352,986095;2020
Região Norte ;Tocantins ;368,813501;2021
Região Nordeste;Maranhão ;751;2012
Região Nordeste;Maranhão ;803,208635;2013
Região Nordeste;Maranhão ;887,026275;2014
Região Nordeste;Maranhão ;889,941815;2015
Região Nordeste;Maranhão ;928,346354;2016
Região Nordeste;Maranhão ;955,006366;2017
Região Nordeste;Maranhão ;943,358348;2018
Região Nordeste;Maranhão ;949,378146;2019
Região Nordeste;Maranhão ;926,654668;2020
Região Nordeste;Maranhão ;961,28685;2021
Região Nordeste;Piauí ;455;2012
Região Nordeste;Piauí ;500,001489;2013
Região Nordeste;Piauí ;569,210195;2014
Região Nordeste;Piauí ;579,918418;2015
Região Nordeste;Piauí ;596,027063;2016
Região Nordeste;Piauí ;607,778964;2017
Região Nordeste;Piauí ;557,661833;2018
Região Nordeste;Piauí ;560,883723;2019
Região Nordeste;Piauí ;519,740879;2020
Região Nordeste;Piauí ;535,982113;2021
Região Nordeste;Ceará ;1121;2012
Região Nordeste;Ceará ;1216,335292;2013
Região Nordeste;Ceará ;1348,677035;2014
Região Nordeste;Ceará ;1331,394414;2015
Região Nordeste;Ceará ;1372,176486;2016
Região Nordeste;Ceará ;1381,639086;2017
Região Nordeste;Ceará ;1329,769109;2018
Região Nordeste;Ceará ;1385,259814;2019
Região Nordeste;Ceará ;1278,277444;2020
Região Nordeste;Ceará ;1326,330249;2021
Região Nordeste;Rio Grande do Norte ;562;2012
Região Nordeste;Rio Grande do Norte ;605,600692;2013
Região Nordeste;Rio Grande do Norte ;652,345854;2014
Região Nordeste;Rio Grande do Norte ;644,783747;2015
Região Nordeste;Rio Grande do Norte ;651,680245;2016
Região Nordeste;Rio Grande do Norte ;661,020141;2017
Região Nordeste;Rio Grande do Norte ;608,089124;2018
Região Nordeste;Rio Grande do Norte ;620,525147;2019
Região Nordeste;Rio Grande do Norte ;577,782806;2020
Região Nordeste;Rio Grande do Norte ;595,237017;2021
Região Nordeste;Paraíba ;588;2012
Região Nordeste;Paraíba ;625,181695;2013
Região Nordeste;Paraíba ;686,269949;2014
Região Nordeste;Paraíba ;662,396748;2015
Região Nordeste;Paraíba ;694,589697;2016
Região Nordeste;Paraíba ;713,021851;2017
Região Nordeste;Paraíba ;637,788087;2018
Região Nordeste;Paraíba ;653,092791;2019
Região Nordeste;Paraíba ;621,657743;2020
Região Nordeste;Paraíba ;663,078184;2021
Região Nordeste;Pernambuco;1290;2012
Região Nordeste;Pernambuco;1379,495065;2013
Região Nordeste;Pernambuco;1497,221784;2014
Região Nordeste;Pernambuco;1377,723967;2015
Região Nordeste;Pernambuco;1441,149787;2016
Região Nordeste;Pernambuco;1494,982013;2017
Região Nordeste;Pernambuco;1311,137666;2018
Região Nordeste;Pernambuco;1367,866545;2019
Região Nordeste;Pernambuco;1273,074014;2020
Região Nordeste;Pernambuco;1317,32697;2021
Região Nordeste;Alagoas;364;2012
Região Nordeste;Alagoas;400,517967;2013
Região Nordeste;Alagoas;441,612033;2014
Região Nordeste;Alagoas;425,872693;2015
Região Nordeste;Alagoas;453,962274;2016
Região Nordeste;Alagoas;455,660703;2017
Região Nordeste;Alagoas;417,718713;2018
Região Nordeste;Alagoas;437,071223;2019
Região Nordeste;Alagoas;423,867371;2020
Região Nordeste;Alagoas;439,772327;2021
Região Nordeste;Sergipe;340;2012
Região Nordeste;Sergipe;366,89707;2013
Região Nordeste;Sergipe;403,098466;2014
Região Nordeste;Sergipe;390,746965;2015
Região Nordeste;Sergipe;398,251993;2016
Região Nordeste;Sergipe;401,427899;2017
Região Nordeste;Sergipe;370,116044;2018
Região Nordeste;Sergipe;380,080416;2019
Região Nordeste;Sergipe;357,524119;2020
Região Nordeste;Sergipe;366,043709;2021
Região Nordeste;Bahia;1843;2012
Região Nordeste;Bahia;1943,731376;2013
Região Nordeste;Bahia;2145,017179;2014
Região Nordeste;Bahia;2050,79353;2015
Região Nordeste;Bahia;2210,592757;2016
Região Nordeste;Bahia;2251,13571;2017
Região Nordeste;Bahia;2010,769645;2018
Região Nordeste;Bahia;2043,682942;2019
Região Nordeste;Bahia;2001,075798;2020
Região Nordeste;Bahia;2064,159036;2021
Região Sudeste;Minas Gerais;4459;2012
Região Sudeste;Minas Gerais;4655,42652;2013
Região Sudeste;Minas Gerais;4986,074281;2014
Região Sudeste;Minas Gerais;4296,429034;2015
Região Sudeste;Minas Gerais;4512,741376;2016
Região Sudeste;Minas Gerais;4570,210878;2017
Região Sudeste;Minas Gerais;3572,714948;2018
Região Sudeste;Minas Gerais;3300,67172;2019
Região Sudeste;Minas Gerais;3239,44327;2020
Região Sudeste;Minas Gerais;3690,060852;2021
Região Sudeste;Espírito Santo;822;2012
Região Sudeste;Espírito Santo;861,718453;2013
Região Sudeste;Espírito Santo;934,933588;2014
Região Sudeste;Espírito Santo;917,021221;2015
Região Sudeste;Espírito Santo;947,149013;2016
Região Sudeste;Espírito Santo;937,560443;2017
Região Sudeste;Espírito Santo;909,645075;2018
Região Sudeste;Espírito Santo;932,664148;2019
Região Sudeste;Espírito Santo;904,269244;2020
Região Sudeste;Espírito Santo;1040,631461;2021
Região Sudeste;Rio de Janeiro;2471;2012
Região Sudeste;Rio de Janeiro;2616,82121;2013
Região Sudeste;Rio de Janeiro;2861,013377;2014
Região Sudeste;Rio de Janeiro;2733,573242;2015
Região Sudeste;Rio de Janeiro;2684,90352;2016
Região Sudeste;Rio de Janeiro;2522,844538;2017
Região Sudeste;Rio de Janeiro;2001,603031;2018
Região Sudeste;Rio de Janeiro;2033,178936;2019
Região Sudeste;Rio de Janeiro;1854,93042;2020
Região Sudeste;Rio de Janeiro;1852,34968;2021
Região Sudeste;São Paulo;10306;2012
Região Sudeste;São Paulo;10476,82209;2013
Região Sudeste;São Paulo;10849,78585;2014
Região Sudeste;São Paulo;9436,733193;2015
Região Sudeste;São Paulo;9990,516458;2016
Região Sudeste;São Paulo;10472,11333;2017
Região Sudeste;São Paulo;8425,692442;2018
Região Sudeste;São Paulo;7947,691132;2019
Região Sudeste;São Paulo;7176,931295;2020
Região Sudeste;São Paulo;8848,800972;2021
Região Sul ;Paraná ;2771;2012
Região Sul ;Paraná ;2752,702114;2013
Região Sul ;Paraná ;2886,6741;2014
Região Sul ;Paraná ;2591,179507;2015
Região Sul ;Paraná ;2881,573091;2016
Região Sul ;Paraná ;3065,37017;2017
Região Sul ;Paraná ;2535,773936;2018
Região Sul ;Paraná ;2514,962032;2019
