DISTRIBUIDORAS;PARTICIPAÇÃO DAS DISTRIBUIDORAS NAS VENDAS NACIONAIS DE GASOLINA C
Vibra;0,249093
Ipiranga;0,179313
Raízen ;0,171763
Alesat ;0,031222
Sabbá;0,021172
Larco ;0,015368
Aster;0,015292
Rodoil;0,014031
TDC Distribuidora;0,01386
Raízen Mime;0,013833
Fera;0,012788
Ciapetro;0,012258
SP;0,011298
Royal Fic;0,011212
Petrobahia;0,010765
Potencial;0,010587
Sim Distribuidora;0,009704
Atem's;0,009655
76 Oil;0,008547
Equador;0,008447
Tobras;0,00827
Petrox;0,008119
Temape;0,006943
Dislub;0,006825
Total Brasil;0,006722
Stang;0,006349
Ruff CJ;0,005043
Biopetróleo;0,004573
Taurus;0,004556
Rejaile;0,004551
Federal;0,004462
Idaza;0,004315
Setta;0,004251
Atlântica;0,004194
GP Distribuidora;0,003744
Fan;0,003624
Charua;0,003565
Duvale;0,003334
Rio Branco;0,003178
Flexpetro;0,003133
Torrão;0,002961
Triângulo;0,00281
Sul Combustíveis;0,00275
D'Mais;0,002672
Estrada;0,002629
Small;0,002597
Maxsul;0,002434
Imperial;0,002317
On Petro;0,002259
Araguaia;0,002222
Hora;0,002187
Petroball;0,002075
Petroserra;0,001833
Smarell;0,001697
TotalEnergies;0,001599
Dibrape;0,001573
Max;0,001504
Pontual;0,001412
Distribuidora Sul;0,001355
Copercana;0,001329
Federal;0,001324
Stock;0,001295
Rede Sol;0,001221
Americanoil;0,001183
Redepetro;0,001138
Danpetro;0,001096
SR Brasil;0,001002
Rumos;0,001
Petronac;0,000839
Watt;0,000764
Redealcool;0,000709
Tag Distribuidora;0,000684
Tabocão;0,000677
Walendowsky;0,000663
Ypetro ;0,000662
Saara;0,000655
Pelikano;0,000643
Petroexpress;0,000614
Green;0,000612
Masut;0,000609
Noroeste;0,000532
Maxxi;0,000515
FGC Distribuidora;0,000502
Meg;0,00043
Alpes;0,000429
Vaishia;0,000405
Petrozil;0,000399
Rodopetro;0,000383
RDZ Dsitribuidora;0,000365
Soll;0,000333
Flex;0,000311
RM Distribuidora;0,00029
Transo;0,000281
Art Petro;0,000262
Petroluz;0,000247
Cruz de Malta;0,000243
Acol;0,000241
Sada;0,00024
Paranapanema;0,000259
Direcional;0,000222
Podium;0,000215
Biopetro;0,000208
Braspetro;0,000201
BV Distribuidora;0,000184
Liderpetro;0,000181
Petrozara;0,000175
Petro Norte;0,00017
Flórida;0,000146
Montepetro;0,000112
Ecomat;0,000105
Gol;0,000102
Petroalcool;0,000101
Eco Distribuidora;0,000091
Centro Oeste;0,000083
Tower;0,000066
Petrogoiás;0,000062
Midas;0,000052
Uni Combustíveis;0,000047
Mar Azul;0,000043
Gran Petro;0,000038
Petroword;0,000037
Petroquality;0,000037
Joapi;0,000028
Eco Brasil;0,000028
Petrosalvador;0,000027
Petrosul;0,000023
Monte Cabral;0,000022
Arapetro;0,000013
Manguinhos;0,000012
Phoenix;0,000005
Biostratum;0,000003
8Tower;0,0000022
Flag;0,0000021
Ecológica;0,0000021
Atlanta;0,0000004
Gaz Prime;0,0000004
