GRANDES REGIÕES;UNIDADES DA FEDERAÇÃO;VENDAS DE GLP PELAS DISTRIBUIDORAS;ANO
Região Norte ;Rondônia ;85,38;2012
Região Norte ;Rondônia ;87,19300762;2013
Região Norte ;Rondônia ;88,66193297;2014
Região Norte ;Rondônia ;89,74094565;2015
Região Norte ;Rondônia ;91,14174457;2016
Região Norte ;Rondônia ;93,10635265;2017
Região Norte ;Rondônia ;92,30938768;2018
Região Norte ;Rondônia ;91,08765217;2019
Região Norte ;Rondônia ;94,79769203;2020
Região Norte ;Rondônia ;92,76432971;2021
Região Norte ;Acre ;31,86;2012
Região Norte ;Acre ;34,06456815;2013
Região Norte ;Acre ;35,49064855;2014
Região Norte ;Acre ;36,58639674;2015
Região Norte ;Acre ;36,07149094;2016
Região Norte ;Acre ;36,88582749;2017
Região Norte ;Acre ;36,78902355;2018
Região Norte ;Acre ;36,85010326;2019
Região Norte ;Acre ;38,56384058;2020
Região Norte ;Acre ;37,48254529;2021
Região Norte ;Amazonas ;191,57;2012
Região Norte ;Amazonas ;194,2846036;2013
Região Norte ;Amazonas ;197,1097989;2014
Região Norte ;Amazonas ;181,003471;2015
Região Norte ;Amazonas ;173,1906612;2016
Região Norte ;Amazonas ;177,0431572;2017
Região Norte ;Amazonas ;176,0756051;2018
Região Norte ;Amazonas ;175,7585018;2019
Região Norte ;Amazonas ;184,5497536;2020
Região Norte ;Amazonas ;181,0489638;2021
Região Norte ;Roraima ;19,7;2012
Região Norte ;Roraima ;20,31618855;2013
Região Norte ;Roraima ;21,16176087;2014
Região Norte ;Roraima ;21,6681558;2015
Região Norte ;Roraima ;22,37427355;2016
Região Norte ;Roraima ;23,25869818;2017
Região Norte ;Roraima ;24,90448551;2018
Região Norte ;Roraima ;25,31292935;2019
Região Norte ;Roraima ;27,15878623;2020
Região Norte ;Roraima ;28,29740036;2021
Região Norte ;Pará ;336,81;2012
Região Norte ;Pará ;356,7226908;2013
Região Norte ;Pará ;381,9469837;2014
Região Norte ;Pará ;381,9483043;2015
Região Norte ;Pará ;377,5763388;2016
Região Norte ;Pará ;377,5423064;2017
Região Norte ;Pará ;374,7873804;2018
Região Norte ;Pará ;373,2165616;2019
Região Norte ;Pará ;395,6782156;2020
Região Norte ;Pará ;394,5217844;2021
Região Norte ;Amapá ;28,65;2012
Região Norte ;Amapá ;29,72751487;2013
Região Norte ;Amapá ;30,82621196;2014
Região Norte ;Amapá ;30,67337862;2015
Região Norte ;Amapá ;30,18019203;2016
Região Norte ;Amapá ;30,38576504;2017
Região Norte ;Amapá ;31,0677192;2018
Região Norte ;Amapá ;31,70176993;2019
Região Norte ;Amapá ;33,99771014;2020
Região Norte ;Amapá ;32,92908877;2021
Região Norte ;Tocantins ;75,02;2012
Região Norte ;Tocantins ;77,92538691;2013
Região Norte ;Tocantins ;81,53136775;2014
Região Norte ;Tocantins ;80,53537681;2015
Região Norte ;Tocantins ;77,42788406;2016
Região Norte ;Tocantins ;78,6283646;2017
Região Norte ;Tocantins ;78,67078623;2018
Região Norte ;Tocantins ;80,02117391;2019
Região Norte ;Tocantins ;82,75157609;2020
Região Norte ;Tocantins ;82,72228442;2021
Região Nordeste ;Maranhão ;246,8;2012
Região Nordeste ;Maranhão ;273,2659042;2013
Região Nordeste ;Maranhão ;281,0742409;2014
Região Nordeste ;Maranhão ;278,0093406;2015
Região Nordeste ;Maranhão ;276,3479873;2016
Região Nordeste ;Maranhão ;282,2867802;2017
Região Nordeste ;Maranhão ;284,6680634;2018
Região Nordeste ;Maranhão ;288,8321993;2019
Região Nordeste ;Maranhão ;310,5906449;2020
Região Nordeste ;Maranhão ;305,0545471;2021
Região Nordeste ;Piauí ;145,24;2012
Região Nordeste ;Piauí ;152,0390147;2013
Região Nordeste ;Piauí ;163,4332536;2014
Região Nordeste ;Piauí ;165,0337844;2015
Região Nordeste ;Piauí ;165,4793786;2016
Região Nordeste ;Piauí ;167,6269855;2017
Região Nordeste ;Piauí ;167,2537319;2018
Região Nordeste ;Piauí ;170,098962;2019
Região Nordeste ;Piauí ;176,7367065;2020
Região Nordeste ;Piauí ;169,500067;2021
Região Nordeste ;Ceará ;449,77;2012
Região Nordeste ;Ceará ;463,5780095;2013
Região Nordeste ;Ceará ;485,4968659;2014
Região Nordeste ;Ceará ;489,9749112;2015
Região Nordeste ;Ceará ;543,8017011;2016
Região Nordeste ;Ceará ;532,2724295;2017
Região Nordeste ;Ceará ;515,1106993;2018
Região Nordeste ;Ceará ;510,7778297;2019
Região Nordeste ;Ceará ;529,7063913;2020
Região Nordeste ;Ceará ;512,792913;2021
Região Nordeste ;Rio Grande do Norte ;196,85;2012
Região Nordeste ;Rio Grande do Norte ;198,2820292;2013
Região Nordeste ;Rio Grande do Norte ;202,8957029;2014
Região Nordeste ;Rio Grande do Norte ;202,3524783;2015
Região Nordeste ;Rio Grande do Norte ;202,7822609;2016
Região Nordeste ;Rio Grande do Norte ;205,1102397;2017
Região Nordeste ;Rio Grande do Norte ;207,7589783;2018
Região Nordeste ;Rio Grande do Norte ;207,9445598;2019
Região Nordeste ;Rio Grande do Norte ;216,9952663;2020
Região Nordeste ;Rio Grande do Norte ;205,1192645;2021
Região Nordeste ;Paraíba ;223,24;2012
Região Nordeste ;Paraíba ;229,5662874;2013
Região Nordeste ;Paraíba ;241,9730616;2014
Região Nordeste ;Paraíba ;242,7656812;2015
Região Nordeste ;Paraíba ;242,8725906;2016
Região Nordeste ;Paraíba ;249,0927196;2017
Região Nordeste ;Paraíba ;240,0522808;2018
Região Nordeste ;Paraíba ;244,5966486;2019
Região Nordeste ;Paraíba ;254,7719022;2020
Região Nordeste ;Paraíba ;244,1742174;2021
Região Nordeste ;Pernambuco ;548,85;2012
Região Nordeste ;Pernambuco ;561,7495674;2013
Região Nordeste ;Pernambuco ;584,9745435;2014
Região Nordeste ;Pernambuco ;568,0132283;2015
Região Nordeste ;Pernambuco ;562,9186395;2016
Região Nordeste ;Pernambuco ;574,064401;2017
Região Nordeste ;Pernambuco ;568,998029;2018
Região Nordeste ;Pernambuco ;565,7041612;2019
Região Nordeste ;Pernambuco ;567,840375;2020
Região Nordeste ;Pernambuco ;548,1510091;2021
Região Nordeste ;Alagoas ;165,99;2012
Região Nordeste ;Alagoas ;166,829905;2013
Região Nordeste ;Alagoas ;173,5317518;2014
Região Nordeste ;Alagoas ;170,4618134;2015
Região Nordeste ;Alagoas ;170,680221;2016
Região Nordeste ;Alagoas ;174,1955156;2017
Região Nordeste ;Alagoas ;172,1928333;2018
Região Nordeste ;Alagoas ;173,2823098;2019
Região Nordeste ;Alagoas ;185,768212;2020
Região Nordeste ;Alagoas ;177,7782373;2021
Região Nordeste ;Sergipe ;122,18;2012
Região Nordeste ;Sergipe ;125,5353998;2013
