GRANDES REGIÕES;UNIDADES DA FEDERAÇÃO;VENDAS DE ÓLEO COMBUSTÍVEL PELAS DISTRIBUIDORAS;ANO
Região Norte ;Rondônia ;0;2012
Região Norte ;Rondônia ;0;2013
Região Norte ;Rondônia ;0;2014
Região Norte ;Rondônia ;0;2015
Região Norte ;Rondônia ;0;2016
Região Norte ;Rondônia ;0;2017
Região Norte ;Rondônia ;0;2018
Região Norte ;Rondônia ;0;2019
Região Norte ;Rondônia ;0;2020
Região Norte ;Rondônia ;0;2021
Região Norte ;Acre ;318;2012
Região Norte ;Acre ;0;2013
Região Norte ;Acre ;0;2014
Região Norte ;Acre ;0;2015
Região Norte ;Acre ;0;2016
Região Norte ;Acre ;0;2017
Região Norte ;Acre ;0;2018
Região Norte ;Acre ;0;2019
Região Norte ;Acre ;0;2020
Região Norte ;Acre ;0;2021
Região Norte ;Amazonas ;402630;2012
Região Norte ;Amazonas ;307689,468;2013
Região Norte ;Amazonas ;240407,567;2014
Região Norte ;Amazonas ;118563,604;2015
Região Norte ;Amazonas ;36523,888;2016
Região Norte ;Amazonas ;33868,236;2017
Região Norte ;Amazonas ;31675,246;2018
Região Norte ;Amazonas ;38200,44;2019
Região Norte ;Amazonas ;27881,292;2020
Região Norte ;Amazonas ;16223,6;2021
Região Norte ;Roraima ;364;2012
Região Norte ;Roraima ;710,38;2013
Região Norte ;Roraima ;573,1;2014
Região Norte ;Roraima ;0;2015
Região Norte ;Roraima ;0;2016
Região Norte ;Roraima ;768,96;2017
Região Norte ;Roraima ;609,98;2018
Região Norte ;Roraima ;357,08;2019
Região Norte ;Roraima ;376,36;2020
Região Norte ;Roraima ;115,57;2021
Região Norte ;Pará ;884114;2012
Região Norte ;Pará ;834171,356;2013
Região Norte ;Pará ;890526,462;2014
Região Norte ;Pará ;915267,858;2015
Região Norte ;Pará ;895810,822;2016
Região Norte ;Pará ;890539,971;2017
Região Norte ;Pará ;499409,503;2018
Região Norte ;Pará ;577278,498;2019
Região Norte ;Pará ;692076,903;2020
Região Norte ;Pará ;823288,379;2021
Região Norte ;Amapá ;0;2012
Região Norte ;Amapá ;0;2013
Região Norte ;Amapá ;90;2014
Região Norte ;Amapá ;0;2015
Região Norte ;Amapá ;0;2016
Região Norte ;Amapá ;0;2017
Região Norte ;Amapá ;0;2018
Região Norte ;Amapá ;0;2019
Região Norte ;Amapá ;0;2020
Região Norte ;Amapá ;0;2021
Região Norte ;Tocantins ;1070;2012
Região Norte ;Tocantins ;2158,28;2013
Região Norte ;Tocantins ;2432,73;2014
Região Norte ;Tocantins ;1058,12;2015
Região Norte ;Tocantins ;477,09;2016
Região Norte ;Tocantins ;90,05;2017
Região Norte ;Tocantins ;154,07;2018
Região Norte ;Tocantins ;547,53;2019
Região Norte ;Tocantins ;754,29;2020
Região Norte ;Tocantins ;613,94;2021
Região Nordeste ;Maranhão ;413818;2012
Região Nordeste ;Maranhão ;455699,255;2013
Região Nordeste ;Maranhão ;704652,791;2014
Região Nordeste ;Maranhão ;688453,252;2015
Região Nordeste ;Maranhão ;468465,378;2016
Região Nordeste ;Maranhão ;477593,692;2017
Região Nordeste ;Maranhão ;415648,784;2018
Região Nordeste ;Maranhão ;389071,838;2019
Região Nordeste ;Maranhão ;450229,451;2020
Região Nordeste ;Maranhão ;663613,214;2021
Região Nordeste ;Piauí ;3924;2012
Região Nordeste ;Piauí ;3090,29;2013
Região Nordeste ;Piauí ;4298,65;2014
Região Nordeste ;Piauí ;840,75;2015
Região Nordeste ;Piauí ;573,51;2016
Região Nordeste ;Piauí ;486,954;2017
Região Nordeste ;Piauí ;356,73;2018
Região Nordeste ;Piauí ;399,23;2019
Região Nordeste ;Piauí ;302,89;2020
Região Nordeste ;Piauí ;212,72;2021
Região Nordeste ;Ceará ;27835;2012
Região Nordeste ;Ceará ;144357,408;2013
Região Nordeste ;Ceará ;190727,95;2014
Região Nordeste ;Ceará ;190885,186;2015
Região Nordeste ;Ceará ;60460,13;2016
Região Nordeste ;Ceará ;18056,28;2017
Região Nordeste ;Ceará ;13760,629;2018
Região Nordeste ;Ceará ;4187,32;2019
Região Nordeste ;Ceará ;15326,27;2020
Região Nordeste ;Ceará ;58738,959;2021
Região Nordeste ;Rio Grande do Norte ;480;2012
Região Nordeste ;Rio Grande do Norte ;606,15;2013
Região Nordeste ;Rio Grande do Norte ;573,948;2014
Região Nordeste ;Rio Grande do Norte ;294,71;2015
Região Nordeste ;Rio Grande do Norte ;42,36;2016
Região Nordeste ;Rio Grande do Norte ;0;2017
Região Nordeste ;Rio Grande do Norte ;0;2018
Região Nordeste ;Rio Grande do Norte ;0;2019
Região Nordeste ;Rio Grande do Norte ;1,1;2020
Região Nordeste ;Rio Grande do Norte ;0;2021
Região Nordeste ;Paraíba ;137007;2012
Região Nordeste ;Paraíba ;327577,164;2013
Região Nordeste ;Paraíba ;613628,485;2014
Região Nordeste ;Paraíba ;513139,63;2015
Região Nordeste ;Paraíba ;226140,255;2016
Região Nordeste ;Paraíba ;292886,18;2017
Região Nordeste ;Paraíba ;203968,33;2018
Região Nordeste ;Paraíba ;96940,53;2019
Região Nordeste ;Paraíba ;66855,07;2020
Região Nordeste ;Paraíba ;381642,164;2021
Região Nordeste ;Pernambuco ;58440;2012
Região Nordeste ;Pernambuco ;434789,985;2013
Região Nordeste ;Pernambuco ;661002,055;2014
Região Nordeste ;Pernambuco ;541371,872;2015
Região Nordeste ;Pernambuco ;344954,574;2016
Região Nordeste ;Pernambuco ;393111,094;2017
Região Nordeste ;Pernambuco ;208737,753;2018
Região Nordeste ;Pernambuco ;69644,065;2019
Região Nordeste ;Pernambuco ;52775,07;2020
Região Nordeste ;Pernambuco ;376083,799;2021
Região Nordeste ;Alagoas ;617;2012
Região Nordeste ;Alagoas ;905,646;2013
Região Nordeste ;Alagoas ;788,04;2014
Região Nordeste ;Alagoas ;664,84;2015
Região Nordeste ;Alagoas ;297,55;2016
Região Nordeste ;Alagoas ;366,74;2017
Região Nordeste ;Alagoas ;239,16;2018
Região Nordeste ;Alagoas ;293,68;2019
Região Nordeste ;Alagoas ;397,06;2020
Região Nordeste ;Alagoas ;648,34;2021
Região Nordeste ;Sergipe ;3224;2012
Região Nordeste ;Sergipe ;1955,835;2013
Região Nordeste ;Sergipe ;1760,44;2014
Região Nordeste ;Sergipe ;1178,91;2015
Região Nordeste ;Sergipe ;955,44;2016
Região Nordeste ;Sergipe ;773,68;2017
Região Nordeste ;Sergipe ;1098,94;2018
Região Nordeste ;Sergipe ;252,13;2019
Região Nordeste ;Sergipe ;1754,938;2020
Região Nordeste ;Sergipe ;574,51;2021
Região Nordeste ;Bahia ;447334;2012
Região Nordeste ;Bahia ;662153,248;2013
Região Nordeste ;Bahia ;981998,162;2014
Região Nordeste ;Bahia ;521247,463;2015
Região Nordeste ;Bahia ;249217,639;2016
Região Nordeste ;Bahia ;304159,045;2017
Região Nordeste ;Bahia ;187238,533;2018
Região Nordeste ;Bahia ;102419,904;2019
Região Nordeste ;Bahia ;82055,216;2020
Região Nordeste ;Bahia ;246625,564;2021
Região Sudeste ;Minas Gerais ;312727;2012
Região Sudeste ;Minas Gerais ;377112,169;2013
Região Sudeste ;Minas Gerais ;491418,055;2014
Região Sudeste ;Minas Gerais ;230852,6;2015
Região Sudeste ;Minas Gerais ;171412,685;2016
Região Sudeste ;Minas Gerais ;163314,415;2017
Região Sudeste ;Minas Gerais ;156573,045;2018
Região Sudeste ;Minas Gerais ;121932,095;2019
Região Sudeste ;Minas Gerais ;105858,133;2020
Região Sudeste ;Minas Gerais ;102405,823;2021
Região Sudeste ;Espírito Santo ;79072;2012
Região Sudeste ;Espírito Santo ;298519,418;2013
Região Sudeste ;Espírito Santo ;326403,757;2014
Região Sudeste ;Espírito Santo ;327310,698;2015
Região Sudeste ;Espírito Santo ;95826,477;2016
Região Sudeste ;Espírito Santo ;132433,01;2017
Região Sudeste ;Espírito Santo ;57635,357;2018
Região Sudeste ;Espírito Santo ;14435,216;2019
Região Sudeste ;Espírito Santo ;71824,889;2020
Região Sudeste ;Espírito Santo ;247505,443;2021
Região Sudeste ;Rio de Janeiro ;29268;2012
