GRANDES REGIÕES;UNIDADES DA FEDERAÇÃO;PRODUÇÃO DE ETANOL ANIDRO E HIDRATADO;ANO
Região Norte;Rondônia;8,65;2012
Região Norte;Rondônia;7,460333;2013
Região Norte;Rondônia;12,769985;2014
Região Norte;Rondônia;12,988815;2015
Região Norte;Rondônia;9,058;2016
Região Norte;Rondônia;4,901497;2017
Região Norte;Rondônia;1,389635;2018
Região Norte;Rondônia;4,848;2019
Região Norte;Rondônia;0,0663;2020
Região Norte;Rondônia;0;2021
Região Norte;Acre;4,1;2012
Região Norte;Acre;5,008348;2013
Região Norte;Acre;0;2014
Região Norte;Acre;4,508889;2015
Região Norte;Acre;3,673;2016
Região Norte;Acre;0;2017
Região Norte;Acre;0;2018
Região Norte;Acre;0;2019
Região Norte;Acre;0;2020
Região Norte;Acre;0;2021
Região Norte;Amazonas;4,05;2012
Região Norte;Amazonas;4,874878;2013
Região Norte;Amazonas;2,918;2014
Região Norte;Amazonas;5,804;2015
Região Norte;Amazonas;5,497;2016
Região Norte;Amazonas;4,845;2017
Região Norte;Amazonas;5,468;2018
Região Norte;Amazonas;8,816;2019
Região Norte;Amazonas;9,009;2020
Região Norte;Amazonas;6,387398;2021
Região Norte;Pará;34,36;2012
Região Norte;Pará;37,061974;2013
Região Norte;Pará;42,145283;2014
Região Norte;Pará;40,926316;2015
Região Norte;Pará;33,15;2016
Região Norte;Pará;51,619027;2017
Região Norte;Pará;43,464166;2018
Região Norte;Pará;61,232;2019
Região Norte;Pará;50,340467;2020
Região Norte;Pará;54,984426;2021
Região Norte;Tocantins;161,69;2012
Região Norte;Tocantins;184,337788;2013
Região Norte;Tocantins;180,719783;2014
Região Norte;Tocantins;189,805978;2015
Região Norte;Tocantins;161,973;2016
Região Norte;Tocantins;176,271447;2017
Região Norte;Tocantins;155,221963;2018
Região Norte;Tocantins;166,37;2019
Região Norte;Tocantins;174,501618;2020
Região Norte;Tocantins;195,006123;2021
Região Nordeste;Maranhão;160,37;2012
Região Nordeste;Maranhão;167,89879;2013
Região Nordeste;Maranhão;179,15071;2014
Região Nordeste;Maranhão;186,980954;2015
Região Nordeste;Maranhão;127,99648;2016
Região Nordeste;Maranhão;162,556946;2017
Região Nordeste;Maranhão;147,615979;2018
Região Nordeste;Maranhão;167,7435;2019
Região Nordeste;Maranhão;174,547847;2020
Região Nordeste;Maranhão;164,334772;2021
Região Nordeste;Piauí;6,61;2012
Região Nordeste;Piauí;31,937491;2013
Região Nordeste;Piauí;32,506926;2014
Região Nordeste;Piauí;32,679517;2015
Região Nordeste;Piauí;21,606135;2016
Região Nordeste;Piauí;20,404588;2017
Região Nordeste;Piauí;37,477886;2018
Região Nordeste;Piauí;46,458773;2019
Região Nordeste;Piauí;38,611806;2020
Região Nordeste;Piauí;44,14264;2021
