GRANDES REGIÕES;UNIDADES DA FEDERAÇÃO;CONSUMO DE METANOL;ANO
Região Norte ;Rondônia ;1490,2;2012
Região Norte ;Rondônia ;2598,223;2013
Região Norte ;Rondônia ;2224,19;2014
Região Norte ;Rondônia ;1011,461;2015
Região Norte ;Rondônia ;694,547;2016
Região Norte ;Rondônia ;1871,385;2017
Região Norte ;Rondônia ;4350,159;2018
Região Norte ;Rondônia ;4215,716;2019
Região Norte ;Rondônia ;1701,756;2020
Região Norte ;Rondônia ;948;2021
Região Norte ;Tocantins ;9251,72;2012
Região Norte ;Tocantins ;4729,55;2013
Região Norte ;Tocantins ;11632,856;2014
Região Norte ;Tocantins ;9961,736;2015
Região Norte ;Tocantins ;3844,064;2016
Região Norte ;Tocantins ;28,938;2017
Região Norte ;Tocantins ;10899,359;2018
Região Norte ;Tocantins ;13398,122;2019
Região Norte ;Tocantins ;17629,279;2020
Região Norte ;Tocantins ;15279;2021
Região Nordeste ;Piauí;0;2012
Região Nordeste ;Piauí;0;2013
Região Nordeste ;Piauí;0;2014
Região Nordeste ;Piauí;0;2015
Região Nordeste ;Piauí;0;2016
Região Nordeste ;Piauí;0;2017
Região Nordeste ;Piauí;0;2018
Região Nordeste ;Piauí;0;2019
Região Nordeste ;Piauí;6613,952;2020
Região Nordeste ;Piauí;6294;2021
Região Nordeste ;Ceará ;6684,64;2012
Região Nordeste ;Ceará ;8295,42;2013
Região Nordeste ;Ceará ;7121,534;2014
Região Nordeste ;Ceará ;8958,763;2015
Região Nordeste ;Ceará ;6577,369;2016
Região Nordeste ;Ceará ;0;2017
Região Nordeste ;Ceará ;0;2018
Região Nordeste ;Ceará ;0;2019
Região Nordeste ;Ceará ;0;2020
Região Nordeste ;Rio Grande do Norte;0;2012
Região Nordeste ;Rio Grande do Norte;0;2013
Região Nordeste ;Rio Grande do Norte;0;2014
Região Nordeste ;Rio Grande do Norte;160,884;2015
Região Nordeste ;Rio Grande do Norte;0;2016
Região Nordeste ;Rio Grande do Norte;0;2017
Região Nordeste ;Rio Grande do Norte;0;2018
Região Nordeste ;Rio Grande do Norte;0;2019
Região Nordeste ;Rio Grande do Norte;0;2020
Região Nordeste ;Bahia ;25987,46;2012
Região Nordeste ;Bahia ;21544,26;2013
Região Nordeste ;Bahia ;19090,579;2014
Região Nordeste ;Bahia ;25419,805;2015
Região Nordeste ;Bahia ;28058,495;2016
Região Nordeste ;Bahia ;33339,528;2017
Região Nordeste ;Bahia ;42592,387;2018
Região Nordeste ;Bahia ;51347,758;2019
Região Nordeste ;Bahia ;49695,773;2020
Região Nordeste ;Bahia ;46198;2021
Região Sudeste ;Minas Gerais ;8476,72;2012
Região Sudeste ;Minas Gerais ;8881,205;2013
Região Sudeste ;Minas Gerais ;8355,838;2014
Região Sudeste ;Minas Gerais ;10001,724;2015
Região Sudeste ;Minas Gerais ;9871,588;2016
Região Sudeste ;Minas Gerais ;12506,634;2017
Região Sudeste ;Minas Gerais ;13975,82;2018
Região Sudeste ;Minas Gerais ;13435,023;2019
Região Sudeste ;Minas Gerais ;14013,619;2020
Região Sudeste ;Minas Gerais ;11586,897;2021
Região Sudeste ;Rio de Janeiro ;1978,7;2012
Região Sudeste ;Rio de Janeiro ;1056,299;2013
Região Sudeste ;Rio de Janeiro ;2876,161;2014
Região Sudeste ;Rio de Janeiro ;2758,006;2015
Região Sudeste ;Rio de Janeiro ;3999,581;2016
Região Sudeste ;Rio de Janeiro ;9014,566;2017
Região Sudeste ;Rio de Janeiro ;12199,586;2018
Região Sudeste ;Rio de Janeiro ;16145,561;2019
Região Sudeste ;Rio de Janeiro ;17109,634;2020
Região Sudeste ;Rio de Janeiro ;15187,946;2021
Região Sudeste ;São Paulo ;20618,95;2012
Região Sudeste ;São Paulo ;22570,129;2013
Região Sudeste ;São Paulo ;21730,379;2014
Região Sudeste ;São Paulo ;20715,122;2015
Região Sudeste ;São Paulo ;15723,5825;2016
Região Sudeste ;São Paulo ;20657,647;2017
Região Sudeste ;São Paulo ;26897,487;2018
Região Sudeste ;São Paulo ;27004,675;2019
Região Sudeste ;São Paulo ;27863,675;2020
Região Sudeste ;São Paulo ;20953,634;2021
Região Sul ;Paraná ;14068,38;2012
Região Sul ;Paraná ;21520,969;2013
Região Sul ;Paraná ;29691,12;2014
Região Sul ;Paraná ;36651,014;2015
Região Sul ;Paraná ;39656,6;2016
Região Sul ;Paraná ;48791,185;2017
Região Sul ;Paraná ;67535,208;2018
Região Sul ;Paraná ;73753,018;2019
Região Sul ;Paraná ;90237,096;2020
Região Sul ;Paraná ;136925;2021
Região Sul ;Santa Catarina;0;2012
Região Sul ;Santa Catarina;3094,059;2013
Região Sul ;Santa Catarina;5730,386;2014
Região Sul ;Santa Catarina;2892,634;2015
Região Sul ;Santa Catarina;11583,162;2016
Região Sul ;Santa Catarina;11823,296;2017
Região Sul ;Santa Catarina;13576,129;2018
Região Sul ;Santa Catarina;14335,41;2019
Região Sul ;Santa Catarina;15756,162;2020
Região Sul ;Santa Catarina;11846;2021
Região Sul ;Rio Grande do Sul ;87995,66;2012
Região Sul ;Rio Grande do Sul ;100353,776;2013
Região Sul ;Rio Grande do Sul ;103990,498;2014
Região Sul ;Rio Grande do Sul ;118524,679;2015
Região Sul ;Rio Grande do Sul ;114841,288;2016
Região Sul ;Rio Grande do Sul ;128072,287;2017
Região Sul ;Rio Grande do Sul ;170860,293;2018
Região Sul ;Rio Grande do Sul ;177918,775;2019
Região Sul ;Rio Grande do Sul ;197814,601;2020
Região Sul ;Rio Grande do Sul ;205957;2021
Região Centro-Oeste ;Mato Grosso do Sul ;9540,08;2012
Região Centro-Oeste ;Mato Grosso do Sul ;23746,725;2013
Região Centro-Oeste ;Mato Grosso do Sul ;27033,275;2014
Região Centro-Oeste ;Mato Grosso do Sul ;24705,457;2015
Região Centro-Oeste ;Mato Grosso do Sul ;19114,943;2016
Região Centro-Oeste ;Mato Grosso do Sul ;29521,416;2017
Região Centro-Oeste ;Mato Grosso do Sul ;35851,045;2018
Região Centro-Oeste ;Mato Grosso do Sul ;25485,723;2019
Região Centro-Oeste ;Mato Grosso do Sul ;21523,818;2020
Região Centro-Oeste ;Mato Grosso do Sul ;22397;2021
Região Centro-Oeste ;Mato Grosso ;57165,05;2012
Região Centro-Oeste ;Mato Grosso ;49385,436;2013
Região Centro-Oeste ;Mato Grosso ;68041,715;2014
Região Centro-Oeste ;Mato Grosso ;91490,713;2015
Região Centro-Oeste ;Mato Grosso ;88762,018;2016
Região Centro-Oeste ;Mato Grosso ;102898,265;2017
Região Centro-Oeste ;Mato Grosso ;128641,048;2018
Região Centro-Oeste ;Mato Grosso ;144467,667;2019
Região Centro-Oeste ;Mato Grosso ;159098,465;2020
Região Centro-Oeste ;Mato Grosso ;155428,739;2021
Região Centro-Oeste ;Goiás ;61975,74;2012
Região Centro-Oeste ;Goiás ;65090,913;2013
Região Centro-Oeste ;Goiás ;72434,117;2014
Região Centro-Oeste ;Goiás ;78331,787;2015
Região Centro-Oeste ;Goiás ;71508,069;2016
Região Centro-Oeste ;Goiás ;80666,507;2017
Região Centro-Oeste ;Goiás ;96097,175;2018
Região Centro-Oeste ;Goiás ;89783,578;2019
Região Centro-Oeste ;Goiás ;91733,421;2020
Região Centro-Oeste ;Goiás ;111518;2021
