GRANDES REGIÕES;UNIDADES DA FEDERAÇÃO;GLICERINA GERADA NA PRODUÇÃO DE BIODIESEL (B100);ANO
Região Norte ;Rondônia ;1401,69;2012
Região Norte ;Rondônia ;3114,315;2013
Região Norte ;Rondônia ;2922,267;2014
Região Norte ;Rondônia ;1596,035;2015
Região Norte ;Rondônia ;689,173;2016
Região Norte ;Rondônia ;2787,152;2017
Região Norte ;Rondônia ;7499,163;2018
Região Norte ;Rondônia ;6635,162;2019
Região Norte ;Rondônia ;2556,335;2020
Região Norte ;Rondônia ;1443,459;2021
Região Norte ;Tocantins ;9351,49;2012
Região Norte ;Tocantins ;4644,8813;2013
Região Norte ;Tocantins ;5548,536;2014
Região Norte ;Tocantins ;6608,561;2015
Região Norte ;Tocantins ;3604,4;2016
Região Norte ;Tocantins ;92,477;2017
Região Norte ;Tocantins ;5819,443;2018
Região Norte ;Tocantins ;8650,227;2019
Região Norte ;Tocantins ;13289,54;2020
Região Norte ;Tocantins ;11140,917;2021
Região Nordeste ;Piauí;0;2012
Região Nordeste ;Piauí;0;2013
Região Nordeste ;Piauí;0;2014
Região Nordeste ;Piauí;0;2015
Região Nordeste ;Piauí;0;2016
Região Nordeste ;Piauí;0;2017
Região Nordeste ;Piauí;0;2018
Região Nordeste ;Piauí;0;2019
Região Nordeste ;Piauí;3535,362;2020
Região Nordeste ;Piauí;4181,209;2021
Região Nordeste ;Ceará ;5774,45;2012
Região Nordeste ;Ceará ;7717,496;2013
Região Nordeste ;Ceará ;6407,388;2014
Região Nordeste ;Ceará ;7134,511;2015
Região Nordeste ;Ceará ;5553,778;2016
Região Nordeste ;Ceará ;0;2017
Região Nordeste ;Ceará ;0;2018
Região Nordeste ;Ceará ;0;2019
Região Nordeste ;Ceará ;0;2020
Região Nordeste ;Ceará ;0;2021
Região Nordeste ;Rio Grande do Norte;0;2012
Região Nordeste ;Rio Grande do Norte;0;2013
Região Nordeste ;Rio Grande do Norte;0;2014
Região Nordeste ;Rio Grande do Norte;153,462;2015
Região Nordeste ;Rio Grande do Norte;0;2016
Região Nordeste ;Rio Grande do Norte;0;2017
Região Nordeste ;Rio Grande do Norte;0;2018
Região Nordeste ;Rio Grande do Norte;0;2019
Região Nordeste ;Rio Grande do Norte;0;2020
Região Nordeste ;Rio Grande do Norte;0;2021
Região Nordeste ;Bahia ;24752,78;2012
Região Nordeste ;Bahia ;20261,102;2013
Região Nordeste ;Bahia ;15055,978;2014
Região Nordeste ;Bahia ;18227,044;2015
Região Nordeste ;Bahia ;20918,46;2016
Região Nordeste ;Bahia ;25707,308;2017
Região Nordeste ;Bahia ;33981,047;2018
Região Nordeste ;Bahia ;39815,923;2019
Região Nordeste ;Bahia ;40151,344;2020
Região Nordeste ;Bahia ;35948,38;2021
Região Sudeste ;Minas Gerais ;7081,41;2012
Região Sudeste ;Minas Gerais ;8731,211;2013
Região Sudeste ;Minas Gerais ;7258,561;2014
Região Sudeste ;Minas Gerais ;9495,089;2015
Região Sudeste ;Minas Gerais ;8462,746;2016
Região Sudeste ;Minas Gerais ;10353,059;2017
Região Sudeste ;Minas Gerais ;12133,341;2018
Região Sudeste ;Minas Gerais ;12064,282;2019
Região Sudeste ;Minas Gerais ;12768,857;2020
Região Sudeste ;Minas Gerais ;10929,544;2021
Região Sudeste ;Rio de Janeiro ;2001,77;2012
Região Sudeste ;Rio de Janeiro ;929,342;2013
Região Sudeste ;Rio de Janeiro ;2223,122;2014
Região Sudeste ;Rio de Janeiro ;2881,756;2015
Região Sudeste ;Rio de Janeiro ;4069,407;2016
Região Sudeste ;Rio de Janeiro ;7001,194;2017
Região Sudeste ;Rio de Janeiro ;6804,524;2018
Região Sudeste ;Rio de Janeiro ;10215,066;2019
Região Sudeste ;Rio de Janeiro ;10266,545;2020
Região Sudeste ;Rio de Janeiro ;8348,911;2021
Região Sudeste ;São Paulo ;16243,22;2012
Região Sudeste ;São Paulo ;16185,922;2013
Região Sudeste ;São Paulo ;15995,08;2014
Região Sudeste ;São Paulo ;17819,21;2015
Região Sudeste ;São Paulo ;12338,488;2016
Região Sudeste ;São Paulo ;15016,611;2017
Região Sudeste ;São Paulo ;20623,95;2018
Região Sudeste ;São Paulo ;21865,319;2019
Região Sudeste ;São Paulo ;25531,305;2020
Região Sudeste ;São Paulo ;18799,144;2021
Região Sul ;Paraná ;10800,26;2012
Região Sul ;Paraná ;19965,612;2013
Região Sul ;Paraná ;30391,787;2014
Região Sul ;Paraná ;36189,775;2015
Região Sul ;Paraná ;39837,747;2016
Região Sul ;Paraná ;50547,262;2017
Região Sul ;Paraná ;51098,142;2018
Região Sul ;Paraná ;54123,178;2019
Região Sul ;Paraná ;67681,346;2020
Região Sul ;Paraná ;108926,799;2021
Região Sul ;Santa Catarina;0;2012
Região Sul ;Santa Catarina;5846,656;2013
Região Sul ;Santa Catarina;7675,985;2014
Região Sul ;Santa Catarina;3895,63;2015
Região Sul ;Santa Catarina;10017,093;2016
Região Sul ;Santa Catarina;13506,85;2017
Região Sul ;Santa Catarina;10996,036;2018
Região Sul ;Santa Catarina;10935,084;2019
Região Sul ;Santa Catarina;11979,479;2020
Região Sul ;Santa Catarina;8667,531;2021
Região Sul ;Rio Grande do Sul ;68230,85;2012
Região Sul ;Rio Grande do Sul ;72960,197;2013
Região Sul ;Rio Grande do Sul ;83226,427;2014
Região Sul ;Rio Grande do Sul ;95713,985;2015
Região Sul ;Rio Grande do Sul ;92505,488;2016
Região Sul ;Rio Grande do Sul ;92049,88;2017
Região Sul ;Rio Grande do Sul ;119833,243;2018
Região Sul ;Rio Grande do Sul ;131826,813;2019
Região Sul ;Rio Grande do Sul ;147012,93;2020
Região Sul ;Rio Grande do Sul ;151974,468;2021
Região Centro-Oeste ;Mato Grosso do Sul ;13982,07;2012
Região Centro-Oeste ;Mato Grosso do Sul ;22400,751;2013
Região Centro-Oeste ;Mato Grosso do Sul ;19019,309;2014
Região Centro-Oeste ;Mato Grosso do Sul ;17539,942;2015
Região Centro-Oeste ;Mato Grosso do Sul ;15289,968;2016
Região Centro-Oeste ;Mato Grosso do Sul ;21402,711;2017
Região Centro-Oeste ;Mato Grosso do Sul ;23910,666;2018
Região Centro-Oeste ;Mato Grosso do Sul ;34885,372;2019
Região Centro-Oeste ;Mato Grosso do Sul ;30976,254;2020
Região Centro-Oeste ;Mato Grosso do Sul ;27809,733;2021
Região Centro-Oeste ;Mato Grosso ;59574,58;2012
Região Centro-Oeste ;Mato Grosso ;47599,26525;2013
Região Centro-Oeste ;Mato Grosso ;57622,407;2014
Região Centro-Oeste ;Mato Grosso ;69479,611;2015
Região Centro-Oeste ;Mato Grosso ;70928,283;2016
Região Centro-Oeste ;Mato Grosso ;86665,387;2017
Região Centro-Oeste ;Mato Grosso ;97601,34;2018
Região Centro-Oeste ;Mato Grosso ;108893,654;2019
Região Centro-Oeste ;Mato Grosso ;120214,743;2020
Região Centro-Oeste ;Mato Grosso ;122582,09;2021
Região Centro-Oeste ;Goiás ;55488,32;2012
Região Centro-Oeste ;Goiás ;59903,699;2013
Região Centro-Oeste ;Goiás ;58479,677;2014
Região Centro-Oeste ;Goiás ;60104,345;2015
Região Centro-Oeste ;Goiás ;57696,165;2016
Região Centro-Oeste ;Goiás ;54192,193;2017
Região Centro-Oeste ;Goiás ;55198,481;2018
Região Centro-Oeste ;Goiás ;72228,975;2019
Região Centro-Oeste ;Goiás ;94105,995;2020
Região Centro-Oeste ;Goiás ;102526,584;2021
