MATÉRIAS-PRIMAS;MATÉRIAS-PRIMAS UTILIZADAS NA PRODUÇÃO DE BIODIESEL (B100);ANO
Óleo de soja;2050371,2;2012
Óleo de soja;2123488,133;2013
Óleo de soja;2573331,097;2014
Óleo de soja;2960686,655;2015
Óleo de soja;2828765,29;2016
Óleo de soja;2964245,874;2017
Óleo de soja;3743316,191;2018
Óleo de soja;4087804,331;2019
Óleo de soja;4677523;2020
Óleo de soja;4907872,509;2021
Outros óleos vegetais1;124045,56;2012
Outros óleos vegetais1;72779,532;2013
Outros óleos vegetais1;72196,276;2014
Outros óleos vegetais1;76411,064;2015
Outros óleos vegetais1;60752,66;2016
Outros óleos vegetais1;54371,36;2017
Outros óleos vegetais1;128858;2018
Outros óleos vegetais1;350192,755;2019
Outros óleos vegetais1;297144;2020
Outros óleos vegetais1;280710,915;2021
Gordura animal2;454626,54;2012
Gordura animal2;549849,787;2013
Gordura animal2;640453,56;2014
Gordura animal2;687991,713;2015
Gordura animal2;620180,633;2016
Gordura animal2;715273;2017
Gordura animal2;862505;2018
Gordura animal2;831631,606;2019
Gordura animal2;737834;2020
Gordura animal2;714242,288;2021
Outros3;48341,09;2012
Outros3;42845,339;2013
Outros3;38028,043;2014
Outros3;42897,813;2015
Outros3;115525,42;2016
Outros3;487381;2017
Outros3;612076;2018
Outros3;766177,58;2019
Outros3;829832;2020
Outros3;903498,543;2021
