LEILÃO;FASE;UNIDADES OFERTANTES;UNIDADES CLASSIFICADAS;VOLUME OFERTADO;VOLUME ARREMATADO;PREÇO MÁXIMO DE REFERÊNCIA;PREÇO MÉDIO
1º Leilão - Edital ANP 61/2005 - 23/11/2005;Fase da mistura opcional de 2% - janeiro 2005 a dezembro 2007;8;4;70000;70000;1920;1904,84
2º Leilão - Edital ANP 07/2006 - 30/3/2006;Fase da mistura opcional de 2% - janeiro 2005 a dezembro 2007;12;8;315520;170000;1908;1859,65
3º Leilão - Edital ANP 21/2006 - 11/7/2006;Fase da mistura opcional de 2% - janeiro 2005 a dezembro 2007;6;4;125400;50000;1904,84;1753,79
4º Leilão - Edital ANP 22/2006 - 12/7/2006;Fase da mistura opcional de 2% - janeiro 2005 a dezembro 2007;25;12;1141335;550000;1904,51;1746,48
5º Leilão - Edital ANP 02/2007 - 13/2/2007;Fase da mistura opcional de 2% - janeiro 2005 a dezembro 2007;7;4;50000;45000;1904,51;1862,14
6º Leilão - Edital ANP 69/2007 - 13/11/2007;Fases da mistura obrigatória (2% de janeiro a junho e 3% de julho a dezembro) - 2008;26;11;304000;304000;2400;1865,6
7º Leilão - Edital ANP 70/2007 - 14/11/2007;Fases da mistura obrigatória (2% de janeiro a junho e 3% de julho a dezembro) - 2008;30;10;76000;76000;2400;1863,2
8º Leilão - Edital ANP 24/2008 - 10/4/2008;Fases da mistura obrigatória (2% de janeiro a junho e 3% de julho a dezembro) - 2008;24;17;473140;264000;2804;2691,7
9º Leilão - Edital ANP 25/2008 - 11/4/2008;Fases da mistura obrigatória (2% de janeiro a junho e 3% de julho a dezembro) - 2008;20;13;181810;66000;2804;2685,23
10º Leilão - Edital ANP 47/2008 - 14/8/2008;Fases da mistura obrigatória (2% de janeiro a junho e 3% de julho a dezembro) - 2008;21;20;347060;264000;2620;2604,64
11º Leilão - Edital ANP 48/2008 - 15/8/2008;Fases da mistura obrigatória (2% de janeiro a junho e 3% de julho a dezembro) - 2008;20;17;94760;66000;2620;2609,7
12º Leilão - Lotes 1 e 2 - Edital ANP 86/2008 - 24/11/2008;Fases da mistura obrigatória (3% de janeiro a junho e 4% de julho a dezembro) - 2009;46;42;449890;330000;2400;2387,76
13º Leilão - Lotes 1 e 2 - Edital ANP 9/2009 - 27/2/2009;Fases da mistura obrigatória (3% de janeiro a junho e 4% de julho a dezembro) - 2009;59;39;578152;315000;2360;2155,22
14º Leilão - Lotes 1 e 2 - Edital ANP 34/2009 - 29/5/2009;Fases da mistura obrigatória (3% de janeiro a junho e 4% de julho a dezembro) - 2009;59;53;645624;460000;2360;2308,97
15º Leilão - Lotes 1 e 2 - Edital ANP 59/2009 - 27/8/2009;Fases da mistura obrigatória (3% de janeiro a junho e 4% de julho a dezembro) - 2009;59;51;684931;460000;2300;2265,98
16º Leilão - Lotes 1 e 2 - Edital ANP 81/2009 - 17/11/2009;Fase da mistura obrigatória (5% - de janeiro de 2010 a junho de 2014);63;55;725179;575000;2350;2326,67
17º Leilão - Lotes 1 e 2 - Edital ANP 11/2010 - 1/3/2010;Fase da mistura obrigatória (5% - de janeiro de 2010 a junho de 2014);71;49;565000;565000;2300;2237,05
