MÊS;BIOCOMBUSTÍVEL;CERTIFICAÇÕES
jan;Biodiesel;0
jan;Biometano;0
jan;Etanol;5
fev;Biodiesel;1
fev;Biometano;0
fev;Etanol;4
mar;Biodiesel;0
mar;Biometano;0
mar;Etanol;19
abr;Biodiesel;3
abr;Biometano;1
abr;Etanol;11
mai;Biodiesel;2
mai;Biometano;0
mai;Etanol;4
jun;Biodiesel;1
jun;Biometano;0
jun;Etanol;2
jul;Biodiesel;1
jul;Biometano;0
jul;Etanol;1
ago;Biodiesel;4
ago;Biometano;1
ago;Etanol;8
set;Biodiesel;1
set;Biometano;0
set;Etanol;6
out;Biodiesel;0
out;Biometano;0
out;Etanol;7
nov;Biodiesel;1
nov;Biometano;0
nov;Etanol;3
dez;Biodiesel;0
dez;Biometano;0
dez;Etanol;1
