MÊS;BIOCOMBUSTÍVEL;EMISSÃO DE CBIOS
jan;Biodiesel;257201
jan;Biometano;5108
jan;Etanol;2091002
fev;Biodiesel;291792
fev;Biometano;5441
fev;Etanol;2442483
mar;Biodiesel;351963
mar;Biometano;5354
mar;Etanol;2412422
abr;Biodiesel;359307
abr;Biometano;6194
abr;Etanol;1809969
mai;Biodiesel;430948
mai;Biometano;6495
mai;Etanol;1976081
jun;Biodiesel;343776
jun;Biometano;7011
jun;Etanol;2181775
jul;Biodiesel;413135
jul;Biometano;6673
jul;Etanol;2112146
ago;Biodiesel;374007
ago;Biometano;6518
ago;Etanol;2356144
set;Biodiesel;405897
set;Biometano;6966
set;Etanol;2493891
out;Biodiesel;438223
out;Biometano;21788
out;Etanol;2193239
nov;Biodiesel;440004
nov;Biometano;12022
nov;Etanol;2057489
dez;Biodiesel;303224
dez;Biometano;7046
dez;Etanol;2138467
