GRANDES REGIÕES;UNIDADES DA FEDERAÇÃO;PRODUÇÃO DE ETANOL ANIDRO;ANO
Região Norte;Pará ;23,5;2012
Região Norte;Pará ;28,091099;2013
Região Norte;Pará ;33,801153;2014
Região Norte;Pará ;29,790318;2015
Região Norte;Pará ;28,694;2016
Região Norte;Pará ;43,532248;2017
Região Norte;Pará ;34,832466;2018
Região Norte;Pará ;44,127;2019
Região Norte;Pará ;38,615557;2020
Região Norte;Pará ;41,616391;2021
Região Norte;Tocantins;123,26;2012
Região Norte;Tocantins;114,248732;2013
Região Norte;Tocantins;118,444443;2014
Região Norte;Tocantins;127,942901;2015
Região Norte;Tocantins;116,526;2016
Região Norte;Tocantins;115,76491;2017
Região Norte;Tocantins;69,698369;2018
Região Norte;Tocantins;81,536;2019
Região Norte;Tocantins;86,183292;2020
Região Norte;Tocantins;90,789532;2021
Região Nordeste;Maranhão;136,87;2012
Região Nordeste;Maranhão;154,478105;2013
Região Nordeste;Maranhão;165,574023;2014
Região Nordeste;Maranhão;144,704296;2015
Região Nordeste;Maranhão;111,046191;2016
Região Nordeste;Maranhão;142,936334;2017
Região Nordeste;Maranhão;122,750679;2018
Região Nordeste;Maranhão;142,038;2019
Região Nordeste;Maranhão;159,412806;2020
Região Nordeste;Maranhão;154,513093;2021
Região Nordeste;Piauí;6,53;2012
Região Nordeste;Piauí;30,851333;2013
Região Nordeste;Piauí;31,976589;2014
Região Nordeste;Piauí;29,338987;2015
Região Nordeste;Piauí;21,391;2016
Região Nordeste;Piauí;19,581231;2017
Região Nordeste;Piauí;18,016615;2018
Região Nordeste;Piauí;16,804;2019
Região Nordeste;Piauí;28,136033;2020
Região Nordeste;Piauí;26,653867;2021
Região Nordeste;Rio Grande do Norte;52,49;2012
Região Nordeste;Rio Grande do Norte;35,479374;2013
Região Nordeste;Rio Grande do Norte;45,798556;2014
Região Nordeste;Rio Grande do Norte;64,154508;2015
Região Nordeste;Rio Grande do Norte;41,559403;2016
Região Nordeste;Rio Grande do Norte;26,667584;2017
Região Nordeste;Rio Grande do Norte;21,80231;2018
Região Nordeste;Rio Grande do Norte;18,981763;2019
Região Nordeste;Rio Grande do Norte;31,848583;2020
Região Nordeste;Rio Grande do Norte;31,17714;2021
Região Nordeste;Paraíba ;146,38;2012
Região Nordeste;Paraíba ;185,468366;2013
Região Nordeste;Paraíba ;235,493453;2014
Região Nordeste;Paraíba ;208,703731;2015
Região Nordeste;Paraíba ;158,527675;2016
Região Nordeste;Paraíba ;153,826225;2017
Região Nordeste;Paraíba ;170,4061;2018
Região Nordeste;Paraíba ;183,731931;2019
Região Nordeste;Paraíba ;197,644132;2020
Região Nordeste;Paraíba ;227,027284;2021
Região Nordeste;Pernambuco;178,35;2012
Região Nordeste;Pernambuco;153,007321;2013
Região Nordeste;Pernambuco;192,824157;2014
Região Nordeste;Pernambuco;189,004622;2015
Região Nordeste;Pernambuco;124,114865;2016
Região Nordeste;Pernambuco;99,946068;2017
Região Nordeste;Pernambuco;86,603113;2018
Região Nordeste;Pernambuco;104,452304;2019
Região Nordeste;Pernambuco;113,640277;2020
Região Nordeste;Pernambuco;114,24987;2021
Região Nordeste;Alagoas;348,87;2012
Região Nordeste;Alagoas;296,828726;2013
Região Nordeste;Alagoas;341,366008;2014
Região Nordeste;Alagoas;333,046976;2015
Região Nordeste;Alagoas;261,91703;2016
Região Nordeste;Alagoas;225,916222;2017
Região Nordeste;Alagoas;197,135619;2018
Região Nordeste;Alagoas;199,602288;2019
Região Nordeste;Alagoas;186,602811;2020
Região Nordeste;Alagoas;189,995903;2021
Região Nordeste;Sergipe;36,3;2012
Região Nordeste;Sergipe;30,598291;2013
Região Nordeste;Sergipe;37,308661;2014
Região Nordeste;Sergipe;35,122982;2015
Região Nordeste;Sergipe;21,328267;2016
Região Nordeste;Sergipe;24,366937;2017
Região Nordeste;Sergipe;22,845966;2018
Região Nordeste;Sergipe;21,647366;2019
Região Nordeste;Sergipe;19,990131;2020
Região Nordeste;Sergipe;19,89701;2021
Região Nordeste;Bahia;78,87;2012
Região Nordeste;Bahia;109,461039;2013
Região Nordeste;Bahia;131,773121;2014
Região Nordeste;Bahia;47,196955;2015
Região Nordeste;Bahia;75,84226;2016
Região Nordeste;Bahia;74,713938;2017
Região Nordeste;Bahia;80,213849;2018
Região Nordeste;Bahia;83,379181;2019
Região Nordeste;Bahia;117,022296;2020
Região Nordeste;Bahia;121,005192;2021
Região Sudeste;Minas Gerais ;863,88;2012
Região Sudeste;Minas Gerais ;1232,798463;2013
Região Sudeste;Minas Gerais ;1095,215843;2014
Região Sudeste;Minas Gerais ;1104,853305;2015
Região Sudeste;Minas Gerais ;1102,031545;2016
Região Sudeste;Minas Gerais ;1002,251865;2017
Região Sudeste;Minas Gerais ;829,619054;2018
Região Sudeste;Minas Gerais ;1007,07952;2019
Região Sudeste;Minas Gerais ;963,909621;2020
Região Sudeste;Minas Gerais ;1204,635494;2021
Região Sudeste;Espírito Santo;112,58;2012
Região Sudeste;Espírito Santo;107,431075;2013
Região Sudeste;Espírito Santo;106,69017;2014
Região Sudeste;Espírito Santo;86,937963;2015
Região Sudeste;Espírito Santo;48,201267;2016
Região Sudeste;Espírito Santo;77,376646;2017
Região Sudeste;Espírito Santo;102,808577;2018
Região Sudeste;Espírito Santo;106,694247;2019
Região Sudeste;Espírito Santo;78,308854;2020
Região Sudeste;Espírito Santo;80,06906;2021
Região Sudeste;São Paulo;5582,87;2012
Região Sudeste;São Paulo;6699,538056;2013
Região Sudeste;São Paulo;6433,120251;2014
Região Sudeste;São Paulo;6181,311428;2015
Região Sudeste;São Paulo;6550,451884;2016
Região Sudeste;São Paulo;6411,149121;2017
Região Sudeste;São Paulo;5119,513664;2018
Região Sudeste;São Paulo;5661,137391;2019
Região Sudeste;São Paulo;5006,701628;2020
Região Sudeste;São Paulo;5350,208228;2021
Região Sul;Paraná;397,58;2012
Região Sul;Paraná;467,451725;2013
Região Sul;Paraná;531,137767;2014
Região Sul;Paraná;538,288313;2015
Região Sul;Paraná;607,196184;2016
Região Sul;Paraná;589,363754;2017
Região Sul;Paraná;517,939575;2018
Região Sul;Paraná;569,817784;2019
Região Sul;Paraná;539,868746;2020
Região Sul;Paraná;563,24996;2021
Região Centro-Oeste;Mato Grosso do Sul ;505,01;2012
Região Centro-Oeste;Mato Grosso do Sul ;579,846833;2013
Região Centro-Oeste;Mato Grosso do Sul ;609,869184;2014
Região Centro-Oeste;Mato Grosso do Sul ;646,126425;2015
Região Centro-Oeste;Mato Grosso do Sul ;780,10666;2016
Região Centro-Oeste;Mato Grosso do Sul ;896,445633;2017
Região Centro-Oeste;Mato Grosso do Sul ;774,195;2018
Região Centro-Oeste;Mato Grosso do Sul ;669,898455;2019
Região Centro-Oeste;Mato Grosso do Sul ;667,301651;2020
Região Centro-Oeste;Mato Grosso do Sul ;719,255252;2021
Região Centro-Oeste;Mato Grosso;448,11;2012
Região Centro-Oeste;Mato Grosso;576,298555;2013
Região Centro-Oeste;Mato Grosso;480,659478;2014
Região Centro-Oeste;Mato Grosso;523,513333;2015
Região Centro-Oeste;Mato Grosso;534,832297;2016
Região Centro-Oeste;Mato Grosso;560,622141;2017
Região Centro-Oeste;Mato Grosso;633,696711;2018
Região Centro-Oeste;Mato Grosso;695,028179;2019
Região Centro-Oeste;Mato Grosso;900,760251;2020
Região Centro-Oeste;Mato Grosso;1233,167419;2021
Região Centro-Oeste;Goiás;871,18;2012
Região Centro-Oeste;Goiás;1007,437303;2013
Região Centro-Oeste;Goiás;1152,867539;2014
Região Centro-Oeste;Goiás;1096,003977;2015
Região Centro-Oeste;Goiás;1077,764114;2016
Região Centro-Oeste;Goiás;1176,018849;2017
Região Centro-Oeste;Goiás;616,3742;2018
Região Centro-Oeste;Goiás;788,454623;2019
Região Centro-Oeste;Goiás;1097,190952;2020
Região Centro-Oeste;Goiás;1255,30473;2021
