REGIÃO GEOGRÁFICA;PAÍS;IMPORTAÇÃO DE ETANOL;ANO
América do Norte;Canadá;0;2012
América do Norte;Canadá;0;2013
América do Norte;Canadá;0;2014
América do Norte;Canadá;0;2015
América do Norte;Canadá;0;2016
América do Norte;Canadá;0;2017
América do Norte;Canadá;0,002;2018
América do Norte;Canadá;0,002;2019
América do Norte;Canadá;148,804;2020
América do Norte;Canadá;140,094;2021
América do Norte;Estados Unidos;553189;2012
América do Norte;Estados Unidos;131203;2013
América do Norte;Estados Unidos;416334;2014
América do Norte;Estados Unidos;495139,7;2015
América do Norte;Estados Unidos;829819,095;2016
América do Norte;Estados Unidos;1824777,561;2017
América do Norte;Estados Unidos;1772587,988;2018
América do Norte;Estados Unidos;1321216,185;2019
América do Norte;Estados Unidos;836096,734;2020
América do Norte;Estados Unidos;269482,532;2021
América do Norte;México;9;2012
América do Norte;México;14;2013
América do Norte;México;31;2014
América do Norte;México;7;2015
América do Norte;México;6,719;2016
América do Norte;México;7,159;2017
América do Norte;México;2,295;2018
América do Norte;México;1,85;2019
América do Norte;México;0,294;2020
América do Norte;México;1,141;2021
Américas Central e do Sul;Argentina;0;2012
Américas Central e do Sul;Argentina;0;2013
Américas Central e do Sul;Argentina;0;2014
Américas Central e do Sul;Argentina;0;2015
Américas Central e do Sul;Argentina;0;2016
Américas Central e do Sul;Argentina;0;2017
Américas Central e do Sul;Argentina;0;2018
Américas Central e do Sul;Argentina;63;2019
Américas Central e do Sul;Argentina;8182,647;2020
Américas Central e do Sul;Argentina;13;2021
Américas Central e do Sul;Barbados;135;2012
Américas Central e do Sul;Barbados;23;2013
Américas Central e do Sul;Barbados;23;2014
Américas Central e do Sul;Barbados;25;2015
Américas Central e do Sul;Barbados;23,066;2016
Américas Central e do Sul;Barbados;24,069;2017
Américas Central e do Sul;Barbados;0;2018
Américas Central e do Sul;Barbados;0;2019
Américas Central e do Sul;Barbados;0;2020
Américas Central e do Sul;Barbados;0;2021
Américas Central e do Sul;Brasil¹;0;2012
Américas Central e do Sul;Brasil¹;0;2013
Américas Central e do Sul;Brasil¹;0;2014
Américas Central e do Sul;Brasil¹;0;2015
Américas Central e do Sul;Brasil¹;0;2016
Américas Central e do Sul;Brasil¹;0;2017
Américas Central e do Sul;Brasil¹;0;2018
Américas Central e do Sul;Brasil¹;0;2019
Américas Central e do Sul;Brasil¹;0;2020
Américas Central e do Sul;Brasil¹;0,193;2021
Américas Central e do Sul;Guiana;21;2012
Américas Central e do Sul;Guiana;0;2013
Américas Central e do Sul;Guiana;21;2014
Américas Central e do Sul;Guiana;0;2015
Américas Central e do Sul;Guiana;0;2016
Américas Central e do Sul;Guiana;0;2017
Américas Central e do Sul;Guiana;0;2018
Américas Central e do Sul;Guiana;0;2019
Américas Central e do Sul;Guiana;0;2020
