REGIÃO GEOGRÁFICA;PAÍS;EXPORTAÇÃO DE ETANOL;ANO
América do Norte;Canadá;0;2012
América do Norte;Canadá;0;2013
América do Norte;Canadá;0;2014
América do Norte;Canadá;0;2015
América do Norte;Canadá;0;2016
América do Norte;Canadá;0;2017
América do Norte;Canadá;0;2018
América do Norte;Canadá;207,864;2019
América do Norte;Canadá;1459,992;2020
América do Norte;Canadá;96,59;2021
América do Norte;Estados Unidos;2017875,47;2012
América do Norte;Estados Unidos;1722849,681;2013
América do Norte;Estados Unidos;728053,79;2014
América do Norte;Estados Unidos;925800,59;2015
América do Norte;Estados Unidos;759158,539;2016
América do Norte;Estados Unidos;941403,078;2017
América do Norte;Estados Unidos;933179,052;2018
América do Norte;Estados Unidos;1213965,88;2019
América do Norte;Estados Unidos;994829,028;2020
América do Norte;Estados Unidos;465461,498;2021
América do Norte;México;6553;2012
América do Norte;México;8156;2013
América do Norte;México;9004;2014
América do Norte;México;96;2015
América do Norte;México;98,1;2016
América do Norte;México;7,649;2017
América do Norte;México;0;2018
América do Norte;México;24,002;2019
América do Norte;México;31744,892;2020
América do Norte;México;5511,824;2021
Américas Central e do Sul;Argentina;7663;2012
Américas Central e do Sul;Argentina;153;2013
Américas Central e do Sul;Argentina;35;2014
Américas Central e do Sul;Argentina;76;2015
Américas Central e do Sul;Argentina;0;2016
Américas Central e do Sul;Argentina;77,985;2017
Américas Central e do Sul;Argentina;5358,772;2018
Américas Central e do Sul;Argentina;979,355;2019
Américas Central e do Sul;Argentina;321,943;2020
Américas Central e do Sul;Argentina;19,17;2021
Américas Central e do Sul;Chile;4548;2012
Américas Central e do Sul;Chile;2169;2013
Américas Central e do Sul;Chile;2538;2014
Américas Central e do Sul;Chile;3725;2015
Américas Central e do Sul;Chile;1187,546;2016
Américas Central e do Sul;Chile;1055,948;2017
Américas Central e do Sul;Chile;913,563;2018
Américas Central e do Sul;Chile;575,913;2019
Américas Central e do Sul;Chile;3201,821;2020
Américas Central e do Sul;Chile;1437,144;2021
Américas Central e do Sul;Colômbia;260;2012
Américas Central e do Sul;Colômbia;9348;2013
Américas Central e do Sul;Colômbia;410;2014
Américas Central e do Sul;Colômbia;8371;2015
Américas Central e do Sul;Colômbia;15307,869;2016
Américas Central e do Sul;Colômbia;9952,521;2017
Américas Central e do Sul;Colômbia;23051,004;2018
Américas Central e do Sul;Colômbia;13707,678;2019
Américas Central e do Sul;Colômbia;39234,913;2020
Américas Central e do Sul;Colômbia;17939,406;2021
Américas Central e do Sul;Costa Rica;92213;2012
Américas Central e do Sul;Costa Rica;0;2013
Américas Central e do Sul;Costa Rica;0;2014
Américas Central e do Sul;Costa Rica;0;2015
Américas Central e do Sul;Costa Rica;0;2016
Américas Central e do Sul;Costa Rica;0;2017
Américas Central e do Sul;Costa Rica;0;2018
