GRANDE REGIÃO;PAÍS;VENDAS DE ETANOL HIDRATADO;ANO
Região Norte ;Rondônia ;19,70;2012
Região Norte ;Rondônia ;20,747509;2013
Região Norte ;Rondônia ;18,13505518;2014
Região Norte ;Rondônia ;29,194535;2015
Região Norte ;Rondônia ;14,52865;2016
Região Norte ;Rondônia ;11,33185;2017
Região Norte ;Rondônia ;15,64001;2018
Região Norte ;Rondônia ;15,469206;2019
Região Norte ;Rondônia ;12,244926;2020
Região Norte ;Rondônia ;12,567017;2021
Região Norte ;Acre ;5,75;2012
Região Norte ;Acre ;6,02483;2013
Região Norte ;Acre ;3,699014864;2014
Região Norte ;Acre ;7,3845;2015
Região Norte ;Acre ;7,603707;2016
Região Norte ;Acre ;6,748496;2017
Região Norte ;Acre ;8,53339;2018
Região Norte ;Acre ;7,903016;2019
Região Norte ;Acre ;6,541786;2020
Região Norte ;Acre ;6,970538;2021
Região Norte ;Amazonas ;40,07;2012
Região Norte ;Amazonas ;47,01125;2013
Região Norte ;Amazonas ;50,43887698;2014
Região Norte ;Amazonas ;78,600587;2015
Região Norte ;Amazonas ;38,370906;2016
Região Norte ;Amazonas ;38,859033;2017
Região Norte ;Amazonas ;90,530921;2018
Região Norte ;Amazonas ;102,04467;2019
Região Norte ;Amazonas ;112,895728;2020
Região Norte ;Amazonas ;130,812706;2021
Região Norte ;Roraima  ;1,93;2012
Região Norte ;Roraima  ;1,8228;2013
Região Norte ;Roraima  ;1,953604497;2014
Região Norte ;Roraima  ;2,9024;2015
Região Norte ;Roraima  ;1,4484;2016
Região Norte ;Roraima  ;1,0166;2017
Região Norte ;Roraima  ;2;2018
Região Norte ;Roraima  ;1,6632;2019
Região Norte ;Roraima  ;1,5558;2020
Região Norte ;Roraima  ;2,564148;2021
Região Norte ;Pará;30,72;2012
Região Norte ;Pará;32,956048;2013
Região Norte ;Pará;33,4774293;2014
Região Norte ;Pará;52,965811;2015
Região Norte ;Pará;36,912843;2016
Região Norte ;Pará;27,253948;2017
Região Norte ;Pará;53,64742;2018
Região Norte ;Pará;58,377718;2019
Região Norte ;Pará;44,085353;2020
Região Norte ;Pará;45,220352;2021
Região Norte ;Amapá  ;3,31;2012
Região Norte ;Amapá  ;1,4588;2013
Região Norte ;Amapá  ;1,176603599;2014
Região Norte ;Amapá  ;2,193;2015
Região Norte ;Amapá  ;0,539;2016
Região Norte ;Amapá  ;0,394314;2017
Região Norte ;Amapá  ;0,928485;2018
Região Norte ;Amapá  ;0,862147;2019
Região Norte ;Amapá  ;0,382675;2020
Região Norte ;Amapá  ;0,322831;2021
Região Norte ;Tocantins ;27,88;2012
Região Norte ;Tocantins ;35,7723;2013
Região Norte ;Tocantins ;35,28617925;2014
Região Norte ;Tocantins ;56,69245;2015
Região Norte ;Tocantins ;30,66632;2016
Região Norte ;Tocantins ;16,890639;2017
Região Norte ;Tocantins ;34,121713;2018
Região Norte ;Tocantins ;33,215397;2019
Região Norte ;Tocantins ;38,226921;2020
Região Norte ;Tocantins ;31,372708;2021
Região Nordeste ;Maranhão;23,84;2012
Região Nordeste ;Maranhão;26,444715;2013
Região Nordeste ;Maranhão;42,64330424;2014
Região Nordeste ;Maranhão;57,212418;2015
Região Nordeste ;Maranhão;35,47636;2016
Região Nordeste ;Maranhão;25,618071;2017
Região Nordeste ;Maranhão;37,299221;2018
Região Nordeste ;Maranhão;47,00209;2019
Região Nordeste ;Maranhão;39,18108;2020
Região Nordeste ;Maranhão;54,917887;2021
Região Nordeste ;Piauí ;15,98;2012
Região Nordeste ;Piauí ;17,93835;2013
Região Nordeste ;Piauí ;21,83798925;2014
Região Nordeste ;Piauí ;38,396907;2015
Região Nordeste ;Piauí ;35,913725;2016
Região Nordeste ;Piauí ;37,183777;2017
Região Nordeste ;Piauí ;72,283055;2018
Região Nordeste ;Piauí ;91,343814;2019
Região Nordeste ;Piauí ;71,251609;2020
Região Nordeste ;Piauí ;84,391579;2021
Região Nordeste ;Ceará  ;93,42;2012
Região Nordeste ;Ceará  ;97,864946;2013
Região Nordeste ;Ceará  ;109,9344414;2014
Região Nordeste ;Ceará  ;172,587824;2015
Região Nordeste ;Ceará  ;143,299504;2016
Região Nordeste ;Ceará  ;122,849546;2017
Região Nordeste ;Ceará  ;169,711038;2018
