DISTRIBUIDORAS;PARTICIPAÇÃO DAS DISTRIBUIDORAS NAS VENDAS NACIONAIS DE ETANOL HIDRATADO
Raízen;0,201767
Ipiranga;0,174753
Vibra;0,173119
Petroquality;0,059088
Alpes ;0,036317
Duvale;0,029839
Gol;0,028243
Noroeste;0,024472
All Distribuidora;0,019896
Alesat;0,019051
Petroball ;0,016596
Paranapanema ;0,012792
Saara;0,010529
TDC Distribuidora;0,010288
Gran Petro;0,009752
Petrozil;0,009155
Araguaia;0,008638
Tabocão ;0,008204
Everest;0,007846
Sada;0,007157
76 Oil;0,007154
Larco;0,006721
Petrotorque;0,006516
Total Brasil;0,00565
Alfa;0,005372
Max;0,004851
Equador;0,0048
Sabbá;0,004238
Idaza;0,003606
Royal Fic;0,003591
Petrobahia;0,003579
Petrox;0,003523
Petroserra;0,003521
Atem's;0,003507
Petroalcool;0,003276
Federal;0,003125
Ciapetro;0,002992
Taurus;0,002723
Dislub;0,002317
Flag;0,002229
Eco Distribuidora;0,002167
Setta;0,001946
Imperial;0,001941
Petrogoiás;0,00187
Simarell;0,001772
Rodoil;0,001735
Aspen;0,001613
Minuano;0,001581
Watt;0,001554
Rio Branco;0,001513
SR Brasil;0,001506
Petrozara;0,001443
Alcobras;0,001428
Torrão;0,001409
Stang;0,001399
Meg ;0,001319
SP;0,001203
TotalEnergies;0,001199
Potencial;0,001124
Federal;0,001113
Flórida;0,001063
Acol;0,000938
Temape;0,000935
Petroexpress;0,00086
FGC Distribuidora;0,000847
Small;0,000841
Mar Azul;0,000764
Braspetro;0,000719
Ypetro;0,000704
Flex;0,000675
Raízen Mime;0,000661
Hora;0,000626
Eco Brasil;0,000624
Maxxi;0,000621
Petronac;0,000522
Allgreen;0,000479
Pelikano;0,000473
Masut;0,000473
Atlântica;0,000454
D'Mais;0,000399
Tag Distribuidora;0,000338
Estrada;0,000334
Fan;0,000311
Ruff CJ;0,000293
Tobras;0,00029
Liderpetro;0,000279
Podium;0,000274
Copercana;0,000258
Rumos;0,000229
Redepetro;0,000168
Dibrape;0,000167
Danpetro;0,000161
Sim Distribuidora;0,000147
GP Distribuidora;0,000146
Maxsul;0,000122
Rede Sol;0,000122
RDZ Dsitribuidora;0,000118
Montepetro;0,000114
On Petro;0,000112
Rejaile;0,000075
Walendowsky ;0,000072
Flexpetro;0,000068
Charrua;0,000067
Arapetro;0,000066
Manguinhos;0,000051
Rodopetro;0,000049
Petroword;0,000043
WD Distribuidora;0,00004
Sul Combustíveis ;0,000035
Petrosul;0,000029
Americanoil;0,000023
Uni Combustíveis;0,000023
Petroluz;0,00002
Ecomat;0,000014
Stock;0,00001
Bizungão;0,000008
Biopetróleo;0,000004
Vaishia;0,000003
Vetor;0,000002
Império;0,000002
Soll;0,000001
Cruz de Malta;0,000001
Isabella;0,000001
Phoenix;0
Petronol;0
Fera;0
Pontual;0
