GRANDES REGIÕES;UNIDADES DA FEDERAÇÃO;PREÇO MÉDIO1 DO ETANOL HIDRATADO COMBUSTÍVEL AO CONSUMIDOR;ANO
Região Norte;Rondônia;2,414;2012
Região Norte;Rondônia;2,452166667;2013
Região Norte;Rondônia;2,63475;2014
Região Norte;Rondônia;2,766083333;2015
Região Norte;Rondônia;3,393916667;2016
Região Norte;Rondônia;3,44575;2017
Região Norte;Rondônia;3,733333333;2018
Região Norte;Rondônia;3,781666667;2019
Região Norte;Rondônia;3,671363636;2020
Região Norte;Rondônia;4,99775;2021
Região Norte;Acre;2,524;2012
Região Norte;Acre;2,636333333;2013
Região Norte;Acre;2,852583333;2014
Região Norte;Acre;3,059083333;2015
Região Norte;Acre;3,351416667;2016
Região Norte;Acre;3,654083333;2017
Região Norte;Acre;3,925583333;2018
Região Norte;Acre;3,948916667;2019
Região Norte;Acre;3,945363636;2020
Região Norte;Acre;5,295333333;2021
Região Norte;Amazonas;2,335;2012
Região Norte;Amazonas;2,428;2013
Região Norte;Amazonas;2,539583333;2014
Região Norte;Amazonas;2,79475;2015
Região Norte;Amazonas;3,29175;2016
Região Norte;Amazonas;3,27575;2017
Região Norte;Amazonas;3,524083333;2018
Região Norte;Amazonas;3,363833333;2019
Região Norte;Amazonas;3,377818182;2020
Região Norte;Amazonas;4,465083333;2021
Região Norte;Roraima;2,555;2012
Região Norte;Roraima;2,695666667;2013
Região Norte;Roraima;2,76175;2014
Região Norte;Roraima;3,05325;2015
Região Norte;Roraima;3,679833333;2016
Região Norte;Roraima;3,6575;2017
Região Norte;Roraima;3,76275;2018
Região Norte;Roraima;3,785166667;2019
Região Norte;Roraima;3,699090909;2020
Região Norte;Roraima;4,916083333;2021
Região Norte;Pará;2,342;2012
Região Norte;Pará;2,526416667;2013
Região Norte;Pará;2,68725;2014
Região Norte;Pará;2,942416667;2015
Região Norte;Pará;3,539333333;2016
Região Norte;Pará;3,595833333;2017
Região Norte;Pará;3,69375;2018
Região Norte;Pará;3,75775;2019
Região Norte;Pará;3,836272727;2020
Região Norte;Pará;5,223083333;2021
Região Norte;Amapá;2,285;2012
Região Norte;Amapá;2,415333333;2013
Região Norte;Amapá;2,800333333;2014
Região Norte;Amapá;2,84625;2015
Região Norte;Amapá;3,656444444;2016
Região Norte;Amapá;3,737222222;2017
