UNIDADE PRODUTORA;MUNICÍPIO / UF;CAPACIDADE INSTALADA
ADM;Rondonópolis/MT;1352
ADM;Joaçaba/SC;510
Agropaulo;Jaguaruana/CE;50
Aliança;Rondonópolis/MT;10
Amazonbio;Ji-Paraná/RO;90
Barralcool;Barra dos Bugres/MT;190,5
Bianchini;Canoas/RS;1150
Binatural;Simões Filho/BA;1000
Binatural;Formosa/GO;450
Bio Óleo;Cuiabá/MT;150
Bio Vida;Várzea Grande/MT;150
Bionorte;São Miguel do Araguaia/GO;95
Biopar;Nova Marilândia/MT;288
Bocchi;Muitos Capões/RS;300
Bsbios;Passo Fundo/RS;1300
Bsbios ;Marialva/PR;1300
Bunge;Nova Mutum/MT;497
Caibiense;Rondonópolis/MT;250
Camera;Ijuí/RS;650
Caramuru;Ipameri/GO;625
Caramuru;São Simão/GO;625
Caramuru;Sorriso/MT;285
Cargill;Três Lagoas/MS;700
Cereal;Rio Verde/GO;600
Cesbra;Volta Redonda/RJ;166,7
Cofco ;Rondonópolis/MT;1100
Cooperfeliz;Feliz Natal/MT;100
Delta;Rio Brilhante/MS;600
Delta Cuiabá;Cuiabá/MT;1000
Fiagril;Lucas do Rio Verde/MT;563
Fuga;Camargo/RS;500
Granol;Porto Nacional/TO;800
Granol;Anápolis/GO;933,3
Granol;Cachoeira do Sul/RS;1550
J Aparecido;Floriano/PI;250
Jataí;Jataí/GO;50
JBS;Lins/SP;560,2
JBS;Campo Verde/MT;410
Minerva;Palmeiras de Goiás/GO;200
Oleoplan;Veranópolis/RS;1300
Oleoplan Nordeste;Iraquara/BA;1300
Olfar;Porangatu/GO;1800
Olfar;Erechim/RS;450
Olfar;Porto Real/RJ;1200
Orlândia;Orlândia/SP;367
Petrobras Biocombustíveis;Montes Claros/MG;545,5
Petrobras Biocombustíveis;Candeias/BA;845,5
Potencial;Lapa/PR;2500
Prisma;Sumaré/SP;200
Seara;Mafra/SC;1025
SSIL;Rondonópolis/MT;50
Tauá;Nova Mutum/MT;100
Três Tentos;Ijuí/RS;850
