RODADA DE LICITAÇÃO;ANO;TIPO DE DADO;VALOR DA VARIÁVEL
Rodada 1;1999;Bacias sedimentares;8
Rodada 1;1999;Blocos ofertados;27
Rodada 2;2000;Bacias sedimentares;9
Rodada 3;2001;Bacias sedimentares;12
Rodada 4;2002;Bacias sedimentares;18
Rodada 5;2003;Bacias sedimentares;9
Rodada 6;2004;Bacias sedimentares;12
Rodada 7;2005;Bacias sedimentares;14
Rodada 9;2007;Bacias sedimentares;9
Rodada 10;2008;Bacias sedimentares;7
Rodada 11;2013;Bacias sedimentares;11
Rodada 12;2013;Bacias sedimentares;7
Rodada 13;2015;Bacias sedimentares;10
Rodada 14 ;2017;Bacias sedimentares;9
Rodada 15;2018;Bacias sedimentares;7
Rodada 16;2019;Bacias sedimentares;5
Rodada 17;2021;Bacias sedimentares;4
Rodada 2;2000;Blocos ofertados;23
Rodada 3;2001;Blocos ofertados;53
Rodada 4;2002;Blocos ofertados;54
Rodada 5;2003;Blocos ofertados;908
Rodada 6;2004;Blocos ofertados;913
Rodada 7;2005;Blocos ofertados;1.134
Rodada 9;2007;Blocos ofertados;271
Rodada 10;2008;Blocos ofertados;130
Rodada 11;2013;Blocos ofertados;289
Rodada 12;2013;Blocos ofertados;240
Rodada 13;2015;Blocos ofertados;266
Rodada 14 ;2017;Blocos ofertados;287
Rodada 15;2018;Blocos ofertados;68
Rodada 16;2019;Blocos ofertados;36
Rodada 17;2021;Blocos ofertados;92
Rodada 1;1999;Blocos arrematados;12
Rodada 2;2000;Blocos arrematados;21
Rodada 3;2001;Blocos arrematados;34
Rodada 4;2002;Blocos arrematados;21
Rodada 5;2003;Blocos arrematados;101
Rodada 6;2004;Blocos arrematados;154
Rodada 7;2005;Blocos arrematados;251
Rodada 9;2007;Blocos arrematados;117
Rodada 10;2008;Blocos arrematados;54
Rodada 11;2013;Blocos arrematados;142
Rodada 12;2013;Blocos arrematados;72
Rodada 13;2015;Blocos arrematados;37
Rodada 14 ;2017;Blocos arrematados;37
Rodada 15;2018;Blocos arrematados;22
Rodada 16;2019;Blocos arrematados;12
Rodada 17;2021;Blocos arrematados;5
Rodada 1;1999;Blocos onshore arrematados;-
Rodada 2;2000;Blocos onshore arrematados;9
Rodada 3;2001;Blocos onshore arrematados;7
Rodada 4;2002;Blocos onshore arrematados;10
Rodada 5;2003;Blocos onshore arrematados;20
