TIPO DE DADO;ANO;RODADA DE LICITAÇÃO;VALOR DA VARIÁVEL
Bacias sedimentares;2013;Partilha 1;1
Blocos ofertados;2013;Partilha 1;1
Bacias sedimentares;2017;Partilha 2;2
Bacias sedimentares;2017;Partilha 3;2
Bacias sedimentares;2018;Partilha 4;2
Bacias sedimentares;2018;Partilha 5;2
Bacias sedimentares;2019;Partilha 6;2
Bacias sedimentares;2019;Excedente da Cessão Onerosa;1
Bacias sedimentares;2021;Segunda Rodada do Excedente da Cessão Onerosa;1
Blocos ofertados;2017;Partilha 2;4
Blocos ofertados;2017;Partilha 3;4
Blocos ofertados;2018;Partilha 4;4
Blocos ofertados;2018;Partilha 5;4
Blocos ofertados;2019;Partilha 6;5
Blocos ofertados;2019;Excedente da Cessão Onerosa;4
Blocos ofertados;2021;Segunda Rodada do Excedente da Cessão Onerosa;2
Blocos arrematados;2013;Partilha 1;1
Blocos arrematados;2017;Partilha 2;3
Blocos arrematados;2017;Partilha 3;3
Blocos arrematados;2018;Partilha 4;3
Blocos arrematados;2018;Partilha 5;4
Blocos arrematados;2019;Partilha 6;1
Blocos arrematados;2019;Excedente da Cessão Onerosa;2
Blocos arrematados;2021;Segunda Rodada do Excedente da Cessão Onerosa;2
Blocos concedidos;2013;Partilha 1;1
Blocos concedidos;2017;Partilha 2;3
Blocos concedidos;2017;Partilha 3;3
Blocos concedidos;2018;Partilha 4;3
Blocos concedidos;2018;Partilha 5;4
Blocos concedidos;2019;Partilha 6;1
Blocos concedidos;2019;Excedente da Cessão Onerosa;2
Blocos concedidos;2021;Segunda Rodada do Excedente da Cessão Onerosa;2
Blocos arrematados/blocos ofertados (%);2013;Partilha 1;100%
Blocos arrematados/blocos ofertados (%);2017;Partilha 2;75%
Blocos arrematados/blocos ofertados (%);2017;Partilha 3;75%
Blocos arrematados/blocos ofertados (%);2018;Partilha 4;75%
Blocos arrematados/blocos ofertados (%);2018;Partilha 5;100%
Blocos arrematados/blocos ofertados (%);2019;Partilha 6;20%
Blocos arrematados/blocos ofertados (%);2019;Excedente da Cessão Onerosa;50%
Blocos arrematados/blocos ofertados (%);2021;Segunda Rodada do Excedente da Cessão Onerosa;100%
Blocos concedidos/blocos ofertados (%);2013;Partilha 1;100%
Blocos concedidos/blocos ofertados (%);2017;Partilha 2;75%
Blocos concedidos/blocos ofertados (%);2017;Partilha 3;75%
Blocos concedidos/blocos ofertados (%);2018;Partilha 4;75%
Blocos concedidos/blocos ofertados (%);2018;Partilha 5;100%
Blocos concedidos/blocos ofertados (%);2019;Partilha 6;20%
Blocos concedidos/blocos ofertados (%);2019;Excedente da Cessão Onerosa;50%
Blocos concedidos/blocos ofertados (%);2021;Segunda Rodada do Excedente da Cessão Onerosa;100%
Área ofertada (km²);2013;Partilha 1;1.548
Área ofertada (km²);2017;Partilha 2;663
Área ofertada (km²);2017;Partilha 3;7.314
Área ofertada (km²);2018;Partilha 4;4.232
Área ofertada (km²);2018;Partilha 5;2.865
Área ofertada (km²);2019;Partilha 6;8.638
Área ofertada (km²);2019;Excedente da Cessão Onerosa;1.385
Área ofertada (km²);2021;Segunda Rodada do Excedente da Cessão Onerosa;386
Área arrematada (km²);2013;Partilha 1;1.548
Área arrematada (km²);2017;Partilha 2;656
Área arrematada (km²);2017;Partilha 3;6.131
Área arrematada (km²);2018;Partilha 4;3.521
Área arrematada (km²);2018;Partilha 5;2.865
Área arrematada (km²);2019;Partilha 6;4.476
Área arrematada (km²);2019;Excedente da Cessão Onerosa;999
Área arrematada (km²);2021;Segunda Rodada do Excedente da Cessão Onerosa;386
Área concedida (km2);2013;Partilha 1;1.548
Área concedida (km2);2017;Partilha 2;656
Área concedida (km2);2017;Partilha 3;6.131
Área concedida (km2);2018;Partilha 4;3.521
Área concedida (km2);2018;Partilha 5;2.865
Área concedida (km2);2019;Partilha 6;4.476
Área concedida (km2);2019;Excedente da Cessão Onerosa;999
Área concedida (km2);2021;Segunda Rodada do Excedente da Cessão Onerosa;386
Área arrematada/área ofertada (%);2013;Partilha 1;100%
Área arrematada/área ofertada (%);2017;Partilha 2;99%
Área arrematada/área ofertada (%);2017;Partilha 3;84%
Área arrematada/área ofertada (%);2018;Partilha 4;83%
Área arrematada/área ofertada (%);2018;Partilha 5;100%
Área arrematada/área ofertada (%);2019;Partilha 6;52%
Área arrematada/área ofertada (%);2019;Excedente da Cessão Onerosa;72%
Área arrematada/área ofertada (%);2021;Segunda Rodada do Excedente da Cessão Onerosa;100%
Área concedida/área ofertada (%);2013;Partilha 1;100%
Área concedida/área ofertada (%);2017;Partilha 2;99%
Área concedida/área ofertada (%);2017;Partilha 3;84%
Área concedida/área ofertada (%);2018;Partilha 4;83%
Área concedida/área ofertada (%);2018;Partilha 5;100%
Área concedida/área ofertada (%);2019;Partilha 6;52%
Área concedida/área ofertada (%);2019;Excedente da Cessão Onerosa;72%
Área concedida/área ofertada (%);2021;Segunda Rodada do Excedente da Cessão Onerosa;100%
Empresas que manifestaram interesse;2013;Partilha 1;11
Empresas que manifestaram interesse;2017;Partilha 2;11
Empresas que manifestaram interesse;2017;Partilha 3;15
Empresas que manifestaram interesse;2018;Partilha 4;16
Empresas que manifestaram interesse;2018;Partilha 5;12
Empresas que manifestaram interesse;2019;Partilha 6;17
Empresas que manifestaram interesse;2019;Excedente da Cessão Onerosa;14
Empresas que manifestaram interesse;2021;Segunda Rodada do Excedente da Cessão Onerosa;11
Empresas que pagaram a taxa de participação;2013;Partilha 1;11
Empresas que pagaram a taxa de participação;2017;Partilha 2;10
Empresas que pagaram a taxa de participação;2017;Partilha 3;15
Empresas que pagaram a taxa de participação;2018;Partilha 4;16
Empresas que pagaram a taxa de participação;2018;Partilha 5;12
Empresas que pagaram a taxa de participação;2019;Partilha 6;17
Empresas que pagaram a taxa de participação;2019;Excedente da Cessão Onerosa;14
Empresas que pagaram a taxa de participação;2021;Segunda Rodada do Excedente da Cessão Onerosa;11
Empresas habilitadas1;2013;Partilha 1;11
Empresas habilitadas1;2017;Partilha 2;10
Empresas habilitadas1;2017;Partilha 3;14
Empresas habilitadas1;2018;Partilha 4;16
Empresas habilitadas1;2018;Partilha 5;12
Empresas habilitadas1;2019;Partilha 6;17
Empresas habilitadas1;2019;Excedente da Cessão Onerosa;14
Empresas habilitadas1;2021;Segunda Rodada do Excedente da Cessão Onerosa;10
Empresas habilitadas nacionais;2013;Partilha 1;1
Empresas habilitadas nacionais;2017;Partilha 2;2
Empresas habilitadas nacionais;2017;Partilha 3;1
Empresas habilitadas nacionais;2018;Partilha 4;2
Empresas habilitadas nacionais;2018;Partilha 5;1
Empresas habilitadas nacionais;2019;Partilha 6;2
Empresas habilitadas nacionais;2019;Excedente da Cessão Onerosa;1
Empresas habilitadas nacionais;2021;Segunda Rodada do Excedente da Cessão Onerosa;2
Empresas habilitadas estrangeiras;2013;Partilha 1;10
Empresas habilitadas estrangeiras;2017;Partilha 2;8
Empresas habilitadas estrangeiras;2017;Partilha 3;13
