CICLO;ANO;TIPO DE DADO;VALOR DA VARIÁVEL
1o Ciclo;2019;Bacias sedimentares com declaração de interesse;6
2o Ciclo;2020;Bacias sedimentares com declaração de interesse;10
1o Ciclo;2019;Blocos e Áreas arrematadas;45
2o Ciclo;2020;Blocos e Áreas arrematadas;18
1o Ciclo;2019;Blocos e Áreas Concedidas;38
2o Ciclo;2020;Blocos e Áreas Concedidas;18
1o Ciclo;2019;Concedidos/Arrematados (%);84%
2o Ciclo;2020;Concedidos/Arrematados (%);100%
1o Ciclo;2019;Área arrematada (km²);16.708
2o Ciclo;2020;Área arrematada (km²);20.150
1o Ciclo;2019;Área concedida (km²);16.493
2o Ciclo;2020;Área concedida (km²);20.150
1o Ciclo;2019;Área concedida/Área arrematada (%);99%
2o Ciclo;2020;Área concedida/Área arrematada (%);100%
1o Ciclo;2019;Empresas habilitadas1;47
2o Ciclo;2020;Empresas habilitadas1;63
1o Ciclo;2019;Empresas habilitadas nacionais;29
2o Ciclo;2020;Empresas habilitadas nacionais;40
1o Ciclo;2019;Empresas habilitadas estrangeiras;18
2o Ciclo;2020;Empresas habilitadas estrangeiras;23
1o Ciclo;2019;Empresas que apresentaram declaração de interesse;17
2o Ciclo;2020;Empresas que apresentaram declaração de interesse;10
1o Ciclo;2019;Empresas nacionais que apresentaram declação de interesse;13
2o Ciclo;2020;Empresas nacionais que apresentaram declação de interesse;7
1o Ciclo;2019;Empresas estrangeiras que apresentaram declação de interesse;4
2o Ciclo;2020;Empresas estrangeiras que apresentaram declação de interesse;3
1o Ciclo;2019;Empresas ofertantes;19
2o Ciclo;2020;Empresas ofertantes;7
1o Ciclo;2019;Empresas ofertantes nacionais;14
2o Ciclo;2020;Empresas ofertantes nacionais;6
1o Ciclo;2019;Empresas ofertantes estrangeiras;5
2o Ciclo;2020;Empresas ofertantes estrangeiras;1
1o Ciclo;2019;Empresas vencedoras;18
2o Ciclo;2020;Empresas vencedoras;7
1o Ciclo;2019;Empresas vencedoras nacionais;13
2o Ciclo;2020;Empresas vencedoras nacionais;6
1o Ciclo;2019;Empresas vencedoras estrangeiras;5
2o Ciclo;2020;Empresas vencedoras estrangeiras;1
1o Ciclo;2019;Novos operadores;3
2o Ciclo;2020;Novos operadores;-
1o Ciclo;2019;Conteúdo local médio – Fase de exploração2 (%);18,0%
2o Ciclo;2020;Conteúdo local médio – Fase de exploração2 (%);18,0%
1o Ciclo;2019;Conteúdo local médio – Etapa de desenvolvimento da produção2 (%);30,0%
2o Ciclo;2020;Conteúdo local médio – Etapa de desenvolvimento da produção2 (%);30,0%
1o Ciclo;2019;Bônus de assinatura arrecadado (milhões R$);21
2o Ciclo;2020;Bônus de assinatura arrecadado (milhões R$);57
1o Ciclo;2019;PEM3 (milhões de R$);311
2o Ciclo;2020;PEM3 (milhões de R$);161
